"gene","gene_set","n_DE_clusters","direction","DE_clusters"
"Hrh1","MouseGPCRs",4,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut"
"Adra1a","MouseGPCRs",3,"Down","002 IT EP_CLA Glut; 004 L6 IT CTX Glut; 006 L4/5 IT CTX Glut"
"Grm2","MouseGPCRs",3,"Down","005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 030 L6 CT CTX Glut"
"Grm5","MouseGPCRs",3,"Up","029 L6b CTX Glut; 030 L6 CT CTX Glut; 053 Sst Gaba"
"Hrh3","MouseGPCRs",3,"Up","004 L6 IT CTX Glut; 007 L2/3 IT CTX Glut; 030 L6 CT CTX Glut"
"Htr2c","MouseGPCRs",3,"Mixed","022 L5 ET CTX Glut; 030 L6 CT CTX Glut; 052 Pvalb Gaba"
"Adra1b","MouseGPCRs",2,"Down","030 L6 CT CTX Glut; 052 Pvalb Gaba"
"Chrm2","MouseGPCRs",2,"Up","029 L6b CTX Glut; 030 L6 CT CTX Glut"
"Gpr12","MouseGPCRs",2,"Down","004 L6 IT CTX Glut; 007 L2/3 IT CTX Glut"
"Htr1b","MouseGPCRs",2,"Up","005 L5 IT CTX Glut; 030 L6 CT CTX Glut"
"Ntsr1","MouseGPCRs",2,"Down","002 IT EP_CLA Glut; 030 L6 CT CTX Glut"
"Pth2r","MouseGPCRs",2,"Mixed","007 L2/3 IT CTX Glut; 030 L6 CT CTX Glut"
"Sstr1","MouseGPCRs",2,"Down","022 L5 ET CTX Glut; 030 L6 CT CTX Glut"
"Adgrd1","MouseGPCRs",1,"Up","004 L6 IT CTX Glut"
"Adra2a","MouseGPCRs",1,"Down","029 L6b CTX Glut"
"Adra2c","MouseGPCRs",1,"Down","030 L6 CT CTX Glut"
"Adrb1","MouseGPCRs",1,"Up","004 L6 IT CTX Glut"
"Gpr27","MouseGPCRs",1,"Down","002 IT EP_CLA Glut"
"Gpr68","MouseGPCRs",1,"Up","007 L2/3 IT CTX Glut"
"Grm8","MouseGPCRs",1,"Down","010 IT AON_TT_DP Glut"
"Hcrtr2","MouseGPCRs",1,"Up","030 L6 CT CTX Glut"
"Htr1a","MouseGPCRs",1,"Down","030 L6 CT CTX Glut"
"Htr6","MouseGPCRs",1,"Down","004 L6 IT CTX Glut"
"Htr7","MouseGPCRs",1,"Up","053 Sst Gaba"
"Lpar1","MouseGPCRs",1,"Down","029 L6b CTX Glut"
"Mas1","MouseGPCRs",1,"Down","007 L2/3 IT CTX Glut"
"Npy5r","MouseGPCRs",1,"Down","004 L6 IT CTX Glut"
"Oprd1","MouseGPCRs",1,"Down","030 L6 CT CTX Glut"
"Oprk1","MouseGPCRs",1,"Down","004 L6 IT CTX Glut"
"Oprm1","MouseGPCRs",1,"Up","052 Pvalb Gaba"
"Ptger4","MouseGPCRs",1,"Up","030 L6 CT CTX Glut"
"Rxfp1","MouseGPCRs",1,"Down","002 IT EP_CLA Glut"
"S1pr3","MouseGPCRs",1,"Up","004 L6 IT CTX Glut"
"Sstr4","MouseGPCRs",1,"Up","030 L6 CT CTX Glut"
