"gene","gene_set","n_DE_clusters","direction","DE_clusters"
"Per2","dPRG",13,"Up","002 IT EP_CLA Glut; 004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 010 IT AON_TT_DP Glut; 022 L5 ET CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut; 032 L5 NP CTX Glut; 046 Vip Gaba; 052 Pvalb Gaba; 053 Sst Gaba"
"Pcsk1","dPRG",11,"Up","002 IT EP_CLA Glut; 004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut; 032 L5 NP CTX Glut; 047 Sncg Gaba; 053 Sst Gaba"
"Arc","rPRG",10,"Up","002 IT EP_CLA Glut; 004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 010 IT AON_TT_DP Glut; 022 L5 ET CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut; 032 L5 NP CTX Glut"
"Fos","rPRG",10,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 010 IT AON_TT_DP Glut; 022 L5 ET CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut; 047 Sncg Gaba; 052 Pvalb Gaba"
"Egr1","rPRG",8,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut; 052 Pvalb Gaba"
"Junb","rPRG",8,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut; 052 Pvalb Gaba"
"Nr4a1","rPRG",8,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut; 046 Vip Gaba; 047 Sncg Gaba"
"Nr4a3","dPRG",8,"Up","002 IT EP_CLA Glut; 004 L6 IT CTX Glut; 007 L2/3 IT CTX Glut; 010 IT AON_TT_DP Glut; 022 L5 ET CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut; 047 Sncg Gaba"
"Per1","dPRG",8,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut; 032 L5 NP CTX Glut; 053 Sst Gaba"
"Tiparp","dPRG",8,"Up","002 IT EP_CLA Glut; 004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut"
