"gene","gene_set","n_DE_clusters","direction","DE_clusters"
"Arc","GO:0048167",9,"Up","002 IT EP_CLA Glut; 004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut; 032 L5 NP CTX Glut"
"Camk2g","GO:0048167",7,"Down","002 IT EP_CLA Glut; 004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut"
"Fxr1","GO:0048167",7,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut; 052 Pvalb Gaba"
"Vps13a","GO:0048167",7,"Up","005 L5 IT CTX Glut; 007 L2/3 IT CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut; 032 L5 NP CTX Glut; 052 Pvalb Gaba; 053 Sst Gaba"
"Chrd","GO:0048167",5,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 030 L6 CT CTX Glut"
"Egr1","GO:0048167",5,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut"
"Bdnf","GO:0048167",4,"Up","004 L6 IT CTX Glut; 006 L4/5 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut"
"Hrh1","GO:0048167",4,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut"
"Pak1","GO:0048167",4,"Up","002 IT EP_CLA Glut; 004 L6 IT CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut"
"Vgf","GO:0048167",4,"Up","004 L6 IT CTX Glut; 007 L2/3 IT CTX Glut; 046 Vip Gaba; 047 Sncg Gaba"
"Grm2","GO:0048167",3,"Down","005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 030 L6 CT CTX Glut"
"Lrrtm2","GO:0048167",3,"Up","004 L6 IT CTX Glut; 007 L2/3 IT CTX Glut; 030 L6 CT CTX Glut"
"Rapgef2","GO:0048167",3,"Up","006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 030 L6 CT CTX Glut"
"Grm5","GO:0048167",2,"Up","029 L6b CTX Glut; 030 L6 CT CTX Glut"
"Lzts1","GO:0048167",2,"Mixed","022 L5 ET CTX Glut; 030 L6 CT CTX Glut"
"Mgll","GO:0048167",2,"Down","004 L6 IT CTX Glut; 030 L6 CT CTX Glut"
"Npas4","GO:0048167",2,"Up","004 L6 IT CTX Glut; 006 L4/5 IT CTX Glut"
"Shisa6","GO:0048167",2,"Up","002 IT EP_CLA Glut; 029 L6b CTX Glut"
"Sipa1l1","GO:0048167",2,"Up","006 L4/5 IT CTX Glut; 030 L6 CT CTX Glut"
"Sorcs2","GO:0048167",2,"Up","004 L6 IT CTX Glut; 030 L6 CT CTX Glut"
"Adcy8","GO:0048167",1,"Up","004 L6 IT CTX Glut"
"Adrb1","GO:0048167",1,"Up","004 L6 IT CTX Glut"
"Akap5","GO:0048167",1,"Down","030 L6 CT CTX Glut"
"Apoe","GO:0048167",1,"Up","052 Pvalb Gaba"
"Bcl2l1","GO:0048167",1,"Up","030 L6 CT CTX Glut"
"Cd2ap","GO:0048167",1,"Down","022 L5 ET CTX Glut"
"Creb1","GO:0048167",1,"Up","052 Pvalb Gaba"
"Egr2","GO:0048167",1,"Up","004 L6 IT CTX Glut"
"Grin2a","GO:0048167",1,"Up","029 L6b CTX Glut"
"Htr6","GO:0048167",1,"Down","004 L6 IT CTX Glut"
"Kmt2a","GO:0048167",1,"Up","030 L6 CT CTX Glut"
"Mapt","GO:0048167",1,"Down","030 L6 CT CTX Glut"
"Mir124a-1hg","GO:0048167",1,"Up","030 L6 CT CTX Glut"
"Neto1","GO:0048167",1,"Up","005 L5 IT CTX Glut"
"Neurod2","GO:0048167",1,"Down","030 L6 CT CTX Glut"
"Nr3c1","GO:0048167",1,"Up","030 L6 CT CTX Glut"
"Ntrk2","GO:0048167",1,"Up","004 L6 IT CTX Glut"
"Pde9a","GO:0048167",1,"Up","030 L6 CT CTX Glut"
"Ptgs2","GO:0048167",1,"Up","004 L6 IT CTX Glut"
"Rasgrf2","GO:0048167",1,"Down","002 IT EP_CLA Glut"
"Reln","GO:0048167",1,"Up","046 Vip Gaba"
"Slc1a1","GO:0048167",1,"Up","007 L2/3 IT CTX Glut"
"Sorcs3","GO:0048167",1,"Up","030 L6 CT CTX Glut"
"Synpo","GO:0048167",1,"Up","006 L4/5 IT CTX Glut"
"Unc13c","GO:0048167",1,"Down","004 L6 IT CTX Glut"
