"gene","gene_set","n_DE_clusters","direction","DE_clusters"
"Arid5b","MouseTFs",8,"Up","004 L6 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut; 046 Vip Gaba; 053 Sst Gaba"
"Junb","MouseTFs",8,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 029 L6b CTX Glut; 030 L6 CT CTX Glut; 052 Pvalb Gaba"
"Banp","MouseTFs",7,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut; 052 Pvalb Gaba"
"Fos","MouseTFs",7,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut; 047 Sncg Gaba"
"Chd2","MouseTFs",6,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut"
"Klf10","MouseTFs",6,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut"
"Zbtb25","MouseTFs",6,"Down","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut"
"Zbtb40","MouseTFs",6,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 030 L6 CT CTX Glut; 052 Pvalb Gaba"
"Zfp46","MouseTFs",6,"Down","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut"
"Zfp641","MouseTFs",6,"Down","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut"
"Egr1","MouseTFs",5,"Up","004 L6 IT CTX Glut; 005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut"
"Etv5","MouseTFs",5,"Up","004 L6 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 030 L6 CT CTX Glut; 053 Sst Gaba"
"Hsf5","MouseTFs",5,"Up","005 L5 IT CTX Glut; 006 L4/5 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut"
"Nr4a3","MouseTFs",5,"Up","004 L6 IT CTX Glut; 007 L2/3 IT CTX Glut; 022 L5 ET CTX Glut; 030 L6 CT CTX Glut; 047 Sncg Gaba"
