,GPCR,EnrichedSubclasses.Freq
1,Adra1a,8
2,Gpr12,8
3,Gpr3,6
4,Hcrtr2,6
5,Hrh3,6
6,Adcyap1r1,5
7,Chrm3,5
8,Cnr1,5
9,Adra1b,4
10,Drd1,4
11,Lpar6,4
12,Mchr1,4
13,Npy2r,4
14,Oprm1,4
15,Rxfp1,4
16,Hrh2,3
17,Htr1a,3
18,Htr2a,3
19,Oprd1,3
20,Oxtr,3
21,Sstr2,3
22,Tshr,3
23,Adgrg1,2
24,Agtr1a,2
25,Agtr2,2
26,Bdkrb2,2
27,Ednrb,2
28,Ffar4,2
29,Gpr22,2
30,Gpr6,2
31,Gpr68,2
32,Grm1,2
33,Hcrtr1,2
34,Htr1d,2
35,Htr2c,2
36,Htr5a,2
37,Htr7,2
38,Lpar4,2
39,Mrgprx2,2
40,Npffr1,2
41,Npy1r,2
42,Npy5r,2
43,Prokr2,2
44,Ptafr,2
45,Ptger3,2
46,Pth1r,2
47,Qrfpr,2
48,Rxfp3,2
49,S1pr1,2
50,S1pr3,2
51,Smo,2
52,Tacr1,2
53,Adora2b,1
54,Adora3,1
55,Adra2a,1
56,Adra2c,1
57,Adrb1,1
58,Adrb2,1
59,C5ar1,1
60,Cckbr,1
61,Ccr5,1
62,Ccr6,1
63,Chrm2,1
64,Chrm5,1
65,Cmklr1,1
66,Cnr2,1
67,Crhr2,1
68,Cx3cr1,1
69,Cysltr1,1
70,Drd2,1
71,Ednra,1
72,Fzd2,1
73,Fzd7,1
74,Galr1,1
75,Gpr139,1
76,Gpr153,1
77,Gpr183,1
78,Gpr34,1
79,Gpr37l1,1
80,Gpr75,1
81,Gpr84,1
82,Grm3,1
83,Grpr,1
84,Hrh1,1
85,Htr4,1
86,Htr6,1
87,Npffr2,1
88,Npsr1,1
89,Ntsr2,1
90,Oprl1,1
91,P2ry1,1
92,P2ry13,1
93,P2ry6,1
94,Ptger4,1
95,Sctr,1
96,Sstr1,1
97,Sstr4,1
98,Trhr,1
99,Vipr2,1
