source_id,short_cite,full_citation,year,journal,doi,pubmed,url,what_we_used,did_we_download_raw_matrix,raw_data_note
Yao2023_WMB,Yao 2023 Nature,"Yao Z, van Velthoven CTJ, Kunst M, et al. A high-resolution transcriptomic and spatial atlas of cell types in the whole mouse brain. Nature. 2023;624(7991):317-332.",2023,Nature,10.1038/s41586-023-06812-z,38092916,https://doi.org/10.1038/s41586-023-06812-z,"Allen Brain Cell Atlas WMB-10X scRNA-seq: cell metadata, gene metadata, taxonomy, and regional log2 cell-by-gene .h5ad matrices. This is the quantitative evidence behind every gene (max_pct, max_mean, specificity).",YES,"YES. Official ABC Atlas processed cell-by-gene log2 matrices (.h5ad) plus metadata were downloaded with abc_atlas_access (AWS public bucket allen-brain-cell-atlas, manifest releases/20240330). NOT sequencer FASTQ. For this panel: 226886 cells (ORBm 106122 from Isocortex shards; BMAp 120764 from STR shard). Local cache ~96 GB of regional .h5ad files."
ABC_portal,Allen ABC Atlas portal,Allen Institute for Brain Science. Allen Brain Cell Atlas data access (abc_atlas_access).,2024,Allen Institute,,,https://portal.brain-map.org/atlases-and-data/bkp/abc-atlas,Programmatic download path used by A00-A06. Docs: https://alleninstitute.github.io/abc_atlas_access/,YES,Same as Yao 2023 WMB-10X. Cache dir C:/Users/hsollim/Downloads/abc_atlas_cache.
Hochgerner2023,Hochgerner 2023 Nat Neurosci,"Hochgerner H, Singh S, Tibi M, et al. Neuronal types in the mouse amygdala and their transcriptional response to fear conditioning. Nat Neurosci. 2023;26:2237-2249.",2023,Nature Neuroscience,10.1038/s41593-023-01469-3,37814025,https://doi.org/10.1038/s41593-023-01469-3,"Published posterior-BMA VGLUT1 type markers (Meis2/Calb2/Dcn, Cartpt, Mpped1/Tac1, Cd36, Gpr101, St8sia2, Ptpru, Htr2c) and Fezf1 as the MEA vs BMA discriminator. Stands in for Dan's amygdala list until that arrives.",NO,NO. We used the published marker lists from the paper text/figures. Their ArrayExpress matrix (E-MTAB-12096) was not downloaded. Every Hochgerner gene that made the panel was then re-checked in Allen WMB-10X.
Lui2021,Lui 2021 Cell,"Lui JH, Nguyen ND, Grutzner SM, et al. Differential encoding in prefrontal cortex projection neuron classes across cognitive tasks. Cell. 2021;184(2):489-506.e26.",2021,Cell,10.1016/j.cell.2020.11.046,33440148,https://doi.org/10.1016/j.cell.2020.11.046,"Published OFC/PFC cluster markers: Pld5 and Ackr3 (OFC vs mPFC), Otof (L2/3), Npr3 (deep L5), Tshz2, Rbp4, Cd44. Stands in for Jesse's ORBm list until that arrives.",NO,NO. We used the published cluster-exemplar genes from the paper. Their SMART-seq2 matrix was not downloaded. Every Lui gene that made the panel was then re-checked in Allen WMB-10X.
Pitts2024,Pitts 2024 Prog Neurobiol,"Pitts EG, Li DC, Gourley SL. A molecularly defined orbitofrontal cortical neuron population controls compulsive-like behavior, but not inflexible choice or habit. Prog Neurobiol. 2024.",2024,Progress in Neurobiology,10.1016/j.pneurobio.2024.102584,,https://doi.org/10.1016/j.pneurobio.2024.102584,Mc4r as a molecularly defined OFC population linked to compulsive-like behaviour and a druggable Gs GPCR.,NO,NO. Marker taken from the published paper; Mc4r expression was then confirmed in Allen WMB-10X ORBm cells.
Tasic2018,Tasic 2018 Nature,"Tasic B, Yao Z, Graybuck LT, et al. Shared and distinct transcriptomic cell types across neocortical areas. Nature. 2018;563(7729):72-78.",2018,Nature,10.1038/s41586-018-0654-5,30382198,https://doi.org/10.1038/s41586-018-0654-5,"Canonical cortical interneuron markers (Pvalb, Sst, Vip, Lamp5, Sncg) used as class backbone for ORBm.",NO,NO. Canonical published markers; expression confirmed in Allen WMB-10X.
Guenthner2013,Guenthner 2013 Neuron,"Guenthner CJ, Miyamichi K, Yang HH, Heller HC, Luo L. Permanent genetic access to transiently active neurons via TRAP: targeted recombination in active populations. Neuron. 2013;78(5):773-784.",2013,Neuron,10.1016/j.neuron.2013.03.025,23764283,https://doi.org/10.1016/j.neuron.2013.03.025,TRAP method. The panel includes Fos (driver locus) and the IEG set that reports the tagging window.,NO,Not a transcriptomic atlas. Method paper for TRAP2 x Ai14.
Madisen2010,Madisen 2010 Nat Neurosci,"Madisen L, Zwingman TA, Sunkin SM, et al. A robust and high-throughput Cre reporting and characterization system for the whole mouse brain. Nat Neurosci. 2010;13(1):133-140.",2010,Nature Neuroscience,10.1038/nn.2467,20023653,https://doi.org/10.1038/nn.2467,Ai14 (Rosa26-CAG-LSL-tdTomato) reporter. tdTomato is a custom Xenium probe because it is not a mouse gene.,NO,Not a transcriptomic atlas. Reporter-line paper. JAX 007914.
DeNardo2019,DeNardo 2019 Nat Neurosci,"DeNardo LA, Liu CD, Allen WE, et al. Temporal evolution of cortical ensembles promoting remote memory retrieval. Nat Neurosci. 2019;22(3):460-469.",2019,Nature Neuroscience,10.1038/s41593-018-0318-7,30692655,https://doi.org/10.1038/s41593-018-0318-7,TRAP2 (Fos2A-iCreER) line used in this project. JAX 030323. iCre is a custom Xenium probe.,NO,Not a transcriptomic atlas. TRAP2 line paper.
XeniumMouseBrain,10x Xenium Mouse Brain v1,10x Genomics. Xenium Mouse Brain Gene Expression Panel v1 (pre-designed). Demo dataset gene_panel.json.,2023,10x Genomics,,,https://www.10xgenomics.com/products/xenium-in-situ,248-gene pre-designed panel. Genes already on this panel are free and do not count against the 100 add-on cap.,YES,Panel JSON fetched from the public 10x demo dataset and cached as v3/outputs/xenium_mouse_brain_base_panel.txt.
GtoPdb,IUPHAR/BPS Guide to PHARMACOLOGY,"Harding SD, Armstrong JF, Faccenda E, et al. The IUPHAR/BPS Guide to PHARMACOLOGY in 2024. Nucleic Acids Res.",2024,Nucleic Acids Research,10.1093/nar/gkad944,37897341,https://www.guidetopharmacology.org,Ligand/drug annotations for GPCRs on the panel (gpcr_drug_targets_detailed.csv).,NO,Receptor-ligand database via REST API; not a transcriptomic dataset.
