region,cell_type,allen_subclass,n_cells_in_anchor,recommended_GPCR_panel,recommended_drugs_per_gene,n_genes_recommended,evidence_tier_per_gene,what_to_do
CP,D1/direct-pathway SPN,061 STR D1 Gaba,16660,"Drd1, Grm1, Htr1b, Chrm4, Cnr1",Drd1: Apomorphine (FDA) | Grm1: JNJ-16259685 (research) | Htr1b: Sumatriptan (FDA 1992) | Chrm4: Xanomeline (Cobenfy/KarXT) (FDA 2024) | Cnr1: Dronabinol (Marinol; THC) (FDA 1985),5,Drd1=paper+allen_keep; Grm1=paper+allen_keep; Htr1b=paper+allen_keep; Chrm4=paper+allen_keep; Cnr1=paper+allen_broadly_detectable,ORDER (cell-type-specific picks available)
CP,D1/direct-pathway SPN,063 STR D1 Sema5a Gaba,780,"Drd1, Gabbr1, Gpr88, Grm5",Drd1: Apomorphine (FDA) | Gabbr1: Baclofen (Lioresal) (FDA 1977) | Gpr88: RTI-13951-33 (research) | Grm5: Mavoglurant (AFQ056) (clinical-trial),4,Drd1=paper+allen_broadly_detectable; Gabbr1=paper+allen_broadly_detectable; Gpr88=paper+allen_broadly_detectable; Grm5=paper+allen_broadly_detectable,ORDER WITH SPATIAL CONSTRAINT (broadly detectable only)
CP,D2/indirect-pathway SPN,062 STR D2 Gaba,18139,"Grm5, Gpr88, Drd2, Adora2a, Gpr6",Grm5: Mavoglurant (AFQ056) (clinical-trial) | Gpr88: RTI-13951-33 (research) | Drd2: Risperidone (FDA 1993) | Adora2a: Istradefylline (Nourianz) (FDA 2019) | Gpr6: CVN424 (Cerevance) (clinical-trial),5,Grm5=paper+allen_keep; Gpr88=paper+allen_keep; Drd2=paper+allen_keep; Adora2a=paper+allen_keep; Gpr6=paper+allen_keep,ORDER (cell-type-specific picks available)
CP,Cholinergic interneuron,058 PAL-STR Gaba-Chol,30,"Gabbr1, Chrm2, Oprm1, Tacr3, Oprd1",Gabbr1: Baclofen (Lioresal) (FDA 1977) | Chrm2: Donepezil (Aricept) (FDA 1996) | Oprm1: Morphine (FDA) | Tacr3: Fezolinetant (Veozah) (FDA 2023) | Oprd1: SNC80 (research),5,Gabbr1=paper+allen_keep; Chrm2=paper+allen_keep; Oprm1=paper+allen_keep; Tacr3=allen_only_keep; Oprd1=allen_only_keep,ORDER (cell-type-specific picks available)
BMAp,Posterior BMA glutamatergic VGLUT1-like,012 MEA Slc17a7 Glut,3984,"Gabbr1, Gabbr2, Grm5, Npy2r",Gabbr1: Baclofen (Lioresal) (FDA 1977) | Gabbr2: Baclofen (FDA 1977) | Grm5: Mavoglurant (AFQ056) (clinical-trial) | Npy2r: BIIE0246 (research),4,Gabbr1=paper+allen_broadly_detectable; Gabbr2=paper+allen_broadly_detectable; Grm5=paper+allen_broadly_detectable; Npy2r=allen_only_broadly_detectable,ORDER WITH SPATIAL CONSTRAINT (broadly detectable only)
BMAp,Posterior BMA glutamatergic VGLUT1-like,113 MEA-COA-BMA Ccdc42 Glut,9654,"Gabbr1, Gabbr2, Grm5, Oprm1",Gabbr1: Baclofen (Lioresal) (FDA 1977) | Gabbr2: Baclofen (FDA 1977) | Grm5: Mavoglurant (AFQ056) (clinical-trial) | Oprm1: Morphine (FDA),4,Gabbr1=paper+allen_broadly_detectable; Gabbr2=paper+allen_broadly_detectable; Grm5=paper+allen_broadly_detectable; Oprm1=paper+allen_broadly_detectable,ORDER WITH SPATIAL CONSTRAINT (broadly detectable only)
RE,Midline thalamic glutamatergic / reuniens,152 RE-Xi Nox4 Glut,5450,"Gabbr1, Gabbr2, Grm1, Grm5",Gabbr1: Baclofen (Lioresal) (FDA 1977) | Gabbr2: Baclofen (FDA 1977) | Grm1: JNJ-16259685 (research) | Grm5: Mavoglurant (AFQ056) (clinical-trial),4,Gabbr1=paper+allen_broadly_detectable; Gabbr2=paper+allen_broadly_detectable; Grm1=paper+allen_broadly_detectable; Grm5=paper+allen_broadly_detectable,ORDER WITH SPATIAL CONSTRAINT (broadly detectable only)
RE,Midline thalamic glutamatergic / reuniens,149 PVT-PT Ntrk1 Glut,9854,"Oprk1, Galr1, Oxtr, Cnr1, Oprm1",Oprk1: Difelikefalin (Korsuva) (FDA 2021) | Galr1: M40 (galanin antagonist) (research) | Oxtr: Carbetocin (Pabal/Lonactene) (EU-only) | Cnr1: Dronabinol (Marinol; THC) (FDA 1985) | Oprm1: Morphine (FDA),5,Oprk1=allen_only_keep; Galr1=allen_only_keep; Oxtr=allen_only_keep; Cnr1=allen_only_broadly_detectable; Oprm1=allen_only_broadly_detectable,ORDER (cell-type-specific picks available)
RE,Midline thalamic glutamatergic / reuniens,145 MH Tac2 Glut,7972,"Gabbr1, Gabbr2, Sstr2, Tacr1",Gabbr1: Baclofen (Lioresal) (FDA 1977) | Gabbr2: Baclofen (FDA 1977) | Sstr2: Octreotide (FDA 1988) | Tacr1: Aprepitant (Emend) (FDA 2003),4,Gabbr1=paper+allen_keep; Gabbr2=paper+allen_keep; Sstr2=paper+allen_keep; Tacr1=allen_only_keep,ORDER (cell-type-specific picks available)
LM,Lateral mammillary excitatory,144 MM Foxb1 Glut,8270,"Gabbr1, Gabbr2, Grm1",Gabbr1: Baclofen (Lioresal) (FDA 1977) | Gabbr2: Baclofen (FDA 1977) | Grm1: JNJ-16259685 (research),3,Gabbr1=paper+allen_broadly_detectable; Gabbr2=paper+allen_broadly_detectable; Grm1=paper+allen_broadly_detectable,ORDER WITH SPATIAL CONSTRAINT (broadly detectable only)
LM,Lateral mammillary excitatory,143 MM-ant Foxb1 Glut,5437,"Htr2a, Gabbr1, Gabbr2, Grm1",Htr2a: Pimavanserin (Nuplazid) (FDA 2016) | Gabbr1: Baclofen (Lioresal) (FDA 1977) | Gabbr2: Baclofen (FDA 1977) | Grm1: JNJ-16259685 (research),4,Htr2a=allen_only_keep; Gabbr1=paper+allen_broadly_detectable; Gabbr2=paper+allen_broadly_detectable; Grm1=paper+allen_broadly_detectable,ORDER (cell-type-specific picks available)
ORBm,L2/3 IT excitatory,007 L2/3 IT CTX Glut,8869,"Cckbr, Gabbr1, Gabbr2, Grm1, Grm5",Cckbr: Netazepide (YF476) (clinical-trial) | Gabbr1: Baclofen (Lioresal) (FDA 1977) | Gabbr2: Baclofen (FDA 1977) | Grm1: JNJ-16259685 (research) | Grm5: Mavoglurant (AFQ056) (clinical-trial),5,Cckbr=paper+allen_keep; Gabbr1=paper+allen_broadly_detectable; Gabbr2=paper+allen_broadly_detectable; Grm1=paper+allen_broadly_detectable; Grm5=paper+allen_broadly_detectable,ORDER (cell-type-specific picks available)
AId,Upper-layer IT excitatory,007 L2/3 IT CTX Glut,7697,"Gpr88, Cckbr, Gabbr1, Gabbr2, Grm5",Gpr88: RTI-13951-33 (research) | Cckbr: Netazepide (YF476) (clinical-trial) | Gabbr1: Baclofen (Lioresal) (FDA 1977) | Gabbr2: Baclofen (FDA 1977) | Grm5: Mavoglurant (AFQ056) (clinical-trial),5,Gpr88=allen_only_keep; Cckbr=paper+allen_broadly_detectable; Gabbr1=paper+allen_broadly_detectable; Gabbr2=paper+allen_broadly_detectable; Grm5=paper+allen_broadly_detectable,ORDER (cell-type-specific picks available)
