region_user,cell_type_label,allen_subclass_anchor,anchor_confidence,anchor_notes,n_cells_in_anchor,cell_type_marker_genes,exclusion_markers,paper_suggested_gpcrs,top_GPCRs_to_choose,top_GPCRs_by_expression,agreement_paper_vs_allen,n_GPCRs_keep,warning
CP,D1/direct-pathway SPN,061 STR D1 Gaba,high,Canonical D1 SPN; matches Drd1/Tac1/Pdyn markers,16660,"Drd1, Isl1, Pdyn, Tac1","Adora2a, Drd2, Penk","Chrm4, Cnr1, Drd1, Gabbr1, Gpr88, Grm1, Grm5, Htr1b, Oprd1, Oprm1","Drd1(spec=0.44, log2=8.77, pct=100%, status=keep); Grm1(spec=0.22, log2=8.99, pct=99%, status=keep); Htr1b(spec=0.15, log2=6.50, pct=93%, status=keep); Chrm4(spec=0.00, log2=0.27, pct=6%, status=candidate_to_validate)","Grm5(log2=11.36, pct=100%, spec=-0.02); Gpr88(log2=10.17, pct=100%, spec=-0.76); Grm1(log2=8.99, pct=99%, spec=0.22); Drd1(log2=8.77, pct=100%, spec=0.44); Gabbr1(log2=8.59, pct=100%, spec=-0.59); Cnr1(log2=7.76, pct=93%, spec=-1.92); Htr2c(log2=7.00, pct=94%, spec=-0.75); Htr1b(log2=6.50, pct=93%, spec=0.15)","both: Chrm4, Drd1, Grm1, Htr1b | paper_only: Cnr1(downgrade,spec=-1.92,log2=7.76); Gabbr1(downgrade,spec=-0.59,log2=8.59); Gpr88(downgrade,spec=-0.76,log2=10.17); Grm5(downgrade,spec=-0.02,log2=11.36); Oprd1(downgrade,spec=-5.76,log2=0.13); Oprm1(downgrade,spec=-5.12,log2=2.83)",4,
CP,D1/direct-pathway SPN,063 STR D1 Sema5a Gaba,medium,D1 SPN Sema5a variant,780,"Drd1, Isl1, Pdyn, Tac1","Adora2a, Drd2, Penk","Chrm4, Cnr1, Drd1, Gabbr1, Gpr88, Grm1, Grm5, Htr1b, Oprd1, Oprm1",,"Gpr88(log2=10.70, pct=100%, spec=-0.22); Grm5(log2=10.34, pct=100%, spec=-1.04); Gabbr1(log2=8.53, pct=100%, spec=-0.65); Drd1(log2=8.33, pct=99%, spec=-0.44); Cnr1(log2=6.79, pct=85%, spec=-2.88); Gabbr2(log2=5.61, pct=87%, spec=-3.96); Tacr1(log2=5.25, pct=77%, spec=-5.26); Grm1(log2=4.36, pct=68%, spec=-4.63)","paper_only: Chrm4(downgrade,spec=-0.00,log2=0.27); Cnr1(downgrade,spec=-2.88,log2=6.79); Drd1(downgrade,spec=-0.44,log2=8.33); Gabbr1(downgrade,spec=-0.65,log2=8.53); Gpr88(downgrade,spec=-0.22,log2=10.70); Grm1(downgrade,spec=-4.63,log2=4.36); Grm5(downgrade,spec=-1.04,log2=10.34); Htr1b(downgrade,spec=-3.19,log2=3.31); Oprd1(downgrade,spec=-5.21,log2=0.68); Oprm1(downgrade,spec=-3.98,log2=3.97)",0,no GPCR passes keep/validate thresholds; using expression fallback
CP,D2/indirect-pathway SPN,062 STR D2 Gaba,high,Canonical D2 SPN; matches Drd2/Adora2a/Penk markers,18139,"Adora2a, Drd2, Gpr52, Gpr6, Penk, Sp9","Drd1, Tac1","Adora2a, Chrm4, Cnr1, Drd2, Gpr52, Gpr6, Gpr88, Grm1, Grm5, Oprd1","Grm5(spec=0.02, log2=11.38, pct=100%, status=keep); Gpr88(spec=0.22, log2=10.92, pct=100%, status=keep); Drd2(spec=0.24, log2=9.26, pct=99%, status=keep); Adora2a(spec=4.32, log2=9.20, pct=99%, status=keep); Gpr6(spec=5.74, log2=6.45, pct=93%, status=keep); Gpr52(spec=2.26, log2=2.78, pct=50%, status=keep)","Grm5(log2=11.38, pct=100%, spec=0.02); Gpr88(log2=10.92, pct=100%, spec=0.22); Drd2(log2=9.26, pct=99%, spec=0.24); Adora2a(log2=9.20, pct=99%, spec=4.32); Grm1(log2=8.77, pct=98%, spec=-0.22); Gabbr1(log2=8.49, pct=100%, spec=-0.69); Htr2c(log2=7.34, pct=94%, spec=-0.41); Cnr1(log2=7.28, pct=88%, spec=-2.40)","both: Adora2a, Drd2, Gpr52, Gpr6, Gpr88, Grm5 | paper_only: Chrm4(downgrade,spec=-0.27,log2=0.01); Cnr1(downgrade,spec=-2.40,log2=7.28); Grm1(downgrade,spec=-0.22,log2=8.77); Oprd1(downgrade,spec=-2.02,log2=3.86)",6,
CP,Cholinergic interneuron,058 PAL-STR Gaba-Chol,high,Cholinergic-Gaba; ChAT-positive interneuron,30,"Chat, Lhx8, Slc18a3, Slc5a7","Drd1, Drd2","Adora2a, Chrm2, Chrm4, Cnr1, Drd2, Gabbr1, Oprm1, Tacr1","Gabbr1(spec=0.59, log2=9.18, pct=100%, status=keep); Chrm2(spec=0.32, log2=8.97, pct=100%, status=keep); Oprm1(spec=1.08, log2=7.95, pct=100%, status=keep); Tacr3(spec=3.71, log2=7.12, pct=93%, status=keep); Oprd1(spec=2.02, log2=5.88, pct=97%, status=keep); Hcrtr2(spec=3.07, log2=4.37, pct=77%, status=keep); Crhr1(spec=0.14, log2=3.07, pct=67%, status=keep)","Tacr1(log2=9.99, pct=100%, spec=-0.52); Gabbr1(log2=9.18, pct=100%, spec=0.59); Drd2(log2=9.02, pct=100%, spec=-0.24); Chrm2(log2=8.97, pct=100%, spec=0.32); Oprm1(log2=7.95, pct=100%, spec=1.08); Gabbr2(log2=7.19, pct=100%, spec=-2.38); Tacr3(log2=7.12, pct=93%, spec=3.71); Grm5(log2=6.03, pct=93%, spec=-5.35)","both: Chrm2, Gabbr1, Oprm1 | paper_only: Adora2a(downgrade,spec=-7.84,log2=1.36); Chrm4(downgrade,spec=-0.27,log2=0.00); Cnr1(downgrade,spec=-7.31,log2=2.37); Drd2(downgrade,spec=-0.24,log2=9.02); Tacr1(downgrade,spec=-0.52,log2=9.99) | allen_only_keep: Crhr1, Hcrtr2, Oprd1, Tacr3",7,
BMAp,Posterior BMA glutamatergic VGLUT1-like,012 MEA Slc17a7 Glut,high,Slc17a7 = VGLUT1; BMA glutamatergic,3984,"C1ql2, Cartpt, Dcn, Gpr101, Meis2, Slc17a7","Gad1, Gad2, Slc32a1","Cckbr, Cnr1, Crhr1, Gabbr1, Gabbr2, Gpr101, Grm5, Htr2c, Npy1r, Oprd1, Oprm1, Sstr2, Tacr1",,"Grm5(log2=10.54, pct=100%, spec=-0.93); Gabbr2(log2=8.68, pct=100%, spec=-1.23); Gabbr1(log2=8.18, pct=100%, spec=-0.71); Grm1(log2=7.84, pct=98%, spec=-3.03); Npy2r(log2=5.07, pct=76%, spec=-0.62); Htr2c(log2=3.99, pct=59%, spec=-5.59); Cnr1(log2=3.94, pct=65%, spec=-7.56); Tacr1(log2=3.94, pct=62%, spec=-3.02)","paper_only: Cckbr(downgrade,spec=-3.12,log2=3.31); Cnr1(downgrade,spec=-7.56,log2=3.94); Crhr1(downgrade,spec=-1.34,log2=2.20); Gabbr1(downgrade,spec=-0.71,log2=8.18); Gabbr2(downgrade,spec=-1.23,log2=8.68); Gpr101(downgrade,spec=-4.05,log2=2.94); Grm5(downgrade,spec=-0.93,log2=10.54); Htr2c(downgrade,spec=-5.59,log2=3.99); Npy1r(downgrade,spec=-3.69,log2=3.64); Oprd1(downgrade,spec=-4.98,log2=0.56); Oprm1(downgrade,spec=-3.70,log2=3.70); Sstr2(downgrade,spec=-2.64,log2=2.11); Tacr1(downgrade,spec=-3.02,log2=3.94)",0,no GPCR passes keep/validate thresholds; using expression fallback
BMAp,Posterior BMA glutamatergic VGLUT1-like,113 MEA-COA-BMA Ccdc42 Glut,medium,Major MEA-COA-BMA glutamatergic subclass in sAMY,9654,"C1ql2, Cartpt, Dcn, Gpr101, Meis2, Slc17a7","Gad1, Gad2, Slc32a1","Cckbr, Cnr1, Crhr1, Gabbr1, Gabbr2, Gpr101, Grm5, Htr2c, Npy1r, Oprd1, Oprm1, Sstr2, Tacr1",,"Grm5(log2=10.36, pct=100%, spec=-1.12); Gabbr2(log2=8.38, pct=99%, spec=-1.53); Gabbr1(log2=8.28, pct=99%, spec=-0.61); Grm1(log2=8.23, pct=98%, spec=-2.64); Htr2c(log2=7.38, pct=87%, spec=-2.20); Oprm1(log2=5.73, pct=82%, spec=-1.67); Npy1r(log2=3.71, pct=62%, spec=-3.62); Adcyap1r1(log2=3.65, pct=63%, spec=-2.94)","paper_only: Cckbr(downgrade,spec=-3.22,log2=3.22); Cnr1(downgrade,spec=-10.94,log2=0.57); Crhr1(downgrade,spec=-1.36,log2=2.19); Gabbr1(downgrade,spec=-0.61,log2=8.28); Gabbr2(downgrade,spec=-1.53,log2=8.38); Gpr101(downgrade,spec=-3.42,log2=3.57); Grm5(downgrade,spec=-1.12,log2=10.36); Htr2c(downgrade,spec=-2.20,log2=7.38); Npy1r(downgrade,spec=-3.62,log2=3.71); Oprd1(downgrade,spec=-3.55,log2=1.98); Oprm1(downgrade,spec=-1.67,log2=5.73); Sstr2(downgrade,spec=-2.28,log2=2.47); Tacr1(downgrade,spec=-6.77,log2=0.19)",0,no GPCR passes keep/validate thresholds; using expression fallback
RE,Midline thalamic glutamatergic / reuniens,152 RE-Xi Nox4 Glut,high,Exact reuniens (RE) and Xi nuclei subclass,5450,"Calb2, Pcp4, Slc17a6, Spon1, Tcf7l2","Gad1, Gad2","Adcyap1r1, Chrm2, Gabbr1, Gabbr2, Grm1, Grm5, Htr2a, Ntsr1, Ntsr2, Sstr2",,"Grm5(log2=10.02, pct=100%, spec=-1.51); Gabbr1(log2=9.35, pct=100%, spec=-1.71); Gabbr2(log2=9.23, pct=99%, spec=-1.58); Grm1(log2=8.82, pct=98%, spec=-1.19); Chrm2(log2=6.27, pct=81%, spec=-2.93); Oprm1(log2=5.28, pct=70%, spec=-2.15); Htr2c(log2=3.87, pct=53%, spec=-7.88); Npy1r(log2=3.20, pct=51%, spec=-3.79)","paper_only: Adcyap1r1(downgrade,spec=-5.37,log2=2.78); Chrm2(downgrade,spec=-2.93,log2=6.27); Gabbr1(downgrade,spec=-1.71,log2=9.35); Gabbr2(downgrade,spec=-1.58,log2=9.23); Grm1(downgrade,spec=-1.19,log2=8.82); Grm5(downgrade,spec=-1.51,log2=10.02); Htr2a(downgrade,spec=-3.09,log2=0.04); Ntsr1(downgrade,spec=-1.23,log2=0.33); Ntsr2(downgrade,spec=-9.00,log2=0.04); Sstr2(downgrade,spec=-4.46,log2=0.20)",0,no GPCR passes keep/validate thresholds; using expression fallback
RE,Midline thalamic glutamatergic / reuniens,149 PVT-PT Ntrk1 Glut,medium,PVT/PT midline thalamic glutamatergic,9854,"Calb2, Pcp4, Slc17a6, Spon1, Tcf7l2","Gad1, Gad2","Adcyap1r1, Chrm2, Gabbr1, Gabbr2, Grm1, Grm5, Htr2a, Ntsr1, Ntsr2, Sstr2","Oprk1(spec=1.42, log2=4.18, pct=66%, status=keep); Galr1(spec=0.23, log2=2.12, pct=35%, status=keep); Oxtr(spec=0.50, log2=1.89, pct=34%, status=keep)","Grm5(log2=8.86, pct=99%, spec=-2.67); Gabbr2(log2=8.80, pct=99%, spec=-2.01); Gabbr1(log2=8.76, pct=100%, spec=-2.30); Grm1(log2=7.07, pct=87%, spec=-2.93); Oprm1(log2=6.85, pct=84%, spec=-0.58); Cnr1(log2=5.48, pct=78%, spec=-0.69); Htr2c(log2=5.43, pct=72%, spec=-6.32); Adcyap1r1(log2=5.24, pct=81%, spec=-2.91)","paper_only: Adcyap1r1(downgrade,spec=-2.91,log2=5.24); Chrm2(downgrade,spec=-5.90,log2=3.30); Gabbr1(downgrade,spec=-2.30,log2=8.76); Gabbr2(downgrade,spec=-2.01,log2=8.80); Grm1(downgrade,spec=-2.93,log2=7.07); Grm5(downgrade,spec=-2.67,log2=8.86); Htr2a(downgrade,spec=-3.10,log2=0.03); Ntsr1(downgrade,spec=-1.24,log2=0.32); Ntsr2(downgrade,spec=-8.68,log2=0.36); Sstr2(downgrade,spec=-4.18,log2=0.48) | allen_only_keep: Galr1, Oprk1, Oxtr",3,
RE,Midline thalamic glutamatergic / reuniens,145 MH Tac2 Glut,medium,Medial habenula Tac2; adjacent midline structure,7972,"Calb2, Pcp4, Slc17a6, Spon1, Tcf7l2","Gad1, Gad2","Adcyap1r1, Chrm2, Gabbr1, Gabbr2, Grm1, Grm5, Htr2a, Ntsr1, Ntsr2, Sstr2","Gabbr1(spec=1.44, log2=11.06, pct=100%, status=keep); Gabbr2(spec=0.83, log2=10.81, pct=99%, status=keep); Tacr1(spec=1.61, log2=6.00, pct=78%, status=keep); Sstr2(spec=2.64, log2=4.66, pct=68%, status=keep)","Gabbr1(log2=11.06, pct=100%, spec=1.44); Gabbr2(log2=10.81, pct=99%, spec=0.83); Tacr1(log2=6.00, pct=78%, spec=1.61); Oprm1(log2=5.06, pct=56%, spec=-2.36); Sstr2(log2=4.66, pct=68%, spec=2.64); Grm5(log2=3.99, pct=53%, spec=-7.53); Cnr1(log2=3.72, pct=55%, spec=-2.45); Grm1(log2=2.43, pct=35%, spec=-7.57)","both: Gabbr1, Gabbr2, Sstr2 | paper_only: Adcyap1r1(downgrade,spec=-7.94,log2=0.22); Chrm2(downgrade,spec=-8.87,log2=0.33); Grm1(downgrade,spec=-7.57,log2=2.43); Grm5(downgrade,spec=-7.53,log2=3.99); Htr2a(downgrade,spec=-2.68,log2=0.45); Ntsr1(downgrade,spec=-1.54,log2=0.02); Ntsr2(downgrade,spec=-8.96,log2=0.08) | allen_only_keep: Tacr1",4,
LM,Lateral mammillary excitatory,144 MM Foxb1 Glut,high,Foxb1+ mammillary body main subclass,8270,"Foxb1, Lhx5, Pou4f1",Slc32a1,"Adcyap1r1, Avpr1a, Cckbr, Gabbr1, Gabbr2, Grm1, Hcrtr1, Hcrtr2, Mc4r, Oxtr, Sstr2",,"Grm1(log2=9.71, pct=100%, spec=-0.13); Gabbr2(log2=8.35, pct=97%, spec=-1.75); Gabbr1(log2=8.28, pct=98%, spec=-1.00); Grm5(log2=6.82, pct=88%, spec=-4.45); Htr2c(log2=3.77, pct=49%, spec=-5.92); Adcyap1r1(log2=2.64, pct=47%, spec=-4.76); Gpr101(log2=1.90, pct=29%, spec=-3.44); Htr2a(log2=1.79, pct=27%, spec=-3.39)","paper_only: Adcyap1r1(downgrade,spec=-4.76,log2=2.64); Avpr1a(downgrade,spec=-2.15,log2=0.01); Cckbr(downgrade,spec=-4.07,log2=0.28); Gabbr1(downgrade,spec=-1.00,log2=8.28); Gabbr2(downgrade,spec=-1.75,log2=8.35); Grm1(downgrade,spec=-0.13,log2=9.71); Hcrtr1(downgrade,spec=-1.61,log2=0.02); Hcrtr2(downgrade,spec=-4.36,log2=1.25); Mc4r(downgrade,spec=-1.20,log2=0.00); Oxtr(downgrade,spec=-3.63,log2=0.01); Sstr2(downgrade,spec=-2.19,log2=0.37)",0,no GPCR passes keep/validate thresholds; using expression fallback
