gene,priority,block,primary_category,regions,is_transgene,in_base_panel,needs_addon_slot
Arc,1,4_IEG_reporter_backbone,IEG_immediate,BMAp+ORBm,False,True,False
Ccn2,1,1_cell_type_unique_marker,cell_type_combination_marker,ORBm,False,True,False
Cplx3,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,True,False
Crh,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,True,False
Cux2,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,True,False
Fibcd1,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,True,False
Fos,1,4_IEG_reporter_backbone,IEG_immediate,BMAp+ORBm,False,True,False
Foxp2,1,1_cell_type_unique_marker,cell_type_combination_marker,BMAp+ORBm,False,True,False
Gad1,1,4_IEG_reporter_backbone,class_backbone,BMAp+ORBm,False,True,False
Gad2,1,4_IEG_reporter_backbone,class_backbone,BMAp+ORBm,False,True,False
Lamp5,1,1_cell_type_unique_marker,cell_type_combination_marker,BMAp+ORBm,False,True,False
Npy2r,1,2_GPCR_cell_type_specific,GPCR_cell_type_specific,BMAp+ORBm,False,True,False
Pdyn,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,True,False
Penk,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,True,False
Pou3f1,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,True,False
Prox1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,True,False
Pvalb,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,True,False
Rorb,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,True,False
Rprm,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,True,False
Sla,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,True,False
Slc17a6,1,4_IEG_reporter_backbone,class_backbone,BMAp+ORBm,False,True,False
Slc17a7,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,True,False
Sst,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,True,False
Vat1l,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,True,False
Vip,1,1_cell_type_unique_marker,cell_type_combination_marker,ORBm,False,True,False
Wfs1,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,True,False
Adcyap1,1,1_cell_type_unique_marker,cell_type_combination_marker,ORBm,False,False,True
Baiap3,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Cartpt,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Ccdc42,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Coch,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Cyp26b1,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Dlx1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Dmrta2,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Drd2,1,2_GPCR_cell_type_specific,GPCR_cell_type_specific,BMAp,False,False,True
Ebf1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Etv1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Fezf1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Galr1,1,2_GPCR_cell_type_specific,GPCR_cell_type_specific,BMAp,False,False,True
Gfra1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Gpr88,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Hcrtr2,1,2_GPCR_cell_type_specific,GPCR_cell_type_specific,BMAp+ORBm,False,False,True
Isl1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Krt9,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Lhx6,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Lratd2,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Matn2,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Mc4r,1,2_GPCR_cell_type_specific,GPCR_cell_type_specific,BMAp+ORBm,False,False,True
Moxd1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Nfib,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Nnat,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Nos1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Npas4,1,4_IEG_reporter_backbone,IEG_immediate,BMAp+ORBm,False,False,True
Nr2e1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Ntsr1,1,2_GPCR_cell_type_specific,GPCR_cell_type_specific,BMAp+ORBm,False,False,True
Nxph1,1,1_cell_type_unique_marker,cell_type_combination_marker,ORBm,False,False,True
Nxph4,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Oprk1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Oxtr,1,2_GPCR_cell_type_specific,GPCR_cell_type_specific,BMAp+ORBm,False,False,True
Ptpru,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Rai14,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Reln,1,1_cell_type_unique_marker,cell_type_combination_marker,ORBm,False,False,True
Sema5a,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Sim1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Skor1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
