gene,block,anchor_max_pct,best_anchor,pct_all_cells
Mbnl2,16_expanded_morphine_state,99.8,012 MEA Slc17a7 Glut,94.4
Rbms3,18_expanded_BMAp,99.5,120 MEA Otp Foxp2 Glut,57.3
Vps13a,16_expanded_morphine_state,96.8,012 MEA Slc17a7 Glut,75.2
Zdbf2,16_expanded_morphine_state,95.1,121 MEA-BST Otp Zic2 Glut,50.5
Chd2,16_expanded_morphine_state,94.4,119 SI-MA-LPO-LHA Skor1 Glut,76.2
Fxr1,16_expanded_morphine_state,88.2,119 SI-MA-LPO-LHA Skor1 Glut,67.2
Hspa5,16_expanded_morphine_state,87.4,074 MEA-BST Lhx6 Sp9 Gaba,75.0
Acsl4,16_expanded_morphine_state,84.8,022 L5 ET CTX Glut,58.2
Banp,16_expanded_morphine_state,82.6,012 MEA Slc17a7 Glut,54.6
Maml3,16_expanded_morphine_state,81.2,005 L5 IT CTX Glut,54.8
Ahctf1,16_expanded_morphine_state,76.3,012 MEA Slc17a7 Glut,52.8
Hsd17b12,16_expanded_morphine_state,74.4,119 SI-MA-LPO-LHA Skor1 Glut,55.7
Zfp933,16_expanded_morphine_state,70.0,082 CEA-BST Ebf1 Pdyn Gaba,47.8
Omg,16_expanded_morphine_state,67.3,029 L6b CTX Glut,50.2
Sox12,16_expanded_morphine_state,49.1,012 MEA Slc17a7 Glut,23.3
Chrd,16_expanded_morphine_state,48.6,022 L5 ET CTX Glut,11.4
Dnah5,12_GSE283418_added,48.4,012 MEA Slc17a7 Glut,13.5
Gpr12,17_expanded_ORB_GPCR,47.9,012 MEA Slc17a7 Glut,13.0
Syndig1l,12_GSE283418_added,46.5,082 CEA-BST Ebf1 Pdyn Gaba,7.2
Mas1,17_expanded_ORB_GPCR,44.8,022 L5 ET CTX Glut,8.3
Gpr68,17_expanded_ORB_GPCR,43.6,012 MEA Slc17a7 Glut,17.1
Zfp580,16_expanded_morphine_state,43.5,005 L5 IT CTX Glut,27.9
Emx1,8_TF_identity,41.2,012 MEA Slc17a7 Glut,8.1
Gabpa,16_expanded_morphine_state,38.2,012 MEA Slc17a7 Glut,24.3
Ntsr1,4_GPCR_cell_type_specific,35.0,012 MEA Slc17a7 Glut,10.9
Zbtb25,16_expanded_morphine_state,34.2,082 CEA-BST Ebf1 Pdyn Gaba,20.6
Rxfp1,14_Jesse_ORB_GPCR,34.1,022 L5 ET CTX Glut,9.2
Abca8a,12_GSE283418_added,32.0,012 MEA Slc17a7 Glut,4.6
Gabre,12_GSE283418_added,32.0,082 CEA-BST Ebf1 Pdyn Gaba,3.8
Mchr1,17_expanded_ORB_GPCR,32.0,022 L5 ET CTX Glut,8.9
Sp8,12_GSE283418_added,31.6,073 MEA-BST Sox6 Gaba,3.8
Tacr3,6_GPCR_druggable,30.1,082 CEA-BST Ebf1 Pdyn Gaba,5.6
Zbtb40,16_expanded_morphine_state,28.5,119 SI-MA-LPO-LHA Skor1 Glut,20.2
Tspan18,12_GSE283418_added,26.8,119 SI-MA-LPO-LHA Skor1 Glut,6.1
S1pr3,17_expanded_ORB_GPCR,24.3,006 L4/5 IT CTX Glut,9.2
Gpr3,17_expanded_ORB_GPCR,23.4,052 Pvalb Gaba,5.8
Glipr1,18_expanded_BMAp,22.0,113 MEA-COA-BMA Ccdc42 Glut,4.5
Ackr3,9_published_regional,21.3,004 L6 IT CTX Glut,10.7
Sfrp1,18_expanded_BMAp,21.1,049 Lamp5 Gaba,4.6
Rasa4,18_expanded_BMAp,20.3,119 SI-MA-LPO-LHA Skor1 Glut,4.7
Hsf5,16_expanded_morphine_state,20.1,012 MEA Slc17a7 Glut,10.2
Cd44,9_published_regional,19.7,082 CEA-BST Ebf1 Pdyn Gaba,4.6
Upk1b,18_expanded_BMAp,17.6,113 MEA-COA-BMA Ccdc42 Glut,3.5
Hcrtr1,4_GPCR_cell_type_specific,15.9,113 MEA-COA-BMA Ccdc42 Glut,4.0
Ctxn3,18_expanded_BMAp,15.8,120 MEA Otp Foxp2 Glut,2.5
Mgp,18_expanded_BMAp,15.8,012 MEA Slc17a7 Glut,3.2
Cx3cr1,3_class_backbone,15.0,119 SI-MA-LPO-LHA Skor1 Glut,14.0
C1ql1,18_expanded_BMAp,12.4,119 SI-MA-LPO-LHA Skor1 Glut,6.3
Th,3_class_backbone,11.3,052 Pvalb Gaba,1.2
Vdr,18_expanded_BMAp,11.2,082 CEA-BST Ebf1 Pdyn Gaba,1.2
C1ql2,18_expanded_BMAp,10.1,012 MEA Slc17a7 Glut,1.8
Vipr2,18_expanded_BMAp,8.2,082 CEA-BST Ebf1 Pdyn Gaba,1.8
Htr6,17_expanded_ORB_GPCR,5.2,004 L6 IT CTX Glut,2.2
Gpr63,16_expanded_morphine_state,2.7,049 Lamp5 Gaba,0.7
Sstr4,17_expanded_ORB_GPCR,1.4,022 L5 ET CTX Glut,0.4
