region,cell_type_label,allen_subclass_anchor,n_cells,best_marker_on_panel,pct_of_that_type,gap_vs_next_target_type_pp,backup_markers_on_panel
ORBm,L2/3 IT excitatory,007 L2/3 IT CTX Glut,8869,Ccbe1,74.5,53.6,"Smoc2 (83%, +35pp); Cux2 (95%, +18pp); Matn2 (68%, +8pp)"
ORBm,L4/5 IT excitatory,006 L4/5 IT CTX Glut,14152,Tnnc1,53.5,22.4,"Coch (57%, +22pp); Grm2 (71%, +19pp); Rorb (96%, +15pp)"
ORBm,L5 IT / L5 ET/PT output neurons,005 L5 IT CTX Glut,4419,Adam19,57.7,17.1,"Man2a1 (77%, +16pp); Bdnf (84%, +11pp); Cbln4 (58%, +8pp)"
ORBm,L5 IT / L5 ET/PT output neurons,022 L5 ET CTX Glut,3739,Pou3f1,92.1,51.0,"Npr3 (71%, +20pp); Bhlhe40 (94%, +15pp); Ndst3 (99%, +13pp)"
ORBm,L5 IT / L5 ET/PT output neurons,032 L5 NP CTX Glut,3988,Vwc2l,97.1,42.2,"Chrm2 (91%, +13pp); Cbln2 (89%, +13pp); Etv1 (100%, +10pp)"
ORBm,L6 CT / L6b,030 L6 CT CTX Glut,21453,Syt6,91.7,46.8,"Thsd7b (92%, +12pp); Lrrtm2 (91%, +12pp); Ppp1r1b (73%, +11pp)"
ORBm,L6 CT / L6b,029 L6b CTX Glut,1586,Ccn2,76.9,45.5,"Nr4a2 (58%, +16pp); Drd1 (67%, +16pp); Rai14 (87%, +15pp)"
ORBm,L6 CT / L6b,004 L6 IT CTX Glut,11338,Blnk,54.5,36.9,"Rspo2 (88%, +22pp); Sema3e (89%, +21pp); Nptx2 (64%, +17pp)"
ORBm,Cortical interneurons,052 Pvalb Gaba,2869,Pvalb,71.3,61.5,"Oprd1 (68%, +20pp); Tac1 (70%, +20pp); Cartpt (54%, +18pp)"
ORBm,Cortical interneurons,053 Sst Gaba,5377,Sst,99.0,46.7,"Masp1 (63%, +31pp); Grin3a (98%, +13pp); Elfn1 (84%, +12pp)"
ORBm,Cortical interneurons,046 Vip Gaba,3277,Vip,92.9,81.5,"Crh (57%, +37pp); Adra1b (76%, +15pp); Cnr1 (98%, +7pp)"
ORBm,Cortical interneurons,049 Lamp5 Gaba,2339,Pnoc,81.5,37.3,"Ndnf (54%, +36pp); Npy (88%, +20pp); Hcrtr2 (67%, +17pp)"
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,012 MEA Slc17a7 Glut,3984,Lhx9,69.2,48.7,"Slc29a4 (65%, +42pp); Npy2r (76%, +36pp); Col23a1 (80%, +34pp)"
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,113 MEA-COA-BMA Ccdc42 Glut,9654,Krt9,52.7,25.2,"Lamb3 (67%, +24pp); Penk (76%, +15pp); Bhlhe41 (80%, +9pp)"
BMAp,BMA/MEA VGLUT2-like excitatory,120 MEA Otp Foxp2 Glut,1504,Trh,64.0,35.9,"Calcrl (68%, +22pp); Fezf1 (72%, +18pp); Htr2c (98%, +8pp)"
BMAp,BMA/MEA VGLUT2-like excitatory,121 MEA-BST Otp Zic2 Glut,1255,Sim1,88.0,74.2,"Zic1 (70%, +38pp); Cbln1 (66%, +32pp); Gfra1 (64%, +8pp)"
BMAp,BMA/MEA VGLUT2-like excitatory,119 SI-MA-LPO-LHA Skor1 Glut,2180,Skor1,53.6,53.3,"Gpr149 (66%, +48pp); Ptpru (78%, +11pp); E2f6 (64%, +6pp)"
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,073 MEA-BST Sox6 Gaba,8705,Chn2,88.8,14.8,"Cdh8 (90%, +3pp); Nrxn3 (100%, +0pp); Syt1 (100%, +0pp)"
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,074 MEA-BST Lhx6 Sp9 Gaba,6461,Frem3,54.5,42.4,"Sp9 (79%, +28pp); Nr2e1 (59%, +17pp); Scn5a (90%, +6pp)"
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,082 CEA-BST Ebf1 Pdyn Gaba,6966,Isl1,54.8,53.6,"Ebf1 (73%, +50pp); Pdyn (63%, +23pp); Rgs9 (80%, +16pp)"
