gene,mean_linear_abundance
2010300C02Rik,80.788
Abca8a,8.677
Ackr3,11.206
Acsbg1,58.07
Acsl4,60.73
Acta2,29.07
Acvrl1,9.412
Adamts2,12.497
Adamtsl1,48.158
Adcyap1r1,73.692
Adgrl4,42.051
Adra1a,74.217
Adra1b,18.363
Ahctf1,46.153
Aldh1a2,0.95
Angpt1,24.495
Ano1,8.51
Aqp4,50.442
Arc,42.857
Arhgap12,50.265
Arhgap25,17.668
Arhgap6,73.128
Arhgef28,67.065
Arid5b,124.185
Baiap3,56.197
Banp,52.408
Bcl11b,127.418
Bdnf,50.673
Bhlhe22,15.11
Bhlhe40,47.023
Btbd11,50.938
C1ql1,25.982
C1ql2,1.758
Cabp7,3.08
Cacna2d2,60.361
Calb1,87.212
Calb2,34.709
Calcrl,26.154
Camk2a,416.141
Camk2g,185.648
Car4,19.246
Carmn,4.614
Cartpt,28.262
Cbln1,5.229
Cbln2,43.498
Cbln4,16.832
Ccdc42,1.991
Cck,277.446
Cckbr,26.971
Ccn2,7.495
Cd24a,6.306
Cd300c2,16.419
Cd44,3.467
Cd53,18.803
Cd68,7.687
Cd93,6.835
Cdh13,336.738
Cdh20,148.587
Cdh4,152.205
Cdh6,58.353
Cdh9,84.216
Chat,0.731
Chd2,122.695
Chodl,4.182
Chrd,6.247
Chrm1,66.282
Chrm2,50.802
Chrm3,269.256
Cldn5,49.767
Clmn,114.627
Cnih3,71.78
Cnr1,123.983
Cntn6,94.487
Cntnap4,96.092
Cntnap5b,178.41
Cobll1,45.112
Coch,7.995
Col19a1,36.553
Col1a1,3.141
Col23a1,25.456
Col6a1,19.025
Cort,12.652
Cplx3,7.4
Cpne4,134.096
Cpne6,37.891
Cpne8,59.238
Crem,32.095
Crh,10.096
Crhr1,13.293
Cspg4,33.02
Ctxn3,2.376
Cux2,48.614
Cwh43,6.419
Cx3cr1,204.971
Cyp1b1,0.979
Dcn,5.675
Deptor,23.498
Dkk3,118.153
Dlg4,187.19
Dlx1,20.509
Dnah5,9.732
Dner,170.426
Dpy19l1,86.267
Dpyd,179.268
Drd1,14.328
Drd2,6.582
Dusp1,52.105
Dusp4,2.125
Dusp5,6.169
E2f6,26.627
Ebf1,81.162
