,pct_of_panel_transcripts
Nrxn3,7.4732
Nrxn1,6.5251
Syt1,5.4688
Nlgn1,4.7568
Slc1a2,2.8912
Snap25,2.5597
Grin2b,2.5265
Grm5,2.483
Grm7,2.3418
Gria2,2.3098
Gria1,2.0568
Ntrk2,1.5241
Gria4,1.338
Gphn,1.2387
Gria3,1.1231
Grin2a,1.0812
Syp,1.045
Camk2a,1.0077
Meis2,0.9668
Mbnl2,0.9197
Gabbr2,0.9176
Nfib,0.8639
Mbp,0.8612
Ntrk3,0.8477
Foxp1,0.8454
Grm3,0.8395
Gpr158,0.8229
Gabbr1,0.7974
Gad2,0.7863
Egr1,0.7269
Rbfox3,0.7177
Slc6a1,0.7074
Slc17a7,0.6763
Cck,0.6718
Syn1,0.657
Grm8,0.6569
Jun,0.6522
Chrm3,0.652
Jund,0.6342
Plcl1,0.6278
Tshz2,0.6264
Homer1,0.6244
Pak1,0.6107
Camk2b,0.6044
Grin1,0.595
Junb,0.5301
Sox5,0.517
Sox6,0.5101
Rorb,0.4927
Rgs4,0.4795
Arhgap32,0.471
Rbms3,0.4628
Dlg4,0.4533
Camk2g,0.4495
Gad1,0.4211
Htr2c,0.41
Grin3a,0.4014
Grm1,0.3973
Nckap5,0.3674
Synpr,0.3511
Spon1,0.3438
Maml3,0.3347
Thsd7b,0.3318
Scg2,0.3214
Foxp2,0.3202
Sst,0.3201
Mpped1,0.3165
Bcl11b,0.3085
Vps13a,0.305
Arid5b,0.3007
Cnr1,0.3002
Tle4,0.2998
Lypd1,0.2978
Chd2,0.2971
Clock,0.2966
Sema5a,0.2931
Cdh8,0.2923
Btg2,0.2815
Hspa5,0.2805
Egr3,0.2528
Sgk1,0.2477
Npas2,0.2443
Lin7a,0.2414
Etv5,0.2243
Arhgap31,0.2237
Ndst3,0.2216
Htr1f,0.2214
Etv1,0.2195
Vgf,0.2185
Fos,0.2158
Pdgfra,0.2155
Satb2,0.2148
Nos1,0.2139
Calb1,0.2112
Ebf1,0.1965
Zdbf2,0.1907
Fxr1,0.1889
Tcf7l2,0.1885
Cry2,0.1881
Ep300,0.1849
Slc32a1,0.1848
Adra1a,0.1797
Adcyap1r1,0.1784
Pvt1,0.1783
Cnih3,0.1738
Creb1,0.1709
Npy,0.1678
Nr4a1,0.1617
Chrm1,0.1605
Gjc3,0.16
Maf,0.1594
Rgs2,0.157
Plce1,0.1568
Lrrtm2,0.1509
Oprm1,0.1498
Acsl4,0.1471
Vip,0.147
Pld5,0.1467
Per3,0.1453
Hivep1,0.1426
Neurod2,0.1395
Neurod6,0.1381
Hsd17b12,0.138
Baiap3,0.1361
Rprm,0.1357
Nr1d2,0.1346
Ier2,0.129
Gpr22,0.1285
Banp,0.1269
Dusp1,0.1262
Chrm2,0.123
Arntl,0.1227
Bdnf,0.1227
Kitl,0.1223
