gene,best_subclass,best_subclass_pct,gap_vs_median_subclass_pp,n_subclasses_ge50,n_subclasses,best_anchor,best_anchor_pct,n_anchors_ge50,n_anchors,pct_all_cells
2010300C02Rik,026 NLOT Rho Glut,99.0,41.4,40,75,022 L5 ET CTX Glut,95.1,14,20,55.3
Abca8a,330 VLMC NN,82.3,81.2,2,75,012 MEA Slc17a7 Glut,32.0,0,20,4.6
Ackr3,332 SMC NN,59.1,54.3,1,75,004 L6 IT CTX Glut,21.3,0,20,10.7
Acsbg1,318 Astro-NT NN,95.2,93.5,2,75,049 Lamp5 Gaba,2.9,0,20,12.2
Acsl4,058 PAL-STR Gaba-Chol,93.8,20.5,55,75,022 L5 ET CTX Glut,84.8,19,20,58.2
Acta2,332 SMC NN,95.8,95.4,1,75,119 SI-MA-LPO-LHA Skor1 Glut,0.8,0,20,1.1
Acvrl1,333 Endo NN,84.9,84.5,2,75,032 L5 NP CTX Glut,14.6,0,20,3.0
Adamts2,121 MEA-BST Otp Zic2 Glut,67.7,62.6,5,75,121 MEA-BST Otp Zic2 Glut,67.7,3,20,13.3
Adamtsl1,059 GPe-SI Sox6 Cyp26b1 Gaba,90.3,71.1,8,75,012 MEA Slc17a7 Glut,65.5,2,20,25.1
Adcyap1r1,058 PAL-STR Gaba-Chol,96.9,27.8,52,75,053 Sst Gaba,80.0,15,20,53.6
Adgrl4,333 Endo NN,98.8,98.3,1,75,121 MEA-BST Otp Zic2 Glut,0.9,0,20,2.5
Adra1a,055 STR Lhx8 Gaba,95.5,45.6,37,75,049 Lamp5 Gaba,93.3,13,20,46.2
Adra1b,046 Vip Gaba,76.2,66.5,6,75,046 Vip Gaba,75.5,3,20,16.9
Ahctf1,083 CEA-BST Rai14 Pdyn Crh Gaba,84.1,22.9,51,75,012 MEA Slc17a7 Glut,76.3,15,20,52.8
Aldh1a2,330 VLMC NN,87.1,87.0,1,75,012 MEA Slc17a7 Glut,1.4,0,20,0.3
Angpt1,133 PVH-SO-PVa Otp Glut,93.4,83.5,8,75,121 MEA-BST Otp Zic2 Glut,72.6,2,20,16.7
Ano1,331 Peri NN,81.8,81.4,3,75,052 Pvalb Gaba,4.4,0,20,2.1
Aqp4,318 Astro-NT NN,91.0,89.7,2,75,012 MEA Slc17a7 Glut,4.9,0,20,11.5
Arc,001 CLA-EPd-CTX Car3 Glut,87.0,78.3,9,75,006 L4/5 IT CTX Glut,83.6,5,20,26.8
Arhgap12,133 PVH-SO-PVa Otp Glut,94.1,32.5,47,75,119 SI-MA-LPO-LHA Skor1 Glut,78.9,12,20,46.1
Arhgap25,030 L6 CT CTX Glut,72.6,72.0,3,75,030 L6 CT CTX Glut,72.6,2,20,13.2
Arhgap6,079 CEA-BST Six3 Cyp26b1 Gaba,95.9,67.6,27,75,120 MEA Otp Foxp2 Glut,87.2,8,20,29.7
Arhgef28,026 NLOT Rho Glut,98.6,53.6,31,75,113 MEA-COA-BMA Ccdc42 Glut,88.2,11,20,51.4
Arid5b,022 L5 ET CTX Glut,96.4,17.7,63,75,022 L5 ET CTX Glut,96.4,19,20,69.8
Baiap3,077 CEA-BST Gal Avp Gaba,99.0,68.9,31,75,120 MEA Otp Foxp2 Glut,97.7,7,20,30.5
Banp,026 NLOT Rho Glut,89.5,24.5,51,75,012 MEA Slc17a7 Glut,82.6,15,20,54.6
Bcl11b,026 NLOT Rho Glut,100.0,38.6,42,75,022 L5 ET CTX Glut,99.7,12,20,48.2
Bdnf,013 COAp Grxcr2 Glut,95.0,90.6,17,75,005 L5 IT CTX Glut,84.2,9,20,25.5
Bhlhe22,026 NLOT Rho Glut,97.2,94.8,9,75,012 MEA Slc17a7 Glut,91.5,4,20,14.0
Bhlhe40,022 L5 ET CTX Glut,93.8,54.7,27,75,022 L5 ET CTX Glut,93.8,12,20,41.9
Btbd11,077 CEA-BST Gal Avp Gaba,98.5,45.3,38,75,052 Pvalb Gaba,96.2,11,20,31.5
C1ql1,326 OPC NN,96.3,95.1,3,75,119 SI-MA-LPO-LHA Skor1 Glut,12.4,0,20,6.3
C1ql2,133 PVH-SO-PVa Otp Glut,80.1,80.0,1,75,012 MEA Slc17a7 Glut,10.1,0,20,1.8
Cabp7,058 PAL-STR Gaba-Chol,64.4,60.7,2,75,119 SI-MA-LPO-LHA Skor1 Glut,36.6,0,20,5.4
Cacna2d2,058 PAL-STR Gaba-Chol,100.0,35.1,43,75,120 MEA Otp Foxp2 Glut,94.6,10,20,38.5
Calb1,013 COAp Grxcr2 Glut,100.0,58.5,31,75,007 L2/3 IT CTX Glut,94.7,10,20,37.1
Calb2,042 OB-out Frmd7 Gaba,96.8,80.6,18,75,120 MEA Otp Foxp2 Glut,91.2,6,20,18.9
Calcrl,326 OPC NN,87.0,85.0,5,75,120 MEA Otp Foxp2 Glut,68.1,1,20,11.4
Camk2a,002 IT EP-CLA Glut,100.0,2.2,61,75,022 L5 ET CTX Glut,100.0,20,20,75.9
Camk2g,077 CEA-BST Gal Avp Gaba,99.0,9.5,63,75,120 MEA Otp Foxp2 Glut,97.5,20,20,79.3
Car4,333 Endo NN,71.8,68.5,5,75,049 Lamp5 Gaba,57.7,2,20,13.2
Carmn,332 SMC NN,87.5,87.5,2,75,005 L5 IT CTX Glut,0.6,0,20,1.1
Cartpt,076 MEA-BST Lhx6 Nfib Gaba,70.0,63.5,3,75,052 Pvalb Gaba,54.2,1,20,9.7
Cbln1,121 MEA-BST Otp Zic2 Glut,65.9,64.1,2,75,121 MEA-BST Otp Zic2 Glut,65.9,1,20,6.3
Cbln2,077 CEA-BST Gal Avp Gaba,100.0,88.9,14,75,032 L5 NP CTX Glut,89.2,7,20,24.6
Cbln4,059 GPe-SI Sox6 Cyp26b1 Gaba,91.4,81.0,6,75,005 L5 IT CTX Glut,57.9,1,20,14.4
Ccdc42,113 MEA-COA-BMA Ccdc42 Glut,48.0,47.5,0,75,113 MEA-COA-BMA Ccdc42 Glut,48.0,0,20,3.8
Cck,002 IT EP-CLA Glut,100.0,75.1,23,75,004 L6 IT CTX Glut,100.0,9,20,42.5
Cckbr,013 COAp Grxcr2 Glut,91.7,76.5,13,75,022 L5 ET CTX Glut,74.2,9,20,31.3
Ccn2,330 VLMC NN,80.6,79.7,2,75,029 L6b CTX Glut,76.9,1,20,3.8
Cd24a,078 SI-MA-ACB Ebf1 Bnc2 Gaba,47.9,42.9,0,75,012 MEA Slc17a7 Glut,33.7,0,20,6.3
Cd300c2,334 Microglia NN,88.4,88.2,2,75,053 Sst Gaba,2.5,0,20,3.8
Cd44,058 PAL-STR Gaba-Chol,56.2,53.7,1,75,082 CEA-BST Ebf1 Pdyn Gaba,19.7,0,20,4.6
Cd53,334 Microglia NN,91.2,90.7,2,75,005 L5 IT CTX Glut,1.2,0,20,4.2
Cd68,335 BAM NN,87.3,84.5,2,75,074 MEA-BST Lhx6 Sp9 Gaba,11.1,0,20,6.2
Cd93,333 Endo NN,72.3,72.2,1,75,022 L5 ET CTX Glut,0.7,0,20,1.8
Cdh13,013 COAp Grxcr2 Glut,100.0,17.8,56,75,029 L6b CTX Glut,99.3,19,20,65.4
Cdh20,318 Astro-NT NN,93.6,67.2,13,75,049 Lamp5 Gaba,76.3,3,20,38.3
Cdh4,083 CEA-BST Rai14 Pdyn Crh Gaba,100.0,18.6,50,75,121 MEA-BST Otp Zic2 Glut,98.4,13,20,53.3
Cdh6,029 L6b CTX Glut,85.8,60.9,17,75,029 L6b CTX Glut,85.8,6,20,34.1
Cdh9,037 DG Glut,98.1,47.5,39,75,004 L6 IT CTX Glut,90.5,12,20,39.4
Chat,058 PAL-STR Gaba-Chol,84.4,84.3,1,75,046 Vip Gaba,12.2,0,20,0.5
Chd2,077 CEA-BST Gal Avp Gaba,97.9,16.6,71,75,119 SI-MA-LPO-LHA Skor1 Glut,94.4,20,20,76.2
Chodl,056 Sst Chodl Gaba,63.7,62.8,1,75,113 MEA-COA-BMA Ccdc42 Glut,21.8,0,20,5.3
