gene,own_best_subclass,own_pct,own_mean_log2,best_anchor,anchor_pct,anchor_mean_log2,n_subclasses_ge50,level_verdict
2010300C02Rik,026 NLOT Rho Glut,99.0,8.14,022 L5 ET CTX Glut,95.0,7.13,40,strong in its own population
Abca8a,330 VLMC NN,82.3,7.16,012 MEA Slc17a7 Glut,31.9,1.83,2,strong in its own population
Ackr3,332 SMC NN,59.1,4.91,004 L6 IT CTX Glut,21.3,1.21,1,usable in its own population
Acsbg1,318 Astro-NT NN,95.2,8.49,049 Lamp5 Gaba,2.9,0.17,2,strong in its own population
Acsl4,058 PAL-STR Gaba-Chol,93.8,5.8,022 L5 ET CTX Glut,84.8,5.6,55,strong in its own population
Acta2,332 SMC NN,95.8,11.62,119 SI-MA-LPO-LHA Skor1 Glut,0.8,0.04,1,strong in its own population
Acvrl1,333 Endo NN,84.9,7.42,032 L5 NP CTX Glut,14.6,0.9,2,strong in its own population
Adamts2,121 MEA-BST Otp Zic2 Glut,67.7,4.28,121 MEA-BST Otp Zic2 Glut,67.7,4.28,5,usable in its own population
Adamtsl1,059 GPe-SI Sox6 Cyp26b1 Gaba,90.3,7.3,012 MEA Slc17a7 Glut,65.5,5.16,8,strong in its own population
Adcyap1r1,058 PAL-STR Gaba-Chol,96.9,6.12,053 Sst Gaba,80.0,5.75,52,strong in its own population
Adgrl4,333 Endo NN,98.8,10.77,121 MEA-BST Otp Zic2 Glut,0.9,0.05,1,strong in its own population
Adra1a,055 STR Lhx8 Gaba,95.5,7.9,049 Lamp5 Gaba,93.3,8.05,37,strong in its own population
Adra1b,046 Vip Gaba,76.2,6.13,046 Vip Gaba,75.5,6.09,6,strong in its own population
Ahctf1,083 CEA-BST Rai14 Pdyn Crh Gaba,84.1,5.12,012 MEA Slc17a7 Glut,76.3,4.47,51,strong in its own population
Aldh1a2,330 VLMC NN,87.1,7.51,012 MEA Slc17a7 Glut,1.4,0.07,1,strong in its own population
Angpt1,133 PVH-SO-PVa Otp Glut,93.4,8.18,121 MEA-BST Otp Zic2 Glut,72.6,5.41,8,strong in its own population
Ano1,331 Peri NN,81.8,7.76,052 Pvalb Gaba,4.4,0.27,3,strong in its own population
Aqp4,318 Astro-NT NN,91.0,7.9,012 MEA Slc17a7 Glut,4.9,0.24,2,strong in its own population
Arc,001 CLA-EPd-CTX Car3 Glut,87.0,6.25,006 L4/5 IT CTX Glut,83.6,6.09,9,strong in its own population
Arhgap12,133 PVH-SO-PVa Otp Glut,94.1,6.16,119 SI-MA-LPO-LHA Skor1 Glut,78.8,4.93,47,strong in its own population
Arhgap25,030 L6 CT CTX Glut,72.6,4.8,030 L6 CT CTX Glut,72.6,4.8,3,strong in its own population
Arhgap6,079 CEA-BST Six3 Cyp26b1 Gaba,95.9,8.77,120 MEA Otp Foxp2 Glut,87.2,6.17,27,strong in its own population
Arhgef28,026 NLOT Rho Glut,98.6,7.39,113 MEA-COA-BMA Ccdc42 Glut,88.2,6.13,31,strong in its own population
Arid5b,022 L5 ET CTX Glut,96.4,7.37,022 L5 ET CTX Glut,96.4,7.37,63,strong in its own population
Baiap3,077 CEA-BST Gal Avp Gaba,99.0,7.45,120 MEA Otp Foxp2 Glut,97.7,7.63,31,strong in its own population
Banp,026 NLOT Rho Glut,89.5,5.64,012 MEA Slc17a7 Glut,82.6,5.04,51,strong in its own population
Bcl11b,026 NLOT Rho Glut,100.0,8.74,022 L5 ET CTX Glut,99.7,8.87,42,strong in its own population
Bdnf,013 COAp Grxcr2 Glut,95.0,8.95,005 L5 IT CTX Glut,84.2,6.24,17,strong in its own population
Bhlhe22,026 NLOT Rho Glut,97.2,6.92,012 MEA Slc17a7 Glut,91.5,6.5,9,strong in its own population
Bhlhe40,022 L5 ET CTX Glut,93.8,7.28,022 L5 ET CTX Glut,93.8,7.28,27,strong in its own population
Btbd11,077 CEA-BST Gal Avp Gaba,98.5,7.62,052 Pvalb Gaba,96.2,8.45,38,strong in its own population
C1ql1,326 OPC NN,96.3,8.49,119 SI-MA-LPO-LHA Skor1 Glut,12.4,0.83,3,strong in its own population
C1ql2,133 PVH-SO-PVa Otp Glut,80.2,5.33,012 MEA Slc17a7 Glut,10.1,0.54,1,strong in its own population
