gene,role,target_population,parent_cell_type,n_cells_target,pct_in_target,mean_log2_in_target,pct_in_rest_of_parent,gap_pp
Adamts17,subtype marker,0540 MEA-BST Otp Zic2 Glut_2,121 MEA-BST Otp Zic2 Glut,789,87.8,6.31,50.6,37.2
Arhgap31,subtype marker,0018 L5 IT CTX Glut_1,005 L5 IT CTX Glut,2895,77.5,5.34,25.5,52.0
Cbln4,subtype marker,0018 L5 IT CTX Glut_1,005 L5 IT CTX Glut,2895,85.2,6.01,6.1,79.1
Cd24a,subtype marker,0055 MEA Slc17a7 Glut_1,012 MEA Slc17a7 Glut,1330,79.0,5.16,11.0,68.1
Crispld2,subtype marker,0178 Vip Gaba_6,046 Vip Gaba,411,87.1,7.28,6.6,80.5
Dab2,subtype marker,0537 SI-MA-LPO-LHA Skor1 Glut_8,119 SI-MA-LPO-LHA Skor1 Glut,45,64.4,3.92,1.5,62.9
Dio3,subtype marker,0031 L2/3 IT CTX Glut_3,007 L2/3 IT CTX Glut,395,70.4,4.83,11.5,58.9
Elfn1,subtype marker,0210 Pvalb Gaba_6,052 Pvalb Gaba,154,52.6,3.58,5.7,46.9
Fbn2,subtype marker,0201 Lamp5 Gaba_3,049 Lamp5 Gaba,137,70.1,4.85,5.9,64.2
Gpr149,subtype marker,0342 MEA-BST Sox6 Gaba_6,073 MEA-BST Sox6 Gaba,1680,65.4,4.44,7.0,58.4
Hhip,subtype marker,0344 MEA-BST Sox6 Gaba_8,073 MEA-BST Sox6 Gaba,306,51.6,3.26,2.7,49.0
Hpse,subtype marker,0220 Sst Gaba_7,053 Sst Gaba,229,88.2,6.32,7.7,80.6
Lin7a,subtype marker,0199 Lamp5 Gaba_1,049 Lamp5 Gaba,1895,79.7,5.9,33.3,46.4
Lypd1,subtype marker,0091 L5 ET CTX Glut_2,022 L5 ET CTX Glut,1138,95.3,8.07,25.6,69.7
Masp1,subtype marker,0531 SI-MA-LPO-LHA Skor1 Glut_2,119 SI-MA-LPO-LHA Skor1 Glut,471,59.9,3.93,8.3,51.6
Myo1b,subtype marker,0018 L5 IT CTX Glut_1,005 L5 IT CTX Glut,2895,66.0,4.01,28.7,37.3
Nckap5,subtype marker,0013 L6 IT CTX Glut_1,004 L6 IT CTX Glut,3397,51.9,3.44,15.8,36.1
Ndst3,subtype marker,0199 Lamp5 Gaba_1,049 Lamp5 Gaba,1895,81.1,6.5,33.8,47.3
Plce1,subtype marker,0347 MEA-BST Lhx6 Sp9 Gaba_1,074 MEA-BST Lhx6 Sp9 Gaba,2458,60.4,3.84,26.3,34.1
Plcl1,subtype marker,0173 Vip Gaba_1,046 Vip Gaba,351,84.9,7.26,23.7,61.3
Plpp4,subtype marker,0539 MEA-BST Otp Zic2 Glut_1,121 MEA-BST Otp Zic2 Glut,183,65.6,4.53,9.3,56.2
Pvt1,subtype marker,0055 MEA Slc17a7 Glut_1,012 MEA Slc17a7 Glut,1330,90.2,5.85,50.8,39.4
Rspo3,subtype marker,0055 MEA Slc17a7 Glut_1,012 MEA Slc17a7 Glut,1330,88.0,5.86,29.5,58.5
Rxfp1,subtype marker,0022 L5 IT CTX Glut_5,005 L5 IT CTX Glut,1251,68.8,4.78,14.6,54.2
Spon1,subtype marker,0211 Pvalb Gaba_7,052 Pvalb Gaba,81,80.2,7.05,25.3,54.9
Vegfc,subtype marker,0530 SI-MA-LPO-LHA Skor1 Glut_1,119 SI-MA-LPO-LHA Skor1 Glut,187,61.5,4.12,5.9,55.6
Abi3bp,cell-type marker,032 L5 NP CTX Glut,032 L5 NP CTX Glut,3988,67.0,5.21,7.3,59.7
Blnk,cell-type marker,004 L6 IT CTX Glut,004 L6 IT CTX Glut,11338,54.5,3.58,7.6,46.9
Bmp3,cell-type marker,004 L6 IT CTX Glut,004 L6 IT CTX Glut,11338,77.4,5.25,20.5,56.9
Vwc2l,cell-type marker,032 L5 NP CTX Glut,032 L5 NP CTX Glut,3988,97.1,8.83,26.2,70.9
