anchor,supertype,n_cells,gene,pct_in,pct_rest_of_anchor,gap_pp
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Arhgef28,81.1,50.9,30.2
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Cdh13,98.2,71.1,27.1
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Cdh9,78.4,57.9,20.4
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Dpyd,73.0,38.4,34.7
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Inpp4b,57.4,29.1,28.3
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Matn2,79.7,56.9,22.7
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Necab2,58.5,34.2,24.3
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Nos1,68.7,28.2,40.6
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Otof,58.8,33.9,24.9
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Rspo2,69.8,46.8,23.0
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Vwc2l,53.3,23.4,29.9
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Grin3a,61.2,31.3,29.8
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Luzp2,62.4,38.4,24.0
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Lypd1,68.1,32.9,35.2
007 L2/3 IT CTX Glut,0029 L2/3 IT CTX Glut_1,4489,Spon1,54.7,25.6,29.1
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Adra1a,52.9,22.6,30.3
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Arc,77.7,37.4,40.3
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Bdnf,87.5,48.7,38.8
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Cbln2,89.6,38.4,51.1
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Cdh6,78.7,41.6,37.0
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Col19a1,87.9,38.9,48.9
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Crhr1,51.6,29.2,22.4
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Dpy19l1,76.0,43.9,32.1
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Egr1,96.8,67.3,29.5
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Egr4,56.9,36.8,20.1
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Etv5,89.8,57.6,32.2
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Fhl2,85.5,63.2,22.3
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Fhod3,89.0,67.9,21.0
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Garnl3,72.5,48.8,23.7
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Grm8,60.2,34.3,25.9
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Hivep1,75.3,50.7,24.6
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Htr2a,64.3,35.4,28.9
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Kcnh5,61.2,30.4,30.8
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Klf10,73.8,40.1,33.7
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Maml3,80.9,52.3,28.7
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Mbp,80.7,57.5,23.2
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Mdga1,67.5,35.6,31.9
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Npnt,52.1,5.7,46.5
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Npy1r,78.4,56.8,21.5
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Nr4a1,82.3,45.7,36.6
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Nrep,51.2,23.1,28.1
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Pcsk1,65.8,28.3,37.5
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Pcsk5,77.7,49.3,28.4
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Pde7b,94.8,55.7,39.1
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Pdzrn3,97.8,70.4,27.4
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Per1,66.6,44.1,22.5
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Pip5k1b,86.0,57.8,28.2
007 L2/3 IT CTX Glut,0030 L2/3 IT CTX Glut_2,3064,Pou3f1,63.7,29.1,34.7
