name_in_sow,kind,page,verbatim_quote,mouse_gene_symbols,is_endogenous_mouse_gene,reader_confidence,verifier_CONFIRMED,verifier_REJECTED,rejection_reason
fentanyl,drug,1,Drug potency (morphine → heroin → fentanyl) and individual,,False,high,3,0,
heroin,drug,1,Drug potency (morphine → heroin → fentanyl) and individual,,False,high,3,0,
morphine,drug,1,Drug potency (morphine → heroin → fentanyl) and individual,,False,high,3,0,
morphine → heroin → fentanyl,drug,1,persistence into protracted abstinence. Drug potency (morphine → heroin → fentanyl) and individual,,False,high,2,0,
Arc,explicit_gene_symbol,1,"early like Fos and Arc, clock genes like PER2, and pCREB-target genes)",Arc,True,high,5,0,
FOS,explicit_gene_symbol,3,"panel RNAscope pilot on existing rat OFC heroin tissue — SATB2 identity, FOS, PER2 (1b); behavior and",Fos,True,high,4,0,
Fos,explicit_gene_symbol,1,"early like Fos and Arc, clock genes like PER2, and pCREB-target genes)",Fos,True,high,5,0,
PER2,explicit_gene_symbol,1,"early like Fos and Arc, clock genes like PER2, and pCREB-target genes)",Per2,True,high,9,0,
SATB2,explicit_gene_symbol,3,"panel RNAscope pilot on existing rat OFC heroin tissue — SATB2 identity, FOS, PER2 (1b)",Satb2,True,high,7,0,
SATB2 identity,explicit_gene_symbol,3,"panel RNAscope pilot on existing rat OFC heroin tissue — SATB2 identity, FOS, PER2 (1b); behavior and",Satb2,True,high,0,0,
"SATB2 identity, FOS, PER2 (provisional panel, page-4 restatement)",explicit_gene_symbol,4,"provisional panel pilot  (SATB2 identity, FOS, PER2) on","Satb2, Fos, Per2",True,high,1,0,
3–5 gene marker panel (contents not yet named),gene_class_mention,1,"active from passive animals at the ~24 h post-test window, yielding a small (3–5 gene) cell-type",,False,high,2,0,
3–5-gene marker panel,gene_class_mention,2,passive seeking and yields a 3–5-gene marker panel (1a); the panel is validated by RNAscope/IHC in rat,,False,high,0,0,
GPCRs,gene_class_mention,2,"IT/CT-class principal cells sharing the same GPCRs (e.g., β1-adrenergic, 5-HT2A) is resolved at",,False,high,3,0,
GPCRs,gene_class_mention,2,"sharing the same GPCRs (e.g., β1-adrenergic, 5-HT2A)","Adrb1, Htr2a",True,high,3,0,
IT/CT-class principal cells,gene_class_mention,2,"IT/CT-class principal cells sharing the same GPCRs (e.g., β1-adrenergic, 5-HT2A) is resolved at","Slc17a7, Satb2, Cux2, Rorb, Foxp2, Tle4, Syt6, Ntsr1",True,high,0,0,
broad molecular and E/I changes,gene_class_mention,1,"including passive and therapeutic administration — drives broad molecular and E/I changes, so no","Slc17a7, Slc17a6, Gad1, Gad2, Slc32a1, Pvalb, Sst, Vip",True,medium,0,0,
clock genes,gene_class_mention,1,"early like Fos and Arc, clock genes like PER2, and pCREB-target genes)",,False,high,5,0,
clock genes,gene_class_mention,1,"early like Fos and Arc, clock genes like PER2, and pCREB-target genes) under both volitional and passive","Per1, Per2, Per3, Cry1, Cry2, Arntl, Clock, Npas2, Nr1d1, Nr1d2, Dbp, Ciart, Bhlhe41, Rorb",True,high,5,0,
clock genes,gene_class_mention,1,clock genes like PER2,Per2,True,medium,5,0,
cortical excitation/inhibition (E/I) balance,gene_class_mention,1,"exposure, consistent with a shift in cortical excitation/inhibition (E/I) balance. Because these","Slc17a7, Slc17a6, Gad1, Gad2, Slc32a1, Pvalb, Sst, Vip, Lamp5",True,high,0,0,
cortical intratelencephalic / cortico-thalamic (IT/CT) principal neurons,gene_class_mention,1,A second population — cortical intratelencephalic / cortico-thalamic (IT/CT) principal neurons of the,"Slc17a7, Satb2, Cux2, Rorb, Slc30a3, Rspo1, Otof, Foxp2, Tle4, Syt6, Ntsr1",True,high,0,0,
immediate-early,gene_class_mention,1,"undergoes opioid-induced transcriptional reprogramming (immediate-
early like Fos and Arc","Fos, Arc",True,high,1,0,
