region,anchor,n_cells,m20,m15,m10,best,best_gap
ORBm,007 L2/3 IT CTX Glut,8869,2,3,3,Ccbe1,53.6
ORBm,006 L4/5 IT CTX Glut,14152,2,3,4,Tnnc1,22.4
ORBm,005 L5 IT CTX Glut,4419,0,2,3,Adam19,17.1
ORBm,022 L5 ET CTX Glut,3739,2,2,4,Pou3f1,51.0
ORBm,032 L5 NP CTX Glut,3988,1,1,3,Vwc2l,42.2
ORBm,030 L6 CT CTX Glut,21453,1,1,4,Syt6,46.8
ORBm,029 L6b CTX Glut,1586,1,3,4,Ccn2,45.5
ORBm,004 L6 IT CTX Glut,11338,3,4,4,Blnk,36.9
ORBm,052 Pvalb Gaba,2869,2,5,5,Pvalb,61.5
ORBm,053 Sst Gaba,5377,2,2,4,Sst,46.7
ORBm,046 Vip Gaba,3277,2,3,3,Vip,81.5
ORBm,049 Lamp5 Gaba,2339,2,4,4,Pnoc,37.3
BMAp,012 MEA Slc17a7 Glut,3984,6,10,11,Lhx9,48.7
BMAp,113 MEA-COA-BMA Ccdc42 Glut,9654,2,3,3,Krt9,25.2
BMAp,120 MEA Otp Foxp2 Glut,1504,2,3,3,Trh,35.9
BMAp,121 MEA-BST Otp Zic2 Glut,1255,3,3,3,Sim1,74.2
BMAp,119 SI-MA-LPO-LHA Skor1 Glut,2180,2,2,3,Skor1,53.3
BMAp,073 MEA-BST Sox6 Gaba,8705,0,0,1,Chn2,14.8
BMAp,074 MEA-BST Lhx6 Sp9 Gaba,6461,2,3,3,Frem3,42.4
BMAp,082 CEA-BST Ebf1 Pdyn Gaba,6966,3,5,5,Isl1,53.6
