subclass,n_cells,gene,pct_in_class,pct_95th_other_subclass,gap_pp,on_v8
318 Astro-NT NN,11908,Acsbg1,95.2,5.0,90.2,False
318 Astro-NT NN,11908,Ntsr2,99.1,9.3,89.8,False
318 Astro-NT NN,11908,Aqp4,91.0,5.2,85.8,False
318 Astro-NT NN,11908,Rfx4,91.4,16.8,74.6,False
319 Astro-TE NN,12415,Acsbg1,94.3,5.0,89.3,False
319 Astro-TE NN,12415,Ntsr2,96.4,9.3,87.1,False
319 Astro-TE NN,12415,Aqp4,89.9,5.2,84.7,False
319 Astro-TE NN,12415,Rfx4,91.5,16.8,74.7,False
326 OPC NN,10312,Pdgfra,99.9,3.9,96.0,False
326 OPC NN,10312,Gpr17,98.3,2.7,95.6,False
326 OPC NN,10312,Sox10,97.7,4.2,93.4,False
326 OPC NN,10312,Cspg4,97.3,6.1,91.2,False
327 Oligo NN,12769,Gjc3,98.2,3.2,95.0,False
327 Oligo NN,12769,Sox10,95.5,4.2,91.3,False
327 Oligo NN,12769,Mbp,99.5,85.9,13.6,True
327 Oligo NN,12769,Plcl1,98.9,93.0,5.9,False
330 VLMC NN,418,Pdgfra,98.1,3.9,94.2,False
330 VLMC NN,418,Dcn,99.3,7.9,91.4,False
330 VLMC NN,418,Igf2,98.8,7.9,90.9,False
330 VLMC NN,418,Col1a1,95.0,5.4,89.6,False
331 Peri NN,1190,Vtn,98.5,2.6,95.9,False
331 Peri NN,1190,Cspg4,85.9,6.1,79.8,False
331 Peri NN,1190,Rgs5,99.7,22.7,76.9,False
331 Peri NN,1190,Pdgfrb,99.3,23.0,76.3,False
332 SMC NN,1170,Acta2,95.8,1.9,93.9,False
332 SMC NN,1170,Carmn,87.5,0.9,86.6,False
332 SMC NN,1170,Cspg4,91.0,6.1,85.0,False
332 SMC NN,1170,Pln,85.9,4.3,81.6,False
333 Endo NN,4328,Cldn5,99.0,1.7,97.4,False
333 Endo NN,4328,Adgrl4,98.8,2.0,96.8,False
333 Endo NN,4328,Ly6a,94.2,1.4,92.7,False
333 Endo NN,4328,Mecom,93.0,1.5,91.5,False
334 Microglia NN,8523,Siglech,98.2,1.3,96.9,False
334 Microglia NN,8523,Laptm5,99.3,2.7,96.6,False
334 Microglia NN,8523,Csf1r,99.8,4.4,95.4,False
334 Microglia NN,8523,Ikzf1,95.3,0.9,94.4,False
335 BAM NN,418,Lyz2,99.5,1.2,98.3,False
335 BAM NN,418,Laptm5,98.1,2.7,95.4,False
335 BAM NN,418,Csf1r,99.0,4.4,94.6,False
335 BAM NN,418,Cd53,88.3,1.7,86.6,False
