gene,block,panel
Vip,1_celltype_separator,A166
Tshz2,1_celltype_separator,A166
Sst,1_celltype_separator,A166
Slc17a7,1_celltype_separator,A166
Lhx6,1_celltype_separator,A166
Sim1,1_celltype_separator,A166
Pvalb,1_celltype_separator,A166
Ebf1,1_celltype_separator,A166
Nxph4,1_celltype_separator,A166
Pou3f1,1_celltype_separator,A166
Syt6,1_celltype_separator,A166
Foxp2,1_celltype_separator,A166
Skor1,1_celltype_separator,A166
Otof,1_celltype_separator,A166
Rorb,1_celltype_separator,A166
Oprk1,1_celltype_separator,A166
Ccdc42,1_celltype_separator,A166
Lamp5,1_celltype_separator,A166
Sox6,1_celltype_separator,A166
Bdnf,1_celltype_separator,A166
Tac1,1_celltype_separator,A166
Nfib,1_celltype_separator,A166
Cbln1,1_celltype_separator,A166
Tcf7l2,1_celltype_separator,A166
Sp9,1_celltype_separator,A166
Ndnf,1_celltype_separator,A166
Trhr,1_celltype_separator,A166
Calb2,1_celltype_separator,A166
Ccn2,1_celltype_separator,A166
Npr3,1_celltype_separator,A166
Prox1,1_celltype_separator,A166
Penk,1_celltype_separator,A166
Baiap3,1_celltype_separator,A166
Pdyn,1_celltype_separator,A166
Rspo2,1_celltype_separator,A166
Cux2,1_celltype_separator,A166
Coch,1_celltype_separator,A166
Otp,1_celltype_separator,A166
iCre,2_reporter_transgene,A166
tdTomato,2_reporter_transgene,A166
Slc17a6,3_class_backbone,A166
Gad2,3_class_backbone,A166
Gad1,3_class_backbone,A166
Slc32a1,3_class_backbone,A166
Npy2r,4_GPCR_cell_type_specific,A166
Oxtr,4_GPCR_cell_type_specific,A166
Drd2,4_GPCR_cell_type_specific,A166
Mc4r,4_GPCR_cell_type_specific,A166
Gpr88,4_GPCR_cell_type_specific,A166
Galr1,4_GPCR_cell_type_specific,A166
Hcrtr1,4_GPCR_cell_type_specific,A166
Ntsr1,4_GPCR_cell_type_specific,A166
Hcrtr2,4_GPCR_cell_type_specific,A166
Tacr1,4_GPCR_cell_type_specific,A166
Homer1,5_IEG,A166
Egr1,5_IEG,A166
Arc,5_IEG,A166
Fos,5_IEG,A166
Fosb,5_IEG,A166
Npas4,5_IEG,A166
Oprm1,6_GPCR_druggable,A166
Gria1,7_plasticity,A166
Gria2,7_plasticity,A166
Camk2a,7_plasticity,A166
Grin1,7_plasticity,A166
Ppp1r1b,7_plasticity,A166
Isl1,8_TF_identity,A166
Dlx1,8_TF_identity,A166
Bcl11b,8_TF_identity,A166
Satb2,8_TF_identity,A166
Fezf2,8_TF_identity,A166
Zic2,8_TF_identity,A166
Cartpt,9_published_regional,A166
Htr2c,9_published_regional,A166
Pld5,9_published_regional,A166
Fezf1,9_published_regional,A166
Ackr3,9_published_regional,A166
Crh,9_published_regional,A166
Neurod2,1_celltype_separator,A166
Sox5,1_celltype_separator,A166
Tac2,1_celltype_separator,A166
Npy,1_celltype_separator,A166
Zic1,1_celltype_separator,A166
Trh,1_celltype_separator,A166
Rprm,1_celltype_separator,A166
Lratd2,1_celltype_separator,A166
Nr2e1,1_celltype_separator,A166
Matn2,1_celltype_separator,A166
Drd1,1_celltype_separator,A166
Nptx2,1_celltype_separator,A166
Krt9,1_celltype_separator,A166
Rgs9,1_celltype_separator,A166
Cnih3,1_celltype_separator,A166
Snap25,3_class_backbone,A166
Rbfox3,3_class_backbone,A166
Mbp,3_class_backbone,A166
Chat,3_class_backbone,A166
Th,3_class_backbone,A166
Cx3cr1,3_class_backbone,A166
Nr4a1,5_IEG,A166
Junb,5_IEG,A166
Nr4a2,5_IEG,A166
Chrm2,6_GPCR_druggable,A166
Cnr1,6_GPCR_druggable,A166
Htr2a,6_GPCR_druggable,A166
Oprd1,6_GPCR_druggable,A166
Sstr2,6_GPCR_druggable,A166
Htr1f,6_GPCR_druggable,A166
Npy1r,6_GPCR_druggable,A166
Grm1,6_GPCR_druggable,A166
Gpr101,6_GPCR_druggable,A166
Crhr1,6_GPCR_druggable,A166
Grm5,6_GPCR_druggable,A166
Tacr3,6_GPCR_druggable,A166
Adcyap1r1,6_GPCR_druggable,A166
Gabbr2,6_GPCR_druggable,A166
Htr1b,6_GPCR_druggable,A166
Htr1a,6_GPCR_druggable,A166
Gabbr1,6_GPCR_druggable,A166
Cckbr,6_GPCR_druggable,A166
Grin2b,7_plasticity,A166
Grin2a,7_plasticity,A166
Ntrk2,7_plasticity,A166
Rgs4,7_plasticity,A166
Dlg4,7_plasticity,A166
Cbln2,7_plasticity,A166
Etv1,8_TF_identity,A166
Meis2,8_TF_identity,A166
Tle4,8_TF_identity,A166
Foxp1,8_TF_identity,A166
Tbr1,8_TF_identity,A166
Neurod6,8_TF_identity,A166
Emx1,8_TF_identity,A166
Synpr,9_published_regional,A166
Rbp4,9_published_regional,A166
Mpped1,9_published_regional,A166
Calb1,9_published_regional,A166
Scn5a,9_published_regional,A166
Cd44,9_published_regional,A166
Bhlhe22,8_TF_identity,A166
Nts,9_published_regional,A166
Slc6a3,11_class_backbone_optional,A166
Col23a1,12_GSE283418_added,A166
Slc29a4,12_GSE283418_added,A166
Cck,12_GSE283418_added,A166
Gfra1,12_GSE283418_added,A166
Sp8,12_GSE283418_added,A166
Abca8a,12_GSE283418_added,A166
Calcrl,12_GSE283418_added,A166
Lamb3,12_GSE283418_added,A166
Syndig1l,12_GSE283418_added,A166
Tspan18,12_GSE283418_added,A166
Gabre,12_GSE283418_added,A166
Nos1,12_GSE283418_added,A166
Oprl1,12_GSE283418_added,A166
Dnah5,12_GSE283418_added,A166
Per2,13_Jesse_morphine_state,A166
Pcsk1,13_Jesse_morphine_state,A166
Per1,13_Jesse_morphine_state,A166
Camk2g,13_Jesse_morphine_state,A166
Bhlhe40,13_Jesse_morphine_state,A166
Sema3e,13_Jesse_morphine_state,A166
Chrm1,14_Jesse_ORB_GPCR,A166
Grm8,14_Jesse_ORB_GPCR,A166
Gpr26,14_Jesse_ORB_GPCR,A166
Rxfp1,14_Jesse_ORB_GPCR,A166
