gene,block,panel
Vip,1_celltype_separator,C245
Tshz2,1_celltype_separator,C245
Sst,1_celltype_separator,C245
Slc17a7,1_celltype_separator,C245
Lhx6,1_celltype_separator,C245
Sim1,1_celltype_separator,C245
Pvalb,1_celltype_separator,C245
Ebf1,1_celltype_separator,C245
Nxph4,1_celltype_separator,C245
Pou3f1,1_celltype_separator,C245
Syt6,1_celltype_separator,C245
Foxp2,1_celltype_separator,C245
Skor1,1_celltype_separator,C245
Otof,1_celltype_separator,C245
Rorb,1_celltype_separator,C245
Oprk1,1_celltype_separator,C245
Ccdc42,1_celltype_separator,C245
Lamp5,1_celltype_separator,C245
Sox6,1_celltype_separator,C245
Bdnf,1_celltype_separator,C245
Tac1,1_celltype_separator,C245
Nfib,1_celltype_separator,C245
Cbln1,1_celltype_separator,C245
Tcf7l2,1_celltype_separator,C245
Sp9,1_celltype_separator,C245
Ndnf,1_celltype_separator,C245
Trhr,1_celltype_separator,C245
Calb2,1_celltype_separator,C245
Ccn2,1_celltype_separator,C245
Npr3,1_celltype_separator,C245
Prox1,1_celltype_separator,C245
Penk,1_celltype_separator,C245
Baiap3,1_celltype_separator,C245
Pdyn,1_celltype_separator,C245
Rspo2,1_celltype_separator,C245
Cux2,1_celltype_separator,C245
Coch,1_celltype_separator,C245
Otp,1_celltype_separator,C245
iCre,2_reporter_transgene,C245
tdTomato,2_reporter_transgene,C245
Slc17a6,3_class_backbone,C245
Gad2,3_class_backbone,C245
Gad1,3_class_backbone,C245
Slc32a1,3_class_backbone,C245
Npy2r,4_GPCR_cell_type_specific,C245
Oxtr,4_GPCR_cell_type_specific,C245
Drd2,4_GPCR_cell_type_specific,C245
Mc4r,4_GPCR_cell_type_specific,C245
Gpr88,4_GPCR_cell_type_specific,C245
Galr1,4_GPCR_cell_type_specific,C245
Hcrtr1,4_GPCR_cell_type_specific,C245
Ntsr1,4_GPCR_cell_type_specific,C245
Hcrtr2,4_GPCR_cell_type_specific,C245
Tacr1,4_GPCR_cell_type_specific,C245
Homer1,5_IEG,C245
Egr1,5_IEG,C245
Arc,5_IEG,C245
Fos,5_IEG,C245
Fosb,5_IEG,C245
Npas4,5_IEG,C245
Oprm1,6_GPCR_druggable,C245
Gria1,7_plasticity,C245
Gria2,7_plasticity,C245
Camk2a,7_plasticity,C245
Grin1,7_plasticity,C245
Ppp1r1b,7_plasticity,C245
Isl1,8_TF_identity,C245
Dlx1,8_TF_identity,C245
Bcl11b,8_TF_identity,C245
Satb2,8_TF_identity,C245
Fezf2,8_TF_identity,C245
Zic2,8_TF_identity,C245
Cartpt,9_published_regional,C245
Htr2c,9_published_regional,C245
Pld5,9_published_regional,C245
Fezf1,9_published_regional,C245
Ackr3,9_published_regional,C245
Crh,9_published_regional,C245
Neurod2,1_celltype_separator,C245
Sox5,1_celltype_separator,C245
Tac2,1_celltype_separator,C245
Npy,1_celltype_separator,C245
Zic1,1_celltype_separator,C245
Trh,1_celltype_separator,C245
Rprm,1_celltype_separator,C245
Lratd2,1_celltype_separator,C245
Nr2e1,1_celltype_separator,C245
Matn2,1_celltype_separator,C245
Drd1,1_celltype_separator,C245
Nptx2,1_celltype_separator,C245
Krt9,1_celltype_separator,C245
Rgs9,1_celltype_separator,C245
Cnih3,1_celltype_separator,C245
Snap25,3_class_backbone,C245
Rbfox3,3_class_backbone,C245
Mbp,3_class_backbone,C245
Chat,3_class_backbone,C245
Th,3_class_backbone,C245
Cx3cr1,3_class_backbone,C245
Nr4a1,5_IEG,C245
Junb,5_IEG,C245
Nr4a2,5_IEG,C245
Chrm2,6_GPCR_druggable,C245
Cnr1,6_GPCR_druggable,C245
Htr2a,6_GPCR_druggable,C245
Oprd1,6_GPCR_druggable,C245
Sstr2,6_GPCR_druggable,C245
Htr1f,6_GPCR_druggable,C245
Npy1r,6_GPCR_druggable,C245
Grm1,6_GPCR_druggable,C245
