gene,block,panel
Vip,1_celltype_separator,C246_Adrb1
Tshz2,1_celltype_separator,C246_Adrb1
Sst,1_celltype_separator,C246_Adrb1
Slc17a7,1_celltype_separator,C246_Adrb1
Lhx6,1_celltype_separator,C246_Adrb1
Sim1,1_celltype_separator,C246_Adrb1
Pvalb,1_celltype_separator,C246_Adrb1
Ebf1,1_celltype_separator,C246_Adrb1
Nxph4,1_celltype_separator,C246_Adrb1
Pou3f1,1_celltype_separator,C246_Adrb1
Syt6,1_celltype_separator,C246_Adrb1
Foxp2,1_celltype_separator,C246_Adrb1
Skor1,1_celltype_separator,C246_Adrb1
Otof,1_celltype_separator,C246_Adrb1
Rorb,1_celltype_separator,C246_Adrb1
Oprk1,1_celltype_separator,C246_Adrb1
Ccdc42,1_celltype_separator,C246_Adrb1
Lamp5,1_celltype_separator,C246_Adrb1
Sox6,1_celltype_separator,C246_Adrb1
Bdnf,1_celltype_separator,C246_Adrb1
Tac1,1_celltype_separator,C246_Adrb1
Nfib,1_celltype_separator,C246_Adrb1
Cbln1,1_celltype_separator,C246_Adrb1
Tcf7l2,1_celltype_separator,C246_Adrb1
Sp9,1_celltype_separator,C246_Adrb1
Ndnf,1_celltype_separator,C246_Adrb1
Trhr,1_celltype_separator,C246_Adrb1
Calb2,1_celltype_separator,C246_Adrb1
Ccn2,1_celltype_separator,C246_Adrb1
Npr3,1_celltype_separator,C246_Adrb1
Prox1,1_celltype_separator,C246_Adrb1
Penk,1_celltype_separator,C246_Adrb1
Baiap3,1_celltype_separator,C246_Adrb1
Pdyn,1_celltype_separator,C246_Adrb1
Rspo2,1_celltype_separator,C246_Adrb1
Cux2,1_celltype_separator,C246_Adrb1
Coch,1_celltype_separator,C246_Adrb1
Otp,1_celltype_separator,C246_Adrb1
iCre,2_reporter_transgene,C246_Adrb1
tdTomato,2_reporter_transgene,C246_Adrb1
Slc17a6,3_class_backbone,C246_Adrb1
Gad2,3_class_backbone,C246_Adrb1
Gad1,3_class_backbone,C246_Adrb1
Slc32a1,3_class_backbone,C246_Adrb1
Npy2r,4_GPCR_cell_type_specific,C246_Adrb1
Oxtr,4_GPCR_cell_type_specific,C246_Adrb1
Drd2,4_GPCR_cell_type_specific,C246_Adrb1
Mc4r,4_GPCR_cell_type_specific,C246_Adrb1
Gpr88,4_GPCR_cell_type_specific,C246_Adrb1
Galr1,4_GPCR_cell_type_specific,C246_Adrb1
Hcrtr1,4_GPCR_cell_type_specific,C246_Adrb1
Ntsr1,4_GPCR_cell_type_specific,C246_Adrb1
Hcrtr2,4_GPCR_cell_type_specific,C246_Adrb1
Tacr1,4_GPCR_cell_type_specific,C246_Adrb1
Homer1,5_IEG,C246_Adrb1
Egr1,5_IEG,C246_Adrb1
Arc,5_IEG,C246_Adrb1
Fos,5_IEG,C246_Adrb1
Fosb,5_IEG,C246_Adrb1
Npas4,5_IEG,C246_Adrb1
Oprm1,6_GPCR_druggable,C246_Adrb1
Gria1,7_plasticity,C246_Adrb1
Gria2,7_plasticity,C246_Adrb1
Camk2a,7_plasticity,C246_Adrb1
Grin1,7_plasticity,C246_Adrb1
Ppp1r1b,7_plasticity,C246_Adrb1
Isl1,8_TF_identity,C246_Adrb1
Dlx1,8_TF_identity,C246_Adrb1
Bcl11b,8_TF_identity,C246_Adrb1
Satb2,8_TF_identity,C246_Adrb1
Fezf2,8_TF_identity,C246_Adrb1
Zic2,8_TF_identity,C246_Adrb1
Cartpt,9_published_regional,C246_Adrb1
Htr2c,9_published_regional,C246_Adrb1
Pld5,9_published_regional,C246_Adrb1
Fezf1,9_published_regional,C246_Adrb1
Ackr3,9_published_regional,C246_Adrb1
Crh,9_published_regional,C246_Adrb1
Neurod2,1_celltype_separator,C246_Adrb1
Sox5,1_celltype_separator,C246_Adrb1
Tac2,1_celltype_separator,C246_Adrb1
Npy,1_celltype_separator,C246_Adrb1
Zic1,1_celltype_separator,C246_Adrb1
Trh,1_celltype_separator,C246_Adrb1
Rprm,1_celltype_separator,C246_Adrb1
Lratd2,1_celltype_separator,C246_Adrb1
Nr2e1,1_celltype_separator,C246_Adrb1
Matn2,1_celltype_separator,C246_Adrb1
Drd1,1_celltype_separator,C246_Adrb1
Nptx2,1_celltype_separator,C246_Adrb1
Krt9,1_celltype_separator,C246_Adrb1
Rgs9,1_celltype_separator,C246_Adrb1
