gene,block,panel
Calb1,1_cell_type_marker,IDEAL178
Ccdc42,1_cell_type_marker,IDEAL178
Cck,1_cell_type_marker,IDEAL178
Col23a1,1_cell_type_marker,IDEAL178
Ebf1,1_cell_type_marker,IDEAL178
Fezf1,1_cell_type_marker,IDEAL178
Gfra1,1_cell_type_marker,IDEAL178
Isl1,1_cell_type_marker,IDEAL178
Krt9,1_cell_type_marker,IDEAL178
Lamb3,1_cell_type_marker,IDEAL178
Lhx6,1_cell_type_marker,IDEAL178
Mpped1,1_cell_type_marker,IDEAL178
Otp,1_cell_type_marker,IDEAL178
Pdyn,1_cell_type_marker,IDEAL178
Scn5a,1_cell_type_marker,IDEAL178
Sim1,1_cell_type_marker,IDEAL178
Skor1,1_cell_type_marker,IDEAL178
Slc29a4,1_cell_type_marker,IDEAL178
Sox5,1_cell_type_marker,IDEAL178
Sox6,1_cell_type_marker,IDEAL178
Sp9,1_cell_type_marker,IDEAL178
Synpr,1_cell_type_marker,IDEAL178
Tbr1,1_cell_type_marker,IDEAL178
Tcf7l2,1_cell_type_marker,IDEAL178
Tle4,1_cell_type_marker,IDEAL178
Trh,1_cell_type_marker,IDEAL178
Zic1,1_cell_type_marker,IDEAL178
Baiap3,1_cell_type_marker,IDEAL178
Ccn2,1_cell_type_marker,IDEAL178
Cnih3,1_cell_type_marker,IDEAL178
Coch,1_cell_type_marker,IDEAL178
Cux2,1_cell_type_marker,IDEAL178
Etv1,1_cell_type_marker,IDEAL178
Fezf2,1_cell_type_marker,IDEAL178
Lamp5,1_cell_type_marker,IDEAL178
Lratd2,1_cell_type_marker,IDEAL178
Matn2,1_cell_type_marker,IDEAL178
Ndnf,1_cell_type_marker,IDEAL178
Npr3,1_cell_type_marker,IDEAL178
Npy,1_cell_type_marker,IDEAL178
Otof,1_cell_type_marker,IDEAL178
Pld5,1_cell_type_marker,IDEAL178
Pou3f1,1_cell_type_marker,IDEAL178
Pvalb,1_cell_type_marker,IDEAL178
Rbp4,1_cell_type_marker,IDEAL178
Rprm,1_cell_type_marker,IDEAL178
Rspo2,1_cell_type_marker,IDEAL178
Syt6,1_cell_type_marker,IDEAL178
Tac1,1_cell_type_marker,IDEAL178
Tac2,1_cell_type_marker,IDEAL178
Trhr,1_cell_type_marker,IDEAL178
Vip,1_cell_type_marker,IDEAL178
Bdnf,1_cell_type_marker,IDEAL178
Bhlhe22,1_cell_type_marker,IDEAL178
Calb2,1_cell_type_marker,IDEAL178
Cartpt,1_cell_type_marker,IDEAL178
Cbln1,1_cell_type_marker,IDEAL178
Cbln2,1_cell_type_marker,IDEAL178
Crh,1_cell_type_marker,IDEAL178
Dlx1,1_cell_type_marker,IDEAL178
Foxp2,1_cell_type_marker,IDEAL178
Gad1,1_cell_type_marker,IDEAL178
Gad2,1_cell_type_marker,IDEAL178
Maf,1_cell_type_marker,IDEAL178
Mbp,1_cell_type_marker,IDEAL178
Meis2,1_cell_type_marker,IDEAL178
Neurod2,1_cell_type_marker,IDEAL178
Nfib,1_cell_type_marker,IDEAL178
Nptx2,1_cell_type_marker,IDEAL178
Nr2e1,1_cell_type_marker,IDEAL178
Nxph4,1_cell_type_marker,IDEAL178
Penk,1_cell_type_marker,IDEAL178
Ppp1r1b,1_cell_type_marker,IDEAL178
Prox1,1_cell_type_marker,IDEAL178
Ptpru,1_cell_type_marker,IDEAL178
Rai14,1_cell_type_marker,IDEAL178
Rbfox3,1_cell_type_marker,IDEAL178
Rgs9,1_cell_type_marker,IDEAL178
Rorb,1_cell_type_marker,IDEAL178
Sema5a,1_cell_type_marker,IDEAL178
Sema5b,1_cell_type_marker,IDEAL178
Slc17a6,1_cell_type_marker,IDEAL178
Slc17a7,1_cell_type_marker,IDEAL178
Slc32a1,1_cell_type_marker,IDEAL178
Snap25,1_cell_type_marker,IDEAL178
Sst,1_cell_type_marker,IDEAL178
Syt1,1_cell_type_marker,IDEAL178
Thsd7b,1_cell_type_marker,IDEAL178
Tshz2,1_cell_type_marker,IDEAL178
Calcrl,2_GPCR,IDEAL178
Gpr101,2_GPCR,IDEAL178
Oxtr,2_GPCR,IDEAL178
Adcyap1r1,2_GPCR,IDEAL178
Adra1a,2_GPCR,IDEAL178
Adra1b,2_GPCR,IDEAL178
Adrb1,2_GPCR,IDEAL178
Cckbr,2_GPCR,IDEAL178
Chrm1,2_GPCR,IDEAL178
Chrm2,2_GPCR,IDEAL178
Chrm3,2_GPCR,IDEAL178
Cnr1,2_GPCR,IDEAL178
Crhr1,2_GPCR,IDEAL178
Drd1,2_GPCR,IDEAL178
Drd2,2_GPCR,IDEAL178
Gabbr1,2_GPCR,IDEAL178
Gpr22,2_GPCR,IDEAL178
Gpr26,2_GPCR,IDEAL178
Gpr88,2_GPCR,IDEAL178
Grm1,2_GPCR,IDEAL178
Grm2,2_GPCR,IDEAL178
Grm5,2_GPCR,IDEAL178
Grm8,2_GPCR,IDEAL178
Hcrtr2,2_GPCR,IDEAL178
Hrh1,2_GPCR,IDEAL178
Hrh3,2_GPCR,IDEAL178
Htr1b,2_GPCR,IDEAL178
Htr1f,2_GPCR,IDEAL178
Htr2a,2_GPCR,IDEAL178
Htr2c,2_GPCR,IDEAL178
Mc4r,2_GPCR,IDEAL178
Npy1r,2_GPCR,IDEAL178
Npy2r,2_GPCR,IDEAL178
Oprd1,2_GPCR,IDEAL178
Oprk1,2_GPCR,IDEAL178
Oprl1,2_GPCR,IDEAL178
Oprm1,2_GPCR,IDEAL178
Sstr2,2_GPCR,IDEAL178
Tacr1,2_GPCR,IDEAL178
Camk2a,3_plasticity,IDEAL178
Camk2g,3_plasticity,IDEAL178
Creb1,3_plasticity,IDEAL178
Dlg4,3_plasticity,IDEAL178
Fxr1,3_plasticity,IDEAL178
Gria1,3_plasticity,IDEAL178
Gria2,3_plasticity,IDEAL178
Grin1,3_plasticity,IDEAL178
Grin2a,3_plasticity,IDEAL178
Grin2b,3_plasticity,IDEAL178
Homer1,3_plasticity,IDEAL178
Lrrtm2,3_plasticity,IDEAL178
Ntrk2,3_plasticity,IDEAL178
Rgs4,3_plasticity,IDEAL178
Vgf,3_plasticity,IDEAL178
Vps13a,3_plasticity,IDEAL178
Zic2,4_TF,IDEAL178
Arid5b,4_TF,IDEAL178
Banp,4_TF,IDEAL178
Bcl11b,4_TF,IDEAL178
Bhlhe40,4_TF,IDEAL178
Chd2,4_TF,IDEAL178
Klf10,4_TF,IDEAL178
Satb2,4_TF,IDEAL178
Foxp1,4_TF,IDEAL178
Neurod6,4_TF,IDEAL178
iCre,5_TRAP_reporter,IDEAL178
tdTomato,5_TRAP_reporter,IDEAL178
Arc,6_IEG,IDEAL178
Crem,6_IEG,IDEAL178
