gene,A166,MSGS168,IDEAL178,standalone197,C245,standalone246,C246_Adrb1,ULTIMATE261,v6_232,v7_252,v8_237,d301,v11_lean296,v11_superset316,own_best_subclass,own_pct,own_mean_log2,anchor_pct,n_subclasses_ge50,level_verdict
A830036E02Rik,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Abca8a,True,True,False,False,True,True,True,True,False,False,False,True,False,False,330 VLMC NN,82.3,7.16,31.9,2.0,strong in its own population
Abi3bp,False,False,False,False,False,False,False,True,False,False,False,False,False,True,,,,,,
Ackr3,True,True,False,False,True,True,True,False,False,False,False,True,False,False,332 SMC NN,59.1,4.91,21.3,1.0,usable in its own population
Acsl4,False,False,False,True,True,True,True,True,True,False,False,True,True,True,058 PAL-STR Gaba-Chol,93.8,5.8,84.8,55.0,strong in its own population
Acta2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,332 SMC NN,95.8,11.62,0.8,1.0,strong in its own population
Adamts17,False,False,False,False,False,False,False,True,False,False,False,True,True,True,050 Lamp5 Lhx6 Gaba,94.8,7.66,83.7,24.0,strong in its own population
Adcyap1,False,False,False,False,False,False,False,False,False,True,True,False,True,True,026 NLOT Rho Glut,88.1,6.04,84.5,9.0,strong in its own population
Adcyap1r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,058 PAL-STR Gaba-Chol,96.9,6.12,80.0,52.0,strong in its own population
Adra1a,False,False,True,True,True,True,True,True,True,True,True,True,True,True,055 STR Lhx8 Gaba,95.5,7.9,93.3,37.0,strong in its own population
Adra1b,False,False,True,True,True,True,True,True,True,True,True,True,True,True,046 Vip Gaba,76.2,6.13,75.5,6.0,strong in its own population
Adra2a,False,False,False,False,False,False,False,False,False,True,True,False,True,True,001 CLA-EPd-CTX Car3 Glut,61.0,3.79,42.9,2.0,usable in its own population
Adrb1,False,False,True,True,False,True,True,False,True,True,True,False,True,True,026 NLOT Rho Glut,84.3,4.93,80.6,20.0,strong in its own population
Ahctf1,False,False,False,True,True,True,True,True,True,False,False,True,True,True,083 CEA-BST Rai14 Pdyn Crh Gaba,84.1,5.12,76.3,51.0,strong in its own population
Aldh1l1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Ano4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Aqp4,False,False,False,False,False,False,False,False,False,False,False,False,True,True,318 Astro-NT NN,91.0,7.9,4.9,2.0,strong in its own population
Arc,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,87.0,6.25,83.6,9.0,strong in its own population
Arhgap15,False,False,False,False,False,False,False,False,False,False,False,True,False,False,026 NLOT Rho Glut,89.9,5.82,86.8,11.0,strong in its own population
Arhgap31,False,False,False,False,False,False,False,True,False,False,False,True,True,True,326 OPC NN,98.4,9.26,59.6,9.0,strong in its own population
Arhgap32,False,False,False,False,False,False,False,False,False,True,True,False,True,True,013 COAp Grxcr2 Glut,100.0,8.42,99.2,68.0,strong in its own population
Arid5b,False,False,True,True,True,True,True,True,True,True,True,True,True,True,022 L5 ET CTX Glut,96.4,7.37,96.4,63.0,strong in its own population
Arntl,False,False,False,False,False,False,False,False,False,True,False,False,True,True,013 COAp Grxcr2 Glut,90.0,5.49,78.2,45.0,strong in its own population
Arpp21,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Atp10a,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
B3galt2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Baiap3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,077 CEA-BST Gal Avp Gaba,99.0,7.45,97.7,31.0,strong in its own population
Banp,False,False,True,True,True,True,True,True,True,False,False,True,True,True,026 NLOT Rho Glut,89.5,5.64,82.6,51.0,strong in its own population
Bbx,False,False,False,False,False,False,False,False,False,False,False,False,False,True,079 CEA-BST Six3 Cyp26b1 Gaba,94.8,7.08,86.8,55.0,strong in its own population
Bcl11b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,100.0,8.74,99.7,42.0,strong in its own population
Bcl6,False,False,False,False,False,False,False,False,False,False,False,False,False,True,022 L5 ET CTX Glut,72.0,4.64,72.0,11.0,strong in its own population
Bdnf,True,True,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,95.0,8.95,84.2,17.0,strong in its own population
Bhlhe22,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,97.2,6.92,91.5,9.0,strong in its own population
Bhlhe40,True,True,True,True,True,True,True,True,True,True,True,True,True,True,022 L5 ET CTX Glut,93.8,7.28,93.8,27.0,strong in its own population
Bhlhe41,False,False,False,False,False,False,False,False,False,True,False,False,False,False,113 MEA-COA-BMA Ccdc42 Glut,79.5,5.21,79.5,21.0,strong in its own population
Blnk,False,False,False,False,False,False,False,True,False,False,False,False,False,True,,,,,,
Bmp3,False,False,False,False,False,False,False,True,False,False,False,False,True,True,,,,,,
Btg2,False,False,False,False,False,False,False,False,True,True,True,False,True,True,334 Microglia NN,95.7,10.3,46.2,7.0,strong in its own population
C130073E24Rik,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
C1ql1,False,False,False,False,True,True,True,False,False,False,False,True,False,False,326 OPC NN,96.3,8.49,12.4,3.0,strong in its own population
C1ql2,False,False,False,False,True,True,True,False,False,False,False,True,False,False,133 PVH-SO-PVa Otp Glut,80.2,5.33,10.1,1.0,strong in its own population
Calb1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,100.0,8.31,94.7,31.0,strong in its own population
Calb2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,042 OB-out Frmd7 Gaba,96.8,10.74,91.2,18.0,strong in its own population
Calcrl,True,True,True,True,True,True,True,True,True,True,True,True,True,True,326 OPC NN,87.0,7.15,68.1,5.0,strong in its own population
Camk2a,True,True,True,True,True,True,True,True,True,True,True,True,True,True,002 IT EP-CLA Glut,100.0,9.51,100.0,61.0,strong in its own population
Camk2b,False,False,False,False,False,False,False,False,True,True,True,False,True,True,013 COAp Grxcr2 Glut,100.0,9.13,99.7,63.0,strong in its own population
Camk2g,True,True,True,True,True,True,True,True,True,True,True,True,True,True,077 CEA-BST Gal Avp Gaba,99.0,6.86,97.5,63.0,strong in its own population
Cartpt,True,True,True,True,True,True,True,True,True,True,True,True,True,True,076 MEA-BST Lhx6 Nfib Gaba,70.0,6.4,54.2,3.0,usable in its own population
Cbln1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,121 MEA-BST Otp Zic2 Glut,65.9,4.91,65.9,2.0,usable in its own population
Cbln2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,077 CEA-BST Gal Avp Gaba,100.0,9.74,89.2,14.0,strong in its own population
Cbln4,False,False,False,False,False,False,False,True,False,False,False,True,True,True,059 GPe-SI Sox6 Cyp26b1 Gaba,91.4,6.35,57.9,6.0,strong in its own population
Ccbe1,False,False,False,False,False,False,False,True,True,True,True,False,True,True,007 L2/3 IT CTX Glut,74.5,5.25,74.5,4.0,strong in its own population
Ccdc42,True,True,True,True,True,True,True,True,True,True,True,True,True,True,113 MEA-COA-BMA Ccdc42 Glut,48.0,2.73,48.0,0.0,high level in a minority of cells (sparse but real)
Cck,True,True,True,True,True,True,True,True,True,True,True,True,True,True,002 IT EP-CLA Glut,100.0,9.92,100.0,23.0,strong in its own population
