gene,block,panel
Vip,1_celltype_separator,MSGS168
Tshz2,1_celltype_separator,MSGS168
Sst,1_celltype_separator,MSGS168
Slc17a7,1_celltype_separator,MSGS168
Lhx6,1_celltype_separator,MSGS168
Sim1,1_celltype_separator,MSGS168
Pvalb,1_celltype_separator,MSGS168
Ebf1,1_celltype_separator,MSGS168
Nxph4,1_celltype_separator,MSGS168
Pou3f1,1_celltype_separator,MSGS168
Syt6,1_celltype_separator,MSGS168
Foxp2,1_celltype_separator,MSGS168
Skor1,1_celltype_separator,MSGS168
Otof,1_celltype_separator,MSGS168
Rorb,1_celltype_separator,MSGS168
Oprk1,1_celltype_separator,MSGS168
Ccdc42,1_celltype_separator,MSGS168
Lamp5,1_celltype_separator,MSGS168
Sox6,1_celltype_separator,MSGS168
Bdnf,1_celltype_separator,MSGS168
Tac1,1_celltype_separator,MSGS168
Nfib,1_celltype_separator,MSGS168
Cbln1,1_celltype_separator,MSGS168
Tcf7l2,1_celltype_separator,MSGS168
Sp9,1_celltype_separator,MSGS168
Ndnf,1_celltype_separator,MSGS168
Trhr,1_celltype_separator,MSGS168
Calb2,1_celltype_separator,MSGS168
Ccn2,1_celltype_separator,MSGS168
Npr3,1_celltype_separator,MSGS168
Prox1,1_celltype_separator,MSGS168
Penk,1_celltype_separator,MSGS168
Baiap3,1_celltype_separator,MSGS168
Pdyn,1_celltype_separator,MSGS168
Rspo2,1_celltype_separator,MSGS168
Cux2,1_celltype_separator,MSGS168
Coch,1_celltype_separator,MSGS168
Otp,1_celltype_separator,MSGS168
iCre,2_reporter_transgene,MSGS168
tdTomato,2_reporter_transgene,MSGS168
Slc17a6,3_class_backbone,MSGS168
Gad2,3_class_backbone,MSGS168
Gad1,3_class_backbone,MSGS168
Slc32a1,3_class_backbone,MSGS168
Npy2r,4_GPCR_cell_type_specific,MSGS168
Oxtr,4_GPCR_cell_type_specific,MSGS168
Drd2,4_GPCR_cell_type_specific,MSGS168
Mc4r,4_GPCR_cell_type_specific,MSGS168
Gpr88,4_GPCR_cell_type_specific,MSGS168
