gene,block,panel
iCre,1_TRAP_tag,ULTIMATE261
tdTomato,1_TRAP_tag,ULTIMATE261
Baiap3,2_celltype_separator,ULTIMATE261
Bdnf,2_celltype_separator,ULTIMATE261
Bhlhe22,2_celltype_separator,ULTIMATE261
Calb2,2_celltype_separator,ULTIMATE261
Cartpt,2_celltype_separator,ULTIMATE261
Cbln1,2_celltype_separator,ULTIMATE261
Cbln2,2_celltype_separator,ULTIMATE261
Ccdc42,2_celltype_separator,ULTIMATE261
Ccn2,2_celltype_separator,ULTIMATE261
Cnih3,2_celltype_separator,ULTIMATE261
Coch,2_celltype_separator,ULTIMATE261
Crh,2_celltype_separator,ULTIMATE261
Cux2,2_celltype_separator,ULTIMATE261
Dlx1,2_celltype_separator,ULTIMATE261
Drd1,2_celltype_separator,ULTIMATE261
Drd2,2_celltype_separator,ULTIMATE261
Ebf1,2_celltype_separator,ULTIMATE261
Egr1,2_celltype_separator,ULTIMATE261
Etv1,2_celltype_separator,ULTIMATE261
Fezf1,2_celltype_separator,ULTIMATE261
Fezf2,2_celltype_separator,ULTIMATE261
Foxp2,2_celltype_separator,ULTIMATE261
Gad1,2_celltype_separator,ULTIMATE261
Gad2,2_celltype_separator,ULTIMATE261
Gpr88,2_celltype_separator,ULTIMATE261
Htr2c,2_celltype_separator,ULTIMATE261
Isl1,2_celltype_separator,ULTIMATE261
Krt9,2_celltype_separator,ULTIMATE261
Lamp5,2_celltype_separator,ULTIMATE261
Lhx6,2_celltype_separator,ULTIMATE261
Lratd2,2_celltype_separator,ULTIMATE261
Matn2,2_celltype_separator,ULTIMATE261
Mbp,2_celltype_separator,ULTIMATE261
Mc4r,2_celltype_separator,ULTIMATE261
Meis2,2_celltype_separator,ULTIMATE261
Mpped1,2_celltype_separator,ULTIMATE261
Ndnf,2_celltype_separator,ULTIMATE261
Neurod2,2_celltype_separator,ULTIMATE261
Nfib,2_celltype_separator,ULTIMATE261
Npr3,2_celltype_separator,ULTIMATE261
Nptx2,2_celltype_separator,ULTIMATE261
Npy,2_celltype_separator,ULTIMATE261
Nr2e1,2_celltype_separator,ULTIMATE261
Nr4a1,2_celltype_separator,ULTIMATE261
Nr4a2,2_celltype_separator,ULTIMATE261
Nxph4,2_celltype_separator,ULTIMATE261
Oprd1,2_celltype_separator,ULTIMATE261
Oprk1,2_celltype_separator,ULTIMATE261
Oprm1,2_celltype_separator,ULTIMATE261
Otof,2_celltype_separator,ULTIMATE261
Otp,2_celltype_separator,ULTIMATE261
Pdyn,2_celltype_separator,ULTIMATE261
Penk,2_celltype_separator,ULTIMATE261
Pld5,2_celltype_separator,ULTIMATE261
Pou3f1,2_celltype_separator,ULTIMATE261
Ppp1r1b,2_celltype_separator,ULTIMATE261
Prox1,2_celltype_separator,ULTIMATE261
Pvalb,2_celltype_separator,ULTIMATE261
Rbp4,2_celltype_separator,ULTIMATE261
Rgs9,2_celltype_separator,ULTIMATE261
Rorb,2_celltype_separator,ULTIMATE261
Rprm,2_celltype_separator,ULTIMATE261
Rspo2,2_celltype_separator,ULTIMATE261
Scn5a,2_celltype_separator,ULTIMATE261
Sim1,2_celltype_separator,ULTIMATE261
Skor1,2_celltype_separator,ULTIMATE261
Slc17a6,2_celltype_separator,ULTIMATE261
Slc17a7,2_celltype_separator,ULTIMATE261
Sox5,2_celltype_separator,ULTIMATE261
Sox6,2_celltype_separator,ULTIMATE261
Sp9,2_celltype_separator,ULTIMATE261
Sst,2_celltype_separator,ULTIMATE261
Syt6,2_celltype_separator,ULTIMATE261
Tac1,2_celltype_separator,ULTIMATE261
Tac2,2_celltype_separator,ULTIMATE261
Tbr1,2_celltype_separator,ULTIMATE261
Tcf7l2,2_celltype_separator,ULTIMATE261
Tle4,2_celltype_separator,ULTIMATE261
Trh,2_celltype_separator,ULTIMATE261
Trhr,2_celltype_separator,ULTIMATE261
Tshz2,2_celltype_separator,ULTIMATE261
Vip,2_celltype_separator,ULTIMATE261
Zic1,2_celltype_separator,ULTIMATE261
Abi3bp,3_genomewide_anchor_rescue,ULTIMATE261
Atp10a,3_genomewide_anchor_rescue,ULTIMATE261
Blnk,3_genomewide_anchor_rescue,ULTIMATE261
Bmp3,3_genomewide_anchor_rescue,ULTIMATE261
Ccbe1,3_genomewide_anchor_rescue,ULTIMATE261
Clic5,3_genomewide_anchor_rescue,ULTIMATE261
Cmbl,3_genomewide_anchor_rescue,ULTIMATE261
Cox6a2,3_genomewide_anchor_rescue,ULTIMATE261
Dmrta2,3_genomewide_anchor_rescue,ULTIMATE261
Fam210b,3_genomewide_anchor_rescue,ULTIMATE261
Frem3,3_genomewide_anchor_rescue,ULTIMATE261
Frmd4b,3_genomewide_anchor_rescue,ULTIMATE261
Gm19410,3_genomewide_anchor_rescue,ULTIMATE261
Gm2164,3_genomewide_anchor_rescue,ULTIMATE261
H2-Q2,3_genomewide_anchor_rescue,ULTIMATE261
Il31ra,3_genomewide_anchor_rescue,ULTIMATE261
Insyn2b,3_genomewide_anchor_rescue,ULTIMATE261
Kremen1,3_genomewide_anchor_rescue,ULTIMATE261
L3mbtl4,3_genomewide_anchor_rescue,ULTIMATE261
Lypd6b,3_genomewide_anchor_rescue,ULTIMATE261
Mab21l1,3_genomewide_anchor_rescue,ULTIMATE261
Masp1,3_genomewide_anchor_rescue,ULTIMATE261
Mdga1,3_genomewide_anchor_rescue,ULTIMATE261
Myl4,3_genomewide_anchor_rescue,ULTIMATE261
Nxph2,3_genomewide_anchor_rescue,ULTIMATE261
Plekha2,3_genomewide_anchor_rescue,ULTIMATE261
Plscr4,3_genomewide_anchor_rescue,ULTIMATE261
Ptger3,3_genomewide_anchor_rescue,ULTIMATE261
Ramp3,3_genomewide_anchor_rescue,ULTIMATE261
Smoc2,3_genomewide_anchor_rescue,ULTIMATE261
St3gal6,3_genomewide_anchor_rescue,ULTIMATE261
Stard8,3_genomewide_anchor_rescue,ULTIMATE261
Stc1,3_genomewide_anchor_rescue,ULTIMATE261
Acsl4,4_morphine_state,ULTIMATE261
Ahctf1,4_morphine_state,ULTIMATE261
Arc,4_morphine_state,ULTIMATE261
Arid5b,4_morphine_state,ULTIMATE261
Banp,4_morphine_state,ULTIMATE261
Bhlhe40,4_morphine_state,ULTIMATE261
Camk2g,4_morphine_state,ULTIMATE261
Chd2,4_morphine_state,ULTIMATE261
Chrm2,4_morphine_state,ULTIMATE261
Crem,4_morphine_state,ULTIMATE261
Dusp1,4_morphine_state,ULTIMATE261
E2f6,4_morphine_state,ULTIMATE261
Egr3,4_morphine_state,ULTIMATE261
Egr4,4_morphine_state,ULTIMATE261
Ep300,4_morphine_state,ULTIMATE261
Etv5,4_morphine_state,ULTIMATE261
Fhl2,4_morphine_state,ULTIMATE261
Fos,4_morphine_state,ULTIMATE261
Fxr1,4_morphine_state,ULTIMATE261
Hivep1,4_morphine_state,ULTIMATE261
Hrh1,4_morphine_state,ULTIMATE261
Hsd17b12,4_morphine_state,ULTIMATE261
Hspa5,4_morphine_state,ULTIMATE261
Hunk,4_morphine_state,ULTIMATE261
Junb,4_morphine_state,ULTIMATE261
Kitl,4_morphine_state,ULTIMATE261
Klf10,4_morphine_state,ULTIMATE261
Maml3,4_morphine_state,ULTIMATE261
Mbnl2,4_morphine_state,ULTIMATE261
Nr4a3,4_morphine_state,ULTIMATE261
Omg,4_morphine_state,ULTIMATE261
Pcsk1,4_morphine_state,ULTIMATE261
Per1,4_morphine_state,ULTIMATE261
Per2,4_morphine_state,ULTIMATE261
Smad5,4_morphine_state,ULTIMATE261
Sox8,4_morphine_state,ULTIMATE261
Stk40,4_morphine_state,ULTIMATE261
Tiparp,4_morphine_state,ULTIMATE261
Vps13a,4_morphine_state,ULTIMATE261
Zdbf2,4_morphine_state,ULTIMATE261
Zfp46,4_morphine_state,ULTIMATE261
Zfp641,4_morphine_state,ULTIMATE261
Zfp933,4_morphine_state,ULTIMATE261
Zhx2,4_morphine_state,ULTIMATE261
Zkscan16,4_morphine_state,ULTIMATE261
Zkscan2,4_morphine_state,ULTIMATE261
Rbfox3,4b_class_backbone,ULTIMATE261
Slc32a1,4b_class_backbone,ULTIMATE261
Snap25,4b_class_backbone,ULTIMATE261
Fosb,4c_activity_IEG,ULTIMATE261
Homer1,4c_activity_IEG,ULTIMATE261
Npas4,4c_activity_IEG,ULTIMATE261
Camk2a,4d_plasticity,ULTIMATE261
Dlg4,4d_plasticity,ULTIMATE261
Gria1,4d_plasticity,ULTIMATE261
Gria2,4d_plasticity,ULTIMATE261
Grin1,4d_plasticity,ULTIMATE261
Grin2a,4d_plasticity,ULTIMATE261
Grin2b,4d_plasticity,ULTIMATE261
Ntrk2,4d_plasticity,ULTIMATE261
Rgs4,4d_plasticity,ULTIMATE261
Bcl11b,4e_identity_TF,ULTIMATE261
Foxp1,4e_identity_TF,ULTIMATE261
Neurod6,4e_identity_TF,ULTIMATE261
Satb2,4e_identity_TF,ULTIMATE261
Zic2,4e_identity_TF,ULTIMATE261
Calb1,4f_regional_marker,ULTIMATE261
Synpr,4f_regional_marker,ULTIMATE261
Adcyap1r1,5_receptor_map,ULTIMATE261
Adra1a,5_receptor_map,ULTIMATE261
Adra1b,5_receptor_map,ULTIMATE261
Cckbr,5_receptor_map,ULTIMATE261
Chrm1,5_receptor_map,ULTIMATE261
Chrm3,5_receptor_map,ULTIMATE261
Cnr1,5_receptor_map,ULTIMATE261
Crhr1,5_receptor_map,ULTIMATE261
Gabbr1,5_receptor_map,ULTIMATE261
Gabbr2,5_receptor_map,ULTIMATE261
Gpr101,5_receptor_map,ULTIMATE261
Gpr26,5_receptor_map,ULTIMATE261
Grm1,5_receptor_map,ULTIMATE261
Grm5,5_receptor_map,ULTIMATE261
Grm8,5_receptor_map,ULTIMATE261
Hcrtr2,5_receptor_map,ULTIMATE261
Hrh3,5_receptor_map,ULTIMATE261
Htr1b,5_receptor_map,ULTIMATE261
Htr1f,5_receptor_map,ULTIMATE261
Htr2a,5_receptor_map,ULTIMATE261
Npy1r,5_receptor_map,ULTIMATE261
Npy2r,5_receptor_map,ULTIMATE261
Oxtr,5_receptor_map,ULTIMATE261
Rxfp1,5_receptor_map,ULTIMATE261
Sstr2,5_receptor_map,ULTIMATE261
Tacr1,5_receptor_map,ULTIMATE261
A830036E02Rik,6_subpopulation_discovery,ULTIMATE261
Adamts17,6_subpopulation_discovery,ULTIMATE261
Aldh1l1,6_subpopulation_discovery,ULTIMATE261
Ano4,6_subpopulation_discovery,ULTIMATE261
Arhgap31,6_subpopulation_discovery,ULTIMATE261
Arpp21,6_subpopulation_discovery,ULTIMATE261
B3galt2,6_subpopulation_discovery,ULTIMATE261
C130073E24Rik,6_subpopulation_discovery,ULTIMATE261
Cbln4,6_subpopulation_discovery,ULTIMATE261
Cdh6,6_subpopulation_discovery,ULTIMATE261
Ces5a,6_subpopulation_discovery,ULTIMATE261
Col6a1,6_subpopulation_discovery,ULTIMATE261
Crispld1,6_subpopulation_discovery,ULTIMATE261
Dab2,6_subpopulation_discovery,ULTIMATE261
Dipk2a,6_subpopulation_discovery,ULTIMATE261
Elfn1,6_subpopulation_discovery,ULTIMATE261
Fat1,6_subpopulation_discovery,ULTIMATE261
Fbn2,6_subpopulation_discovery,ULTIMATE261
Fosl2,6_subpopulation_discovery,ULTIMATE261
Gfra1,6_subpopulation_discovery,ULTIMATE261
Gpr149,6_subpopulation_discovery,ULTIMATE261
Grin3a,6_subpopulation_discovery,ULTIMATE261
Hpse,6_subpopulation_discovery,ULTIMATE261
Inpp4b,6_subpopulation_discovery,ULTIMATE261
Lin7a,6_subpopulation_discovery,ULTIMATE261
Lypd1,6_subpopulation_discovery,ULTIMATE261
Myo1b,6_subpopulation_discovery,ULTIMATE261
Nckap5,6_subpopulation_discovery,ULTIMATE261
Ndst3,6_subpopulation_discovery,ULTIMATE261
Nts,6_subpopulation_discovery,ULTIMATE261
Pde1c,6_subpopulation_discovery,ULTIMATE261
Plce1,6_subpopulation_discovery,ULTIMATE261
Plpp4,6_subpopulation_discovery,ULTIMATE261
Pvt1,6_subpopulation_discovery,ULTIMATE261
Rspo3,6_subpopulation_discovery,ULTIMATE261
Sema3e,6_subpopulation_discovery,ULTIMATE261
Sema5a,6_subpopulation_discovery,ULTIMATE261
Sema5b,6_subpopulation_discovery,ULTIMATE261
Slc5a7,6_subpopulation_discovery,ULTIMATE261
Spon1,6_subpopulation_discovery,ULTIMATE261
Syndig1,6_subpopulation_discovery,ULTIMATE261
Abca8a,7_BMAp_depth,ULTIMATE261
Calcrl,7_BMAp_depth,ULTIMATE261
Cck,7_BMAp_depth,ULTIMATE261
Col23a1,7_BMAp_depth,ULTIMATE261
Lamb3,7_BMAp_depth,ULTIMATE261
Slc29a4,7_BMAp_depth,ULTIMATE261
