panel,n,file
A166,166,PANEL_A_current_166genes_119custom.xlsx
MSGS168,168,FINAL_Xenium_panel_ORBm_BMAp_for_MSGS11122.xlsx
IDEAL178,178,FINAL_Xenium_panel_ORBm_BMAp_IDEAL_by_category.xlsx
standalone197,197,FINAL_Xenium_panel_ORBm_BMAp_standalone_197genes.xlsx
C245,245,PANEL_C_expanded_standalone_245genes.xlsx
standalone246,246,FINAL_Xenium_panel_ORBm_BMAp_standalone_246genes.xlsx
C246_Adrb1,246,PANEL_C_FINAL_246_with_Adrb1.xlsx
ULTIMATE261,261,FINAL_ULTIMATE_PANEL_v2.xlsx
v6_232,232,PANEL_FINAL_v6_ORBm_BMAp_complete.xlsx
v7_252,252,PANEL_FINAL_v7_ORBm_BMAp_optimal.xlsx
v8_237,237,PANEL_FINAL_v8_ORBm_BMAp_GOAL_ALIGNED.xlsx
d301,301,FINAL_Xenium_panel_ORBm_BMAp_301genes.xlsx
v11_lean296,296,PANEL_FINAL_v11_ORBm_BMAp_LEAN.xlsx
v11_superset316,316,PANEL_FINAL_v11_ORBm_BMAp_SUPERSET.xlsx
