gene,block,panel
Vip,1_celltype_separator,d301
Tshz2,1_celltype_separator,d301
Sst,1_celltype_separator,d301
Slc17a7,1_celltype_separator,d301
Lhx6,1_celltype_separator,d301
Sim1,1_celltype_separator,d301
Pvalb,1_celltype_separator,d301
Ebf1,1_celltype_separator,d301
Nxph4,1_celltype_separator,d301
Pou3f1,1_celltype_separator,d301
Syt6,1_celltype_separator,d301
Foxp2,1_celltype_separator,d301
Skor1,1_celltype_separator,d301
Otof,1_celltype_separator,d301
Rorb,1_celltype_separator,d301
Oprk1,1_celltype_separator,d301
Ccdc42,1_celltype_separator,d301
Lamp5,1_celltype_separator,d301
Sox6,1_celltype_separator,d301
Bdnf,1_celltype_separator,d301
Tac1,1_celltype_separator,d301
Nfib,1_celltype_separator,d301
Cbln1,1_celltype_separator,d301
Tcf7l2,1_celltype_separator,d301
Sp9,1_celltype_separator,d301
Ndnf,1_celltype_separator,d301
Trhr,1_celltype_separator,d301
Calb2,1_celltype_separator,d301
Ccn2,1_celltype_separator,d301
Npr3,1_celltype_separator,d301
Prox1,1_celltype_separator,d301
Penk,1_celltype_separator,d301
Baiap3,1_celltype_separator,d301
Pdyn,1_celltype_separator,d301
Rspo2,1_celltype_separator,d301
Cux2,1_celltype_separator,d301
Coch,1_celltype_separator,d301
Otp,1_celltype_separator,d301
iCre,2_reporter_transgene,d301
tdTomato,2_reporter_transgene,d301
Slc17a6,3_class_backbone,d301
Gad2,3_class_backbone,d301
Gad1,3_class_backbone,d301
Slc32a1,3_class_backbone,d301
Npy2r,4_GPCR_cell_type_specific,d301
Oxtr,4_GPCR_cell_type_specific,d301
Drd2,4_GPCR_cell_type_specific,d301
Mc4r,4_GPCR_cell_type_specific,d301
Gpr88,4_GPCR_cell_type_specific,d301
Galr1,4_GPCR_cell_type_specific,d301
Hcrtr1,4_GPCR_cell_type_specific,d301
Ntsr1,4_GPCR_cell_type_specific,d301
Hcrtr2,4_GPCR_cell_type_specific,d301
Tacr1,4_GPCR_cell_type_specific,d301
Homer1,5_IEG,d301
Egr1,5_IEG,d301
Arc,5_IEG,d301
Fos,5_IEG,d301
Fosb,5_IEG,d301
Npas4,5_IEG,d301
Oprm1,6_GPCR_druggable,d301
Gria1,7_plasticity,d301
Gria2,7_plasticity,d301
Camk2a,7_plasticity,d301
Grin1,7_plasticity,d301
Ppp1r1b,7_plasticity,d301
Isl1,8_TF_identity,d301
Dlx1,8_TF_identity,d301
Bcl11b,8_TF_identity,d301
Satb2,8_TF_identity,d301
Fezf2,8_TF_identity,d301
Zic2,8_TF_identity,d301
Cartpt,9_published_regional,d301
Htr2c,9_published_regional,d301
Pld5,9_published_regional,d301
Fezf1,9_published_regional,d301
Ackr3,9_published_regional,d301
Crh,9_published_regional,d301
Neurod2,1_celltype_separator,d301
Sox5,1_celltype_separator,d301
Tac2,1_celltype_separator,d301
Npy,1_celltype_separator,d301
Zic1,1_celltype_separator,d301
Trh,1_celltype_separator,d301
Rprm,1_celltype_separator,d301
Lratd2,1_celltype_separator,d301
Nr2e1,1_celltype_separator,d301
Matn2,1_celltype_separator,d301
Drd1,1_celltype_separator,d301
Nptx2,1_celltype_separator,d301
Krt9,1_celltype_separator,d301
Rgs9,1_celltype_separator,d301
Cnih3,1_celltype_separator,d301
Snap25,3_class_backbone,d301
Rbfox3,3_class_backbone,d301
Mbp,3_class_backbone,d301
Chat,3_class_backbone,d301
Th,3_class_backbone,d301
Cx3cr1,3_class_backbone,d301
Nr4a1,5_IEG,d301
Junb,5_IEG,d301
Nr4a2,5_IEG,d301
Chrm2,6_GPCR_druggable,d301
Cnr1,6_GPCR_druggable,d301
Htr2a,6_GPCR_druggable,d301
Oprd1,6_GPCR_druggable,d301
Sstr2,6_GPCR_druggable,d301
Htr1f,6_GPCR_druggable,d301
Npy1r,6_GPCR_druggable,d301
Grm1,6_GPCR_druggable,d301
Gpr101,6_GPCR_druggable,d301
Crhr1,6_GPCR_druggable,d301
Grm5,6_GPCR_druggable,d301
Tacr3,6_GPCR_druggable,d301
Adcyap1r1,6_GPCR_druggable,d301
Gabbr2,6_GPCR_druggable,d301
Htr1b,6_GPCR_druggable,d301
Htr1a,6_GPCR_druggable,d301
Gabbr1,6_GPCR_druggable,d301
Cckbr,6_GPCR_druggable,d301
Grin2b,7_plasticity,d301
Grin2a,7_plasticity,d301
Ntrk2,7_plasticity,d301
Rgs4,7_plasticity,d301
Dlg4,7_plasticity,d301
Cbln2,7_plasticity,d301
Etv1,8_TF_identity,d301
Meis2,8_TF_identity,d301
Tle4,8_TF_identity,d301
Foxp1,8_TF_identity,d301
Tbr1,8_TF_identity,d301
Neurod6,8_TF_identity,d301
Emx1,8_TF_identity,d301
Synpr,9_published_regional,d301
Rbp4,9_published_regional,d301
Mpped1,9_published_regional,d301
Calb1,9_published_regional,d301
Scn5a,9_published_regional,d301
Cd44,9_published_regional,d301
Bhlhe22,8_TF_identity,d301
Nts,9_published_regional,d301
Slc6a3,11_class_backbone_optional,d301
Col23a1,12_GSE283418_added,d301
Slc29a4,12_GSE283418_added,d301
Cck,12_GSE283418_added,d301
Gfra1,12_GSE283418_added,d301
Sp8,12_GSE283418_added,d301
Abca8a,12_GSE283418_added,d301
Calcrl,12_GSE283418_added,d301
Lamb3,12_GSE283418_added,d301
Syndig1l,12_GSE283418_added,d301
Tspan18,12_GSE283418_added,d301
Gabre,12_GSE283418_added,d301
Nos1,12_GSE283418_added,d301
Oprl1,12_GSE283418_added,d301
Dnah5,12_GSE283418_added,d301
Per2,13_Jesse_morphine_state,d301
Pcsk1,13_Jesse_morphine_state,d301
Per1,13_Jesse_morphine_state,d301
Camk2g,13_Jesse_morphine_state,d301
Bhlhe40,13_Jesse_morphine_state,d301
Sema3e,13_Jesse_morphine_state,d301
Chrm1,14_Jesse_ORB_GPCR,d301
Grm8,14_Jesse_ORB_GPCR,d301
Gpr26,14_Jesse_ORB_GPCR,d301
Rxfp1,14_Jesse_ORB_GPCR,d301
Arid5b,16_expanded_morphine_state,d301
Tiparp,16_expanded_morphine_state,d301
Banp,16_expanded_morphine_state,d301
Fxr1,16_expanded_morphine_state,d301
Maml3,16_expanded_morphine_state,d301
Vps13a,16_expanded_morphine_state,d301
Chd2,16_expanded_morphine_state,d301
Dusp1,16_expanded_morphine_state,d301
Hunk,16_expanded_morphine_state,d301
