gene,block,panel
Vip,1_celltype_separator,standalone246
Tshz2,1_celltype_separator,standalone246
Sst,1_celltype_separator,standalone246
Slc17a7,1_celltype_separator,standalone246
Lhx6,1_celltype_separator,standalone246
Sim1,1_celltype_separator,standalone246
Pvalb,1_celltype_separator,standalone246
Ebf1,1_celltype_separator,standalone246
Nxph4,1_celltype_separator,standalone246
Pou3f1,1_celltype_separator,standalone246
Syt6,1_celltype_separator,standalone246
Foxp2,1_celltype_separator,standalone246
Skor1,1_celltype_separator,standalone246
Otof,1_celltype_separator,standalone246
Rorb,1_celltype_separator,standalone246
Oprk1,1_celltype_separator,standalone246
Ccdc42,1_celltype_separator,standalone246
Lamp5,1_celltype_separator,standalone246
Sox6,1_celltype_separator,standalone246
Bdnf,1_celltype_separator,standalone246
Tac1,1_celltype_separator,standalone246
Nfib,1_celltype_separator,standalone246
Cbln1,1_celltype_separator,standalone246
Tcf7l2,1_celltype_separator,standalone246
Sp9,1_celltype_separator,standalone246
Ndnf,1_celltype_separator,standalone246
Trhr,1_celltype_separator,standalone246
Calb2,1_celltype_separator,standalone246
Ccn2,1_celltype_separator,standalone246
Npr3,1_celltype_separator,standalone246
Prox1,1_celltype_separator,standalone246
Penk,1_celltype_separator,standalone246
Baiap3,1_celltype_separator,standalone246
Pdyn,1_celltype_separator,standalone246
Rspo2,1_celltype_separator,standalone246
Cux2,1_celltype_separator,standalone246
Coch,1_celltype_separator,standalone246
Otp,1_celltype_separator,standalone246
iCre,2_reporter_transgene,standalone246
tdTomato,2_reporter_transgene,standalone246
Slc17a6,3_class_backbone,standalone246
Gad2,3_class_backbone,standalone246
Gad1,3_class_backbone,standalone246
Slc32a1,3_class_backbone,standalone246
Npy2r,4_GPCR_cell_type_specific,standalone246
Oxtr,4_GPCR_cell_type_specific,standalone246
Drd2,4_GPCR_cell_type_specific,standalone246
Mc4r,4_GPCR_cell_type_specific,standalone246
Gpr88,4_GPCR_cell_type_specific,standalone246
Galr1,4_GPCR_cell_type_specific,standalone246
Hcrtr1,4_GPCR_cell_type_specific,standalone246
Ntsr1,4_GPCR_cell_type_specific,standalone246
Hcrtr2,4_GPCR_cell_type_specific,standalone246
Tacr1,4_GPCR_cell_type_specific,standalone246
Homer1,5_IEG,standalone246
Egr1,5_IEG,standalone246
Arc,5_IEG,standalone246
Fos,5_IEG,standalone246
Fosb,5_IEG,standalone246
Npas4,5_IEG,standalone246
Oprm1,6_GPCR_druggable,standalone246
Gria1,7_plasticity,standalone246
Gria2,7_plasticity,standalone246
Camk2a,7_plasticity,standalone246
Grin1,7_plasticity,standalone246
Ppp1r1b,7_plasticity,standalone246
Isl1,8_TF_identity,standalone246
Dlx1,8_TF_identity,standalone246
Bcl11b,8_TF_identity,standalone246
Satb2,8_TF_identity,standalone246
Fezf2,8_TF_identity,standalone246
Zic2,8_TF_identity,standalone246
Cartpt,9_published_regional,standalone246
Htr2c,9_published_regional,standalone246
Pld5,9_published_regional,standalone246
Fezf1,9_published_regional,standalone246
Ackr3,9_published_regional,standalone246
Crh,9_published_regional,standalone246
Neurod2,1_celltype_separator,standalone246
Sox5,1_celltype_separator,standalone246
Tac2,1_celltype_separator,standalone246
Npy,1_celltype_separator,standalone246
Zic1,1_celltype_separator,standalone246
Trh,1_celltype_separator,standalone246
Rprm,1_celltype_separator,standalone246
Lratd2,1_celltype_separator,standalone246
Nr2e1,1_celltype_separator,standalone246
Matn2,1_celltype_separator,standalone246
Drd1,1_celltype_separator,standalone246
Nptx2,1_celltype_separator,standalone246
Krt9,1_celltype_separator,standalone246
Rgs9,1_celltype_separator,standalone246
Cnih3,1_celltype_separator,standalone246
Snap25,3_class_backbone,standalone246
Rbfox3,3_class_backbone,standalone246
Mbp,3_class_backbone,standalone246
Chat,3_class_backbone,standalone246
Th,3_class_backbone,standalone246
Cx3cr1,3_class_backbone,standalone246
Nr4a1,5_IEG,standalone246
Junb,5_IEG,standalone246
Nr4a2,5_IEG,standalone246
Chrm2,6_GPCR_druggable,standalone246
Cnr1,6_GPCR_druggable,standalone246
Htr2a,6_GPCR_druggable,standalone246
Oprd1,6_GPCR_druggable,standalone246
Sstr2,6_GPCR_druggable,standalone246
Htr1f,6_GPCR_druggable,standalone246
Npy1r,6_GPCR_druggable,standalone246
Grm1,6_GPCR_druggable,standalone246
Gpr101,6_GPCR_druggable,standalone246
Crhr1,6_GPCR_druggable,standalone246
Grm5,6_GPCR_druggable,standalone246
Tacr3,6_GPCR_druggable,standalone246
Adcyap1r1,6_GPCR_druggable,standalone246
Gabbr2,6_GPCR_druggable,standalone246
Htr1b,6_GPCR_druggable,standalone246
Htr1a,6_GPCR_druggable,standalone246
Gabbr1,6_GPCR_druggable,standalone246
Cckbr,6_GPCR_druggable,standalone246
Grin2b,7_plasticity,standalone246
Grin2a,7_plasticity,standalone246
Ntrk2,7_plasticity,standalone246
Rgs4,7_plasticity,standalone246
Dlg4,7_plasticity,standalone246
Cbln2,7_plasticity,standalone246
Etv1,8_TF_identity,standalone246
Meis2,8_TF_identity,standalone246
Tle4,8_TF_identity,standalone246
Foxp1,8_TF_identity,standalone246
Tbr1,8_TF_identity,standalone246
Neurod6,8_TF_identity,standalone246
Emx1,8_TF_identity,standalone246
Synpr,9_published_regional,standalone246
Rbp4,9_published_regional,standalone246
Mpped1,9_published_regional,standalone246
Calb1,9_published_regional,standalone246
Scn5a,9_published_regional,standalone246
Cd44,9_published_regional,standalone246
Bhlhe22,8_TF_identity,standalone246
Nts,9_published_regional,standalone246
Slc6a3,11_class_backbone_optional,standalone246
Col23a1,12_GSE283418_added,standalone246
Slc29a4,12_GSE283418_added,standalone246
