gene,block,panel
Slc6a3,11_class_backbone_optional,v11_lean296
Calcrl,12_GSE283418_added,v11_lean296
Cck,12_GSE283418_added,v11_lean296
Col23a1,12_GSE283418_added,v11_lean296
Gfra1,12_GSE283418_added,v11_lean296
Lamb3,12_GSE283418_added,v11_lean296
Nos1,12_GSE283418_added,v11_lean296
Oprl1,12_GSE283418_added,v11_lean296
Slc29a4,12_GSE283418_added,v11_lean296
Pnoc,18_expanded_BMAp,v11_lean296
Rbms3,18_expanded_BMAp,v11_lean296
Maf,19_expanded_L5IT_separator,v11_lean296
Ptpru,19_expanded_L5IT_separator,v11_lean296
Rai14,19_expanded_L5IT_separator,v11_lean296
Sema5a,19_expanded_L5IT_separator,v11_lean296
Sema5b,19_expanded_L5IT_separator,v11_lean296
Thsd7b,19_expanded_L5IT_separator,v11_lean296
Baiap3,1_celltype_separator,v11_lean296
Bdnf,1_celltype_separator,v11_lean296
Calb2,1_celltype_separator,v11_lean296
Cbln1,1_celltype_separator,v11_lean296
Ccbe1,1_celltype_separator,v11_lean296
Ccdc42,1_celltype_separator,v11_lean296
Ccn2,1_celltype_separator,v11_lean296
Cnih3,1_celltype_separator,v11_lean296
Coch,1_celltype_separator,v11_lean296
Cux2,1_celltype_separator,v11_lean296
Drd1,1_celltype_separator,v11_lean296
Ebf1,1_celltype_separator,v11_lean296
Foxp2,1_celltype_separator,v11_lean296
Krt9,1_celltype_separator,v11_lean296
Lamp5,1_celltype_separator,v11_lean296
Lhx6,1_celltype_separator,v11_lean296
Lratd2,1_celltype_separator,v11_lean296
Matn2,1_celltype_separator,v11_lean296
Ndnf,1_celltype_separator,v11_lean296
Neurod2,1_celltype_separator,v11_lean296
Nfib,1_celltype_separator,v11_lean296
Npr3,1_celltype_separator,v11_lean296
Nptx2,1_celltype_separator,v11_lean296
Npy,1_celltype_separator,v11_lean296
Nr2e1,1_celltype_separator,v11_lean296
Nxph4,1_celltype_separator,v11_lean296
Oprk1,1_celltype_separator,v11_lean296
Otof,1_celltype_separator,v11_lean296
Otp,1_celltype_separator,v11_lean296
Pdyn,1_celltype_separator,v11_lean296
Penk,1_celltype_separator,v11_lean296
Pou3f1,1_celltype_separator,v11_lean296
Prox1,1_celltype_separator,v11_lean296
Pvalb,1_celltype_separator,v11_lean296
Rgs9,1_celltype_separator,v11_lean296
Rorb,1_celltype_separator,v11_lean296
Rprm,1_celltype_separator,v11_lean296
Rspo2,1_celltype_separator,v11_lean296
Sim1,1_celltype_separator,v11_lean296
Skor1,1_celltype_separator,v11_lean296
Slc17a7,1_celltype_separator,v11_lean296
Smoc2,1_celltype_separator,v11_lean296
Sox5,1_celltype_separator,v11_lean296
Sox6,1_celltype_separator,v11_lean296
Sp9,1_celltype_separator,v11_lean296
Sst,1_celltype_separator,v11_lean296
Syt6,1_celltype_separator,v11_lean296
Tac1,1_celltype_separator,v11_lean296
Tac2,1_celltype_separator,v11_lean296
Tcf7l2,1_celltype_separator,v11_lean296
Trh,1_celltype_separator,v11_lean296
Trhr,1_celltype_separator,v11_lean296
Tshz2,1_celltype_separator,v11_lean296
Vip,1_celltype_separator,v11_lean296
Zic1,1_celltype_separator,v11_lean296
Esr1,23_identity,v11_lean296
Lhx9,23_identity,v11_lean296
Slc30a3,23_identity,v11_lean296
Sulf1,23_identity,v11_lean296
Chat,27_cholinergic,v11_lean296
Slc5a7,27_cholinergic,v11_lean296
Bmp3,29_anchor_marker,v11_lean296
Vwc2l,29_anchor_marker,v11_lean296
Acta2,30_nonneuronal_class,v11_lean296
Aqp4,30_nonneuronal_class,v11_lean296
Cldn5,30_nonneuronal_class,v11_lean296
Dcn,30_nonneuronal_class,v11_lean296
Gjc3,30_nonneuronal_class,v11_lean296
Pdgfra,30_nonneuronal_class,v11_lean296
Siglech,30_nonneuronal_class,v11_lean296
Vtn,30_nonneuronal_class,v11_lean296
Gad1,3_class_backbone,v11_lean296
Gad2,3_class_backbone,v11_lean296
Mbp,3_class_backbone,v11_lean296
Rbfox3,3_class_backbone,v11_lean296
Slc17a6,3_class_backbone,v11_lean296
Slc32a1,3_class_backbone,v11_lean296
Snap25,3_class_backbone,v11_lean296
Slc1a2,4b_class_backbone,v11_lean296
Slc6a1,4b_class_backbone,v11_lean296
Syt1,4b_class_backbone,v11_lean296
Calb1,9_published_regional,v11_lean296
Cartpt,9_published_regional,v11_lean296
Crh,9_published_regional,v11_lean296
Fezf1,9_published_regional,v11_lean296
Htr2c,9_published_regional,v11_lean296
Mpped1,9_published_regional,v11_lean296
Nts,9_published_regional,v11_lean296
Pld5,9_published_regional,v11_lean296
Rbp4,9_published_regional,v11_lean296
Scn5a,9_published_regional,v11_lean296
Synpr,9_published_regional,v11_lean296
Adamts17,28_subtype_discovery,v11_lean296
Arhgap31,28_subtype_discovery,v11_lean296
Cbln4,28_subtype_discovery,v11_lean296
Cd24a,28_subtype_discovery,v11_lean296
Crispld2,28_subtype_discovery,v11_lean296
Dab2,28_subtype_discovery,v11_lean296
Dio3,28_subtype_discovery,v11_lean296
Elfn1,28_subtype_discovery,v11_lean296
Fbn2,28_subtype_discovery,v11_lean296
Gpr149,28_subtype_discovery,v11_lean296
Hhip,28_subtype_discovery,v11_lean296
Hpse,28_subtype_discovery,v11_lean296
Lin7a,28_subtype_discovery,v11_lean296
Lypd1,28_subtype_discovery,v11_lean296
Masp1,28_subtype_discovery,v11_lean296
Myo1b,28_subtype_discovery,v11_lean296
Nckap5,28_subtype_discovery,v11_lean296
Ndst3,28_subtype_discovery,v11_lean296
Plce1,28_subtype_discovery,v11_lean296
Plcl1,28_subtype_discovery,v11_lean296
Plpp4,28_subtype_discovery,v11_lean296
Pvt1,28_subtype_discovery,v11_lean296
Rspo3,28_subtype_discovery,v11_lean296
Rxfp1,28_subtype_discovery,v11_lean296
Spon1,28_subtype_discovery,v11_lean296
Vegfc,28_subtype_discovery,v11_lean296
Adrb1,14_Jesse_ORB_GPCR,v11_lean296
Chrm1,14_Jesse_ORB_GPCR,v11_lean296
Gpr26,14_Jesse_ORB_GPCR,v11_lean296
Grm8,14_Jesse_ORB_GPCR,v11_lean296
Adra1a,17_expanded_ORB_GPCR,v11_lean296
Adra1b,17_expanded_ORB_GPCR,v11_lean296
Chrm3,17_expanded_ORB_GPCR,v11_lean296
Gpr22,17_expanded_ORB_GPCR,v11_lean296
Hrh3,17_expanded_ORB_GPCR,v11_lean296
Adcyap1,24_GPCR_map,v11_lean296
Adra2a,24_GPCR_map,v11_lean296
Galr1,24_GPCR_map,v11_lean296
Grm2,24_GPCR_map,v11_lean296
Htr1a,24_GPCR_map,v11_lean296
Drd2,4_GPCR_cell_type_specific,v11_lean296
Gpr88,4_GPCR_cell_type_specific,v11_lean296
Hcrtr2,4_GPCR_cell_type_specific,v11_lean296
Mc4r,4_GPCR_cell_type_specific,v11_lean296
Npy2r,4_GPCR_cell_type_specific,v11_lean296
Oxtr,4_GPCR_cell_type_specific,v11_lean296
Tacr1,4_GPCR_cell_type_specific,v11_lean296
Creb1,5_receptor_map,v11_lean296
Adcyap1r1,6_GPCR_druggable,v11_lean296
Cckbr,6_GPCR_druggable,v11_lean296
Chrm2,6_GPCR_druggable,v11_lean296
Cnr1,6_GPCR_druggable,v11_lean296
Crhr1,6_GPCR_druggable,v11_lean296
Gabbr1,6_GPCR_druggable,v11_lean296
Gabbr2,6_GPCR_druggable,v11_lean296
Gpr101,6_GPCR_druggable,v11_lean296
Gpr158,6_GPCR_druggable,v11_lean296
Grm1,6_GPCR_druggable,v11_lean296
Grm3,6_GPCR_druggable,v11_lean296
Grm5,6_GPCR_druggable,v11_lean296
Grm7,6_GPCR_druggable,v11_lean296
Htr1b,6_GPCR_druggable,v11_lean296
Htr1f,6_GPCR_druggable,v11_lean296
Htr2a,6_GPCR_druggable,v11_lean296
Npy1r,6_GPCR_druggable,v11_lean296
Oprd1,6_GPCR_druggable,v11_lean296
Oprm1,6_GPCR_druggable,v11_lean296
Sstr2,6_GPCR_druggable,v11_lean296
Arhgap32,25_plasticity,v11_lean296
Cdh8,25_plasticity,v11_lean296
Lrrtm2,25_plasticity,v11_lean296
Nrxn3,25_plasticity,v11_lean296
Ntrk3,25_plasticity,v11_lean296
Pak1,25_plasticity,v11_lean296
Pcdh8,25_plasticity,v11_lean296
St8sia2,25_plasticity,v11_lean296
Camk2a,7_plasticity,v11_lean296
Camk2b,7_plasticity,v11_lean296
Cbln2,7_plasticity,v11_lean296
Dlg4,7_plasticity,v11_lean296
Gphn,7_plasticity,v11_lean296
Gria1,7_plasticity,v11_lean296
Gria2,7_plasticity,v11_lean296
Gria3,7_plasticity,v11_lean296
Gria4,7_plasticity,v11_lean296
Grin1,7_plasticity,v11_lean296
Grin2a,7_plasticity,v11_lean296
Grin2b,7_plasticity,v11_lean296
Grin3a,7_plasticity,v11_lean296
Nlgn1,7_plasticity,v11_lean296
Nrxn1,7_plasticity,v11_lean296
Ntrk2,7_plasticity,v11_lean296
Ppp1r1b,7_plasticity,v11_lean296
Rgs4,7_plasticity,v11_lean296
Shank3,7_plasticity,v11_lean296
Syn1,7_plasticity,v11_lean296
Syngap1,7_plasticity,v11_lean296
Syp,7_plasticity,v11_lean296
Bcl11b,8_TF_identity,v11_lean296
Bhlhe22,8_TF_identity,v11_lean296
Dlx1,8_TF_identity,v11_lean296
Etv1,8_TF_identity,v11_lean296
Fezf2,8_TF_identity,v11_lean296
Foxp1,8_TF_identity,v11_lean296
Isl1,8_TF_identity,v11_lean296
Meis2,8_TF_identity,v11_lean296
Neurod6,8_TF_identity,v11_lean296
Satb2,8_TF_identity,v11_lean296
Tbr1,8_TF_identity,v11_lean296
Tle4,8_TF_identity,v11_lean296
Zic2,8_TF_identity,v11_lean296
iCre,2_reporter_transgene,v11_lean296
tdTomato,2_reporter_transgene,v11_lean296
Btg2,4c_activity,v11_lean296
Egr2,4c_activity,v11_lean296
Ier2,4c_activity,v11_lean296
Jun,4c_activity,v11_lean296
Rgs2,4c_activity,v11_lean296
Scg2,4c_activity,v11_lean296
Sgk1,4c_activity,v11_lean296
Sik1,4c_activity,v11_lean296
Vgf,4c_activity,v11_lean296
Arc,5_IEG,v11_lean296
Egr1,5_IEG,v11_lean296
Fos,5_IEG,v11_lean296
Fosb,5_IEG,v11_lean296
Homer1,5_IEG,v11_lean296
Junb,5_IEG,v11_lean296
Jund,5_IEG,v11_lean296
Npas4,5_IEG,v11_lean296
Nr4a1,5_IEG,v11_lean296
Nr4a2,5_IEG,v11_lean296
Bhlhe40,13_Jesse_morphine_state,v11_lean296
Camk2g,13_Jesse_morphine_state,v11_lean296
Pcsk1,13_Jesse_morphine_state,v11_lean296
Per1,13_Jesse_morphine_state,v11_lean296
Per2,13_Jesse_morphine_state,v11_lean296
Sema3e,13_Jesse_morphine_state,v11_lean296
Acsl4,16_expanded_morphine_state,v11_lean296
Ahctf1,16_expanded_morphine_state,v11_lean296
Arid5b,16_expanded_morphine_state,v11_lean296
Banp,16_expanded_morphine_state,v11_lean296
Chd2,16_expanded_morphine_state,v11_lean296
Crem,16_expanded_morphine_state,v11_lean296
Dusp1,16_expanded_morphine_state,v11_lean296
Dusp4,16_expanded_morphine_state,v11_lean296
Dusp5,16_expanded_morphine_state,v11_lean296
E2f6,16_expanded_morphine_state,v11_lean296
Egr3,16_expanded_morphine_state,v11_lean296
Egr4,16_expanded_morphine_state,v11_lean296
Ep300,16_expanded_morphine_state,v11_lean296
Etv5,16_expanded_morphine_state,v11_lean296
Fhl2,16_expanded_morphine_state,v11_lean296
Fosl2,16_expanded_morphine_state,v11_lean296
Fxr1,16_expanded_morphine_state,v11_lean296
Hivep1,16_expanded_morphine_state,v11_lean296
Hrh1,16_expanded_morphine_state,v11_lean296
Hsd17b12,16_expanded_morphine_state,v11_lean296
Hspa5,16_expanded_morphine_state,v11_lean296
Hunk,16_expanded_morphine_state,v11_lean296
Kitl,16_expanded_morphine_state,v11_lean296
Klf10,16_expanded_morphine_state,v11_lean296
Maml3,16_expanded_morphine_state,v11_lean296
Mbnl2,16_expanded_morphine_state,v11_lean296
Nr4a3,16_expanded_morphine_state,v11_lean296
Omg,16_expanded_morphine_state,v11_lean296
Smad5,16_expanded_morphine_state,v11_lean296
Sox8,16_expanded_morphine_state,v11_lean296
Stk40,16_expanded_morphine_state,v11_lean296
Tiparp,16_expanded_morphine_state,v11_lean296
Vps13a,16_expanded_morphine_state,v11_lean296
Zdbf2,16_expanded_morphine_state,v11_lean296
Zfp46,16_expanded_morphine_state,v11_lean296
Zfp641,16_expanded_morphine_state,v11_lean296
Zfp933,16_expanded_morphine_state,v11_lean296
Zhx2,16_expanded_morphine_state,v11_lean296
Zkscan16,16_expanded_morphine_state,v11_lean296
Zkscan2,16_expanded_morphine_state,v11_lean296
Arntl,33_SOW_clock_axis,v11_lean296
Clock,33_SOW_clock_axis,v11_lean296
Cry1,33_SOW_clock_axis,v11_lean296
Cry2,33_SOW_clock_axis,v11_lean296
Dbp,33_SOW_clock_axis,v11_lean296
Npas2,33_SOW_clock_axis,v11_lean296
Nr1d1,33_SOW_clock_axis,v11_lean296
Nr1d2,33_SOW_clock_axis,v11_lean296
Per3,33_SOW_clock_axis,v11_lean296
