gene,block,panel
Slc6a3,11_class_backbone_optional,v11_superset316
Calcrl,12_GSE283418_added,v11_superset316
Cck,12_GSE283418_added,v11_superset316
Col23a1,12_GSE283418_added,v11_superset316
Gfra1,12_GSE283418_added,v11_superset316
Lamb3,12_GSE283418_added,v11_superset316
Nos1,12_GSE283418_added,v11_superset316
Oprl1,12_GSE283418_added,v11_superset316
Slc29a4,12_GSE283418_added,v11_superset316
Pnoc,18_expanded_BMAp,v11_superset316
Rbms3,18_expanded_BMAp,v11_superset316
Maf,19_expanded_L5IT_separator,v11_superset316
Ptpru,19_expanded_L5IT_separator,v11_superset316
Rai14,19_expanded_L5IT_separator,v11_superset316
Sema5a,19_expanded_L5IT_separator,v11_superset316
Sema5b,19_expanded_L5IT_separator,v11_superset316
Thsd7b,19_expanded_L5IT_separator,v11_superset316
Baiap3,1_celltype_separator,v11_superset316
Bdnf,1_celltype_separator,v11_superset316
Calb2,1_celltype_separator,v11_superset316
Cbln1,1_celltype_separator,v11_superset316
Ccbe1,1_celltype_separator,v11_superset316
Ccdc42,1_celltype_separator,v11_superset316
Ccn2,1_celltype_separator,v11_superset316
Cnih3,1_celltype_separator,v11_superset316
Coch,1_celltype_separator,v11_superset316
Cux2,1_celltype_separator,v11_superset316
Drd1,1_celltype_separator,v11_superset316
Ebf1,1_celltype_separator,v11_superset316
Foxp2,1_celltype_separator,v11_superset316
Krt9,1_celltype_separator,v11_superset316
Lamp5,1_celltype_separator,v11_superset316
Lhx6,1_celltype_separator,v11_superset316
Lratd2,1_celltype_separator,v11_superset316
Matn2,1_celltype_separator,v11_superset316
Ndnf,1_celltype_separator,v11_superset316
Neurod2,1_celltype_separator,v11_superset316
Nfib,1_celltype_separator,v11_superset316
Npr3,1_celltype_separator,v11_superset316
Nptx2,1_celltype_separator,v11_superset316
Npy,1_celltype_separator,v11_superset316
Nr2e1,1_celltype_separator,v11_superset316
Nxph4,1_celltype_separator,v11_superset316
Oprk1,1_celltype_separator,v11_superset316
Otof,1_celltype_separator,v11_superset316
Otp,1_celltype_separator,v11_superset316
Pdyn,1_celltype_separator,v11_superset316
Penk,1_celltype_separator,v11_superset316
Pou3f1,1_celltype_separator,v11_superset316
Prox1,1_celltype_separator,v11_superset316
Pvalb,1_celltype_separator,v11_superset316
Rgs9,1_celltype_separator,v11_superset316
Rorb,1_celltype_separator,v11_superset316
Rprm,1_celltype_separator,v11_superset316
Rspo2,1_celltype_separator,v11_superset316
Sim1,1_celltype_separator,v11_superset316
Skor1,1_celltype_separator,v11_superset316
Slc17a7,1_celltype_separator,v11_superset316
Smoc2,1_celltype_separator,v11_superset316
Sox5,1_celltype_separator,v11_superset316
Sox6,1_celltype_separator,v11_superset316
