gene,block,panel
Vip,1_celltype_separator,v8_237
Tshz2,1_celltype_separator,v8_237
Sst,1_celltype_separator,v8_237
Slc17a7,1_celltype_separator,v8_237
Lhx6,1_celltype_separator,v8_237
Sim1,1_celltype_separator,v8_237
Pvalb,1_celltype_separator,v8_237
Ebf1,1_celltype_separator,v8_237
Nxph4,1_celltype_separator,v8_237
Pou3f1,1_celltype_separator,v8_237
Syt6,1_celltype_separator,v8_237
Foxp2,1_celltype_separator,v8_237
Skor1,1_celltype_separator,v8_237
Otof,1_celltype_separator,v8_237
Rorb,1_celltype_separator,v8_237
Oprk1,1_celltype_separator,v8_237
Ccdc42,1_celltype_separator,v8_237
Lamp5,1_celltype_separator,v8_237
Sox6,1_celltype_separator,v8_237
Bdnf,1_celltype_separator,v8_237
Tac1,1_celltype_separator,v8_237
Nfib,1_celltype_separator,v8_237
Cbln1,1_celltype_separator,v8_237
Tcf7l2,1_celltype_separator,v8_237
Sp9,1_celltype_separator,v8_237
Ndnf,1_celltype_separator,v8_237
Trhr,1_celltype_separator,v8_237
Calb2,1_celltype_separator,v8_237
Ccn2,1_celltype_separator,v8_237
Npr3,1_celltype_separator,v8_237
Prox1,1_celltype_separator,v8_237
Penk,1_celltype_separator,v8_237
Baiap3,1_celltype_separator,v8_237
Pdyn,1_celltype_separator,v8_237
Rspo2,1_celltype_separator,v8_237
Cux2,1_celltype_separator,v8_237
Coch,1_celltype_separator,v8_237
Otp,1_celltype_separator,v8_237
iCre,2_reporter_transgene,v8_237
tdTomato,2_reporter_transgene,v8_237
Slc17a6,3_class_backbone,v8_237
Gad2,3_class_backbone,v8_237
Gad1,3_class_backbone,v8_237
Slc32a1,3_class_backbone,v8_237
Npy2r,4_GPCR_cell_type_specific,v8_237
Oxtr,4_GPCR_cell_type_specific,v8_237
Drd2,4_GPCR_cell_type_specific,v8_237
Mc4r,4_GPCR_cell_type_specific,v8_237
Gpr88,4_GPCR_cell_type_specific,v8_237
Hcrtr2,4_GPCR_cell_type_specific,v8_237
Tacr1,4_GPCR_cell_type_specific,v8_237
Homer1,5_IEG,v8_237
Egr1,5_IEG,v8_237
Arc,5_IEG,v8_237
Fos,5_IEG,v8_237
Fosb,5_IEG,v8_237
Npas4,5_IEG,v8_237
Oprm1,6_GPCR_druggable,v8_237
Gria1,7_plasticity,v8_237
Gria2,7_plasticity,v8_237
Camk2a,7_plasticity,v8_237
Grin1,7_plasticity,v8_237
Ppp1r1b,7_plasticity,v8_237
Isl1,8_TF_identity,v8_237
Dlx1,8_TF_identity,v8_237
Bcl11b,8_TF_identity,v8_237
Satb2,8_TF_identity,v8_237
Fezf2,8_TF_identity,v8_237
Zic2,8_TF_identity,v8_237
Cartpt,9_published_regional,v8_237
Htr2c,9_published_regional,v8_237
Pld5,9_published_regional,v8_237
Fezf1,9_published_regional,v8_237
Crh,9_published_regional,v8_237
Neurod2,1_celltype_separator,v8_237
Sox5,1_celltype_separator,v8_237
Tac2,1_celltype_separator,v8_237
Npy,1_celltype_separator,v8_237
Zic1,1_celltype_separator,v8_237
Trh,1_celltype_separator,v8_237
Rprm,1_celltype_separator,v8_237
Lratd2,1_celltype_separator,v8_237
Nr2e1,1_celltype_separator,v8_237
Matn2,1_celltype_separator,v8_237
Drd1,1_celltype_separator,v8_237
Nptx2,1_celltype_separator,v8_237
Krt9,1_celltype_separator,v8_237
Rgs9,1_celltype_separator,v8_237
Cnih3,1_celltype_separator,v8_237
Snap25,3_class_backbone,v8_237
