region_user,subclass,gpcr_gene,n_cells,mean_log2_expr,pct_expr,rank_mean_expr,rank_pct_expr,combined_rank_score,rank_combined,specificity_log2,rank_specificity,taxonomy_level,evidence_source
AId,326 OPC NN,Adcyap1r1,4367,6.1853742599487305,79.7572704373712,2.0,2.0,4.0,2.0,0.00217437744140625,1.0,subclass,Allen_WMB_10X_computed
AId,053 Sst Gaba,Adcyap1r1,5983,6.183199882507324,83.75396958047801,6.0,6.0,12.0,6.0,-0.00217437744140625,1.0,subclass,Allen_WMB_10X_computed
AId,002 IT EP-CLA Glut,Adcyap1r1,4037,5.767323017120361,85.11270745603171,8.0,7.0,15.0,6.0,-0.41805124282836914,10.0,subclass,Allen_WMB_10X_computed
AId,047 Sncg Gaba,Adcyap1r1,1662,5.6550188064575195,80.9265944645006,6.0,6.0,12.0,6.0,-0.5303554534912109,11.0,subclass,Allen_WMB_10X_computed
AId,051 Pvalb chandelier Gaba,Adcyap1r1,285,5.5652384757995605,79.2982456140351,6.0,5.0,11.0,5.0,-0.6201357841491699,10.0,subclass,Allen_WMB_10X_computed
AId,052 Pvalb Gaba,Adcyap1r1,3617,5.442628383636475,77.05280619297761,4.0,4.0,8.0,4.0,-0.7427458763122559,11.0,subclass,Allen_WMB_10X_computed
AId,319 Astro-TE NN,Adcyap1r1,8535,5.196227073669434,67.76801405975395,4.0,4.0,8.0,4.0,-0.9891471862792969,10.0,subclass,Allen_WMB_10X_computed
AId,056 Sst Chodl Gaba,Adcyap1r1,360,4.789993762969971,71.38888888888889,6.0,5.0,11.0,4.0,-1.3953804969787598,18.0,subclass,Allen_WMB_10X_computed
AId,044 OB Dopa-Gaba,Adcyap1r1,46,4.638138294219971,58.69565217391305,6.0,5.0,11.0,5.0,-1.5472359657287598,12.0,subclass,Allen_WMB_10X_computed
AId,049 Lamp5 Gaba,Adcyap1r1,3704,4.494273662567139,66.65766738660908,7.0,5.0,12.0,4.0,-1.6911005973815918,14.0,subclass,Allen_WMB_10X_computed
AId,004 L6 IT CTX Glut,Adcyap1r1,3372,4.480039119720459,70.9667852906287,10.0,7.0,17.0,8.0,-1.7053351402282715,16.0,subclass,Allen_WMB_10X_computed
AId,046 Vip Gaba,Adcyap1r1,3706,4.338242053985596,60.172692930383164,8.0,7.0,15.0,7.0,-1.8471322059631348,14.0,subclass,Allen_WMB_10X_computed
AId,050 Lamp5 Lhx6 Gaba,Adcyap1r1,370,4.334961891174316,66.21621621621621,6.0,5.0,11.0,4.0,-1.850412368774414,14.0,subclass,Allen_WMB_10X_computed
AId,003 L5/6 IT TPE-ENT Glut,Adcyap1r1,1278,4.255692005157471,70.18779342723005,8.0,8.0,16.0,8.0,-1.9296822547912598,21.0,subclass,Allen_WMB_10X_computed
AId,027 L6b EPd Glut,Adcyap1r1,117,4.028397560119629,68.37606837606837,9.0,8.0,17.0,8.0,-2.1569766998291016,19.0,subclass,Allen_WMB_10X_computed
AId,005 L5 IT CTX Glut,Adcyap1r1,843,3.6330301761627197,62.27758007117438,10.0,9.0,19.0,8.0,-2.5523440837860107,23.0,subclass,Allen_WMB_10X_computed
AId,009 L2/3 IT PIR-ENTl Glut,Adcyap1r1,816,3.4002625942230225,52.32843137254902,6.0,6.0,12.0,6.0,-2.785111665725708,21.0,subclass,Allen_WMB_10X_computed
AId,001 CLA-EPd-CTX Car3 Glut,Adcyap1r1,5779,3.208604097366333,51.51410278594912,13.0,13.0,26.0,12.0,-2.9767701625823975,27.0,subclass,Allen_WMB_10X_computed
AId,007 L2/3 IT CTX Glut,Adcyap1r1,7697,2.992872953414917,52.708847602962194,10.0,10.0,20.0,10.0,-3.1925013065338135,26.0,subclass,Allen_WMB_10X_computed
AId,029 L6b CTX Glut,Adcyap1r1,439,2.917339563369751,50.34168564920274,11.0,11.0,22.0,10.0,-3.2680346965789795,23.0,subclass,Allen_WMB_10X_computed
AId,032 L5 NP CTX Glut,Adcyap1r1,3409,2.411374092102051,37.34232912877677,8.0,8.0,16.0,7.0,-3.7740001678466797,22.0,subclass,Allen_WMB_10X_computed
AId,006 L4/5 IT CTX Glut,Adcyap1r1,12177,2.0018279552459717,36.26508992362651,15.0,13.0,28.0,9.0,-4.183546304702759,28.0,subclass,Allen_WMB_10X_computed
AId,331 Peri NN,Adcyap1r1,673,1.590583086013794,19.316493313521548,5.0,5.0,10.0,5.0,-4.5947911739349365,20.0,subclass,Allen_WMB_10X_computed
AId,327 Oligo NN,Adcyap1r1,2656,1.145837664604187,15.737951807228914,3.0,4.0,7.0,3.0,-5.0395365953445435,22.0,subclass,Allen_WMB_10X_computed
AId,030 L6 CT CTX Glut,Adcyap1r1,13072,0.8602262139320374,15.261627906976743,15.0,15.0,30.0,14.0,-5.325148046016693,31.0,subclass,Allen_WMB_10X_computed
AId,332 SMC NN,Adcyap1r1,333,0.654080867767334,8.408408408408409,6.0,6.0,12.0,6.0,-5.5312933921813965,24.0,subclass,Allen_WMB_10X_computed
AId,036 HPF CR Glut,Adcyap1r1,49,0.3901350796222687,6.122448979591836,10.0,8.0,18.0,10.0,-5.795239180326462,26.0,subclass,Allen_WMB_10X_computed
AId,333 Endo NN,Adcyap1r1,2903,0.285923033952713,3.8580778504994835,7.0,7.0,14.0,7.0,-5.8994512259960175,24.0,subclass,Allen_WMB_10X_computed
AId,022 L5 ET CTX Glut,Adcyap1r1,1134,0.27484163641929626,5.731922398589065,20.0,19.0,39.0,19.0,-5.910532623529434,33.0,subclass,Allen_WMB_10X_computed
AId,334 Microglia NN,Adcyap1r1,4610,0.26697373390197754,3.492407809110629,9.0,9.0,18.0,8.0,-5.918400526046753,24.0,subclass,Allen_WMB_10X_computed
AId,330 VLMC NN,Adcyap1r1,291,0.240311399102211,3.0927835051546393,10.0,8.0,18.0,10.0,-5.9450628608465195,24.0,subclass,Allen_WMB_10X_computed
AId,329 ABC NN,Adcyap1r1,38,0.17140373587608337,2.631578947368421,12.0,7.0,19.0,12.0,-6.013970524072647,24.0,subclass,Allen_WMB_10X_computed
AId,335 BAM NN,Adcyap1r1,364,0.15554708242416382,2.197802197802198,11.0,10.0,21.0,11.0,-6.029827177524567,24.0,subclass,Allen_WMB_10X_computed
AId,331 Peri NN,Adora2a,673,4.186823844909668,49.18276374442793,1.0,1.0,2.0,1.0,2.5299456119537354,1.0,subclass,Allen_WMB_10X_computed
AId,330 VLMC NN,Adora2a,291,1.6568782329559326,21.305841924398624,3.0,3.0,6.0,3.0,-2.5299456119537354,14.0,subclass,Allen_WMB_10X_computed
AId,332 SMC NN,Adora2a,333,1.5666834115982056,19.81981981981982,4.0,4.0,8.0,4.0,-2.6201404333114624,14.0,subclass,Allen_WMB_10X_computed
AId,029 L6b CTX Glut,Adora2a,439,0.3577730059623718,6.378132118451026,23.0,23.0,46.0,19.0,-3.829050838947296,29.0,subclass,Allen_WMB_10X_computed
AId,027 L6b EPd Glut,Adora2a,117,0.3251114785671234,5.982905982905983,21.0,17.0,38.0,20.0,-3.8617123663425446,28.0,subclass,Allen_WMB_10X_computed
AId,036 HPF CR Glut,Adora2a,49,0.3152047097682953,4.081632653061225,11.0,9.0,20.0,11.0,-3.8716191351413727,18.0,subclass,Allen_WMB_10X_computed
AId,319 Astro-TE NN,Adora2a,8535,0.23473618924617767,3.3626244874048035,10.0,10.0,20.0,10.0,-3.9520876556634903,21.0,subclass,Allen_WMB_10X_computed
AId,047 Sncg Gaba,Adora2a,1662,0.1933748871088028,3.790613718411552,22.0,22.0,44.0,21.0,-3.993448957800865,24.0,subclass,Allen_WMB_10X_computed
AId,333 Endo NN,Adora2a,2903,0.16969843208789825,2.3768515328970032,11.0,11.0,22.0,11.0,-4.01712541282177,17.0,subclass,Allen_WMB_10X_computed
AId,335 BAM NN,Adora2a,364,0.1000179871916771,1.3736263736263736,16.0,13.0,29.0,16.0,-4.086805857717991,17.0,subclass,Allen_WMB_10X_computed
AId,030 L6 CT CTX Glut,Adora2a,13072,0.04347363859415054,0.8032435740514077,29.0,28.0,57.0,28.0,-4.143350206315517,26.0,subclass,Allen_WMB_10X_computed
AId,003 L5/6 IT TPE-ENT Glut,Adora2a,1278,0.0413605272769928,0.9389671361502347,34.0,33.0,67.0,31.0,-4.145463317632675,31.0,subclass,Allen_WMB_10X_computed
AId,005 L5 IT CTX Glut,Adora2a,843,0.03643907606601715,0.8303677342823249,34.0,32.0,66.0,32.0,-4.150384768843651,31.0,subclass,Allen_WMB_10X_computed
