region_user,cell_type_label,gene,gene_role,source,confidence,notes
CP,D1/direct-pathway SPN,Ppp1r1b,positive_marker,v6_published_marker_canonical,high,Canonical striatal D1 SPN markers (v6 list). Drd1 = Drd1a alias.
CP,D1/direct-pathway SPN,Foxp1,positive_marker,v6_published_marker_canonical,high,Canonical striatal D1 SPN markers (v6 list). Drd1 = Drd1a alias.
CP,D1/direct-pathway SPN,Drd1,positive_marker,v6_published_marker_canonical,high,Canonical striatal D1 SPN markers (v6 list). Drd1 = Drd1a alias.
CP,D1/direct-pathway SPN,Tac1,positive_marker,v6_published_marker_canonical,high,Canonical striatal D1 SPN markers (v6 list). Drd1 = Drd1a alias.
CP,D1/direct-pathway SPN,Pdyn,positive_marker,v6_published_marker_canonical,high,Canonical striatal D1 SPN markers (v6 list). Drd1 = Drd1a alias.
CP,D1/direct-pathway SPN,Isl1,positive_marker,v6_published_marker_canonical,high,Canonical striatal D1 SPN markers (v6 list). Drd1 = Drd1a alias.
CP,D1/direct-pathway SPN,Gnal,positive_marker,v6_published_marker_canonical,high,Canonical striatal D1 SPN markers (v6 list). Drd1 = Drd1a alias.
CP,D1/direct-pathway SPN,Drd2,exclusion_marker,v6_published_marker_canonical,high,Canonical striatal D1 SPN markers (v6 list). Drd1 = Drd1a alias.
CP,D1/direct-pathway SPN,Adora2a,exclusion_marker,v6_published_marker_canonical,high,Canonical striatal D1 SPN markers (v6 list). Drd1 = Drd1a alias.
CP,D1/direct-pathway SPN,Penk,exclusion_marker,v6_published_marker_canonical,high,Canonical striatal D1 SPN markers (v6 list). Drd1 = Drd1a alias.
CP,D1/direct-pathway SPN,Gpr6,exclusion_marker,v6_published_marker_canonical,high,Canonical striatal D1 SPN markers (v6 list). Drd1 = Drd1a alias.
CP,D1/direct-pathway SPN,Gpr52,exclusion_marker,v6_published_marker_canonical,high,Canonical striatal D1 SPN markers (v6 list). Drd1 = Drd1a alias.
CP,D2/indirect-pathway SPN,Ppp1r1b,positive_marker,v6_published_marker_canonical,high,Canonical striatal D2 SPN markers (v6 list). Sp9 KEY for D2 lineage.
CP,D2/indirect-pathway SPN,Foxp1,positive_marker,v6_published_marker_canonical,high,Canonical striatal D2 SPN markers (v6 list). Sp9 KEY for D2 lineage.
CP,D2/indirect-pathway SPN,Drd2,positive_marker,v6_published_marker_canonical,high,Canonical striatal D2 SPN markers (v6 list). Sp9 KEY for D2 lineage.
CP,D2/indirect-pathway SPN,Adora2a,positive_marker,v6_published_marker_canonical,high,Canonical striatal D2 SPN markers (v6 list). Sp9 KEY for D2 lineage.
CP,D2/indirect-pathway SPN,Penk,positive_marker,v6_published_marker_canonical,high,Canonical striatal D2 SPN markers (v6 list). Sp9 KEY for D2 lineage.
CP,D2/indirect-pathway SPN,Gpr6,positive_marker,v6_published_marker_canonical,high,Canonical striatal D2 SPN markers (v6 list). Sp9 KEY for D2 lineage.
CP,D2/indirect-pathway SPN,Gpr52,positive_marker,v6_published_marker_canonical,high,Canonical striatal D2 SPN markers (v6 list). Sp9 KEY for D2 lineage.
CP,D2/indirect-pathway SPN,Sp9,positive_marker,v6_published_marker_canonical,high,Canonical striatal D2 SPN markers (v6 list). Sp9 KEY for D2 lineage.
CP,D2/indirect-pathway SPN,Drd1,exclusion_marker,v6_published_marker_canonical,high,Canonical striatal D2 SPN markers (v6 list). Sp9 KEY for D2 lineage.
