region,anchor,qualifying_panel_genes,qualifying_omitted_genes,best_panel_gene,best_panel_specificity,best_omitted_gene,best_omitted_specificity
BMAp,012 MEA Slc17a7 Glut,34,802,Slc17a7,6.545533958621464,Zfpm2,6.2891951538563795
BMAp,073 MEA-BST Sox6 Gaba,4,18,Prox1,2.761721241435736,Chn2,2.1476356948986686
BMAp,074 MEA-BST Lhx6 Sp9 Gaba,5,41,Lhx6,5.89827810110234,Nxph2,4.067729616824962
BMAp,082 CEA-BST Ebf1 Pdyn Gaba,15,117,Ebf1,4.772530386192833,Zfp503,2.87391068183847
BMAp,113 MEA-COA-BMA Ccdc42 Glut,9,105,Penk,2.3060681565644603,Iqgap2,2.7009861911900988
BMAp,119 SI-MA-LPO-LHA Skor1 Glut,18,430,Tcf7l2,4.454378195494613,Ndst4,4.100385928963717
BMAp,120 MEA Otp Foxp2 Glut,12,153,Foxp2,3.502255296427803,Stc1,4.145732124391849
BMAp,121 MEA-BST Otp Zic2 Glut,4,124,Sim1,5.623864201754201,Gm2694,3.0220921882162224
ORBm,004 L6 IT CTX Glut,6,46,Sema3e,2.129149080816279,Blnk,2.5411207267920632
ORBm,005 L5 IT CTX Glut,4,46,Bdnf,0.8274123149945707,Cbln4,1.9734426337253428
ORBm,006 L4/5 IT CTX Glut,8,86,Rorb,2.225200076776712,Kcnh5,3.637589267323827
ORBm,007 L2/3 IT CTX Glut,6,174,Otof,2.464632069626642,Ccbe1,3.879084426237453
ORBm,022 L5 ET CTX Glut,10,273,Pou3f1,4.565403485682682,Gm2164,5.253203800911506
ORBm,029 L6b CTX Glut,9,133,Nxph4,4.6146067237998665,Lhfpl3,2.4938737920955854
ORBm,030 L6 CT CTX Glut,7,63,Syt6,3.7584672823794607,Trbc2,2.4891486000788268
ORBm,032 L5 NP CTX Glut,9,107,Tshz2,8.83496060363899,Lypd1,5.972476165557584
ORBm,046 Vip Gaba,13,82,Vip,9.505026170922882,Cxcl14,3.3491115180185207
ORBm,049 Lamp5 Gaba,13,235,Ndnf,4.9922084066261005,Hapln1,6.476683014613736
ORBm,052 Pvalb Gaba,8,397,Pvalb,5.514436473679829,Nek7,3.913932515102105
ORBm,053 Sst Gaba,6,110,Sst,8.065175394127449,Grin3a,4.217849287430947
