order_rank,gene,block,serves,why,max_pct,max_mean,max_spec_panel,tenx_ensembl_ids,tenx_designable_matches,tenx_on_no_probe_list,ncbi_gene_id,ncbi_description,ncbi_gene_type,ncbi_nomenclature_status,ncbi_modified,gtf_ensembl_ids,gtf_gene_types,gtf_transcript_count,gtf_transcript_types,allen_max_pct_full,allen_max_pct_anchor,allen_median_pct_across_anchors,allen_n_anchors_ge50,allen_max_pct_ORBm,allen_max_pct_BMAp,target_type,symbol_qc,tenx_design_qc,isoform_qc,detectability_tier,overall_pre_vendor_status
1,Vip,1_celltype_separator,046 Vip Gaba :: Cortical interneurons,UNIQUE separator for 046 Vip Gaba,92.86,10.68,10.06,ENSMUSG00000019772,1.0,False,22353,vasoactive intestinal polypeptide,protein-coding,O,20260915,ENSMUSG00000019772,protein_coding,2.0,protein_coding; retained_intron,92.85932255111382,046 Vip Gaba,8.315398147643958,1.0,92.85932255111382,1.263297872340425,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
2,Tshz2,1_celltype_separator,032 L5 NP CTX Glut :: L5 IT / L5 ET/PT output neurons | cortical_L5NP,UNIQUE separator for 032 L5 NP CTX Glut,99.95,11.91,8.84,ENSMUSG00000047907,1.0,False,228911,teashirt zinc finger family member 2,protein-coding,O,20260818,ENSMUSG00000047907,protein_coding,5.0,protein_coding,99.94984954864594,032 L5 NP CTX Glut,24.70962010652936,8.0,99.94984954864594,99.2686170212766,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
3,Sst,1_celltype_separator,053 Sst Gaba :: Cortical interneurons,UNIQUE separator for 053 Sst Gaba,99.05,10.96,8.11,ENSMUSG00000004366,1.0,False,20604,somatostatin,protein-coding,O,20260915,ENSMUSG00000004366,protein_coding,1.0,protein_coding,99.05151571508276,053 Sst Gaba,19.27162594286137,2.0,99.05151571508276,52.38300315819696,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,SINGLE_TRANSCRIPT_GENE_LEVEL,HIGH_ge50pct,PASS_PRE_VENDOR_QC
4,Slc17a7,1_celltype_separator,012 MEA Slc17a7 Glut :: Posterior BMA glutamatergic / pallial amygdala VGLUT1 | glutamatergic | glutamatergic,UNIQUE separator for 012 MEA Slc17a7 Glut,100.0,10.06,6.55,ENSMUSG00000070570,1.0,False,72961,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7",protein-coding,O,20260910,ENSMUSG00000070570,protein_coding,5.0,protein_coding; retained_intron,100.0,029 L6b CTX Glut,41.92181070465695,9.0,100.0,93.52409638554217,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
5,Lhx6,1_celltype_separator,074 MEA-BST Lhx6 Sp9 Gaba :: Amygdala GABA / striatal-like inhibitory neighbors | MGE_interneuron | MGE_interneuron,UNIQUE separator for 074 MEA-BST Lhx6 Sp9 Gaba,88.66,6.19,5.9,ENSMUSG00000026890,1.0,False,16874,LIM homeobox protein 6,protein-coding,O,20260910,ENSMUSG00000026890,protein_coding,9.0,lncRNA; protein_coding; retained_intron,88.65500696486612,074 MEA-BST Lhx6 Sp9 Gaba,2.048006492983821,3.0,84.84284917240097,88.65500696486612,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
6,Sim1,1_celltype_separator,121 MEA-BST Otp Zic2 Glut :: BMA/MEA VGLUT2-like excitatory | amygdala_hypothalamic,UNIQUE separator for 121 MEA-BST Otp Zic2 Glut,87.97,6.49,5.62,ENSMUSG00000019913,1.0,False,20464,single-minded family bHLH transcription factor 1,protein-coding,O,20260818,ENSMUSG00000019913,protein_coding,2.0,protein_coding,87.96812749003983,121 MEA-BST Otp Zic2 Glut,0.1728467024359419,1.0,0.2489250961756053,87.96812749003983,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
7,Pvalb,1_celltype_separator,052 Pvalb Gaba :: Cortical interneurons,UNIQUE separator for 052 Pvalb Gaba,71.28,6.18,5.58,ENSMUSG00000005716,1.0,False,19293,parvalbumin,protein-coding,O,20260825,ENSMUSG00000005716,protein_coding,2.0,protein_coding,71.27919135587312,052 Pvalb Gaba,1.454433771491495,1.0,71.27919135587312,3.623853211009175,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
8,Ebf1,1_celltype_separator,082 CEA-BST Ebf1 Pdyn Gaba :: Amygdala GABA / striatal-like inhibitory neighbors | striatal,UNIQUE separator for 082 CEA-BST Ebf1 Pdyn Gaba,73.28,6.31,4.77,ENSMUSG00000057098,1.0,False,13591,early B cell factor 1,protein-coding,O,20260818,ENSMUSG00000057098,protein_coding,7.0,lncRNA; protein_coding,73.28452483491243,082 CEA-BST Ebf1 Pdyn Gaba,1.246707472491837,1.0,1.879592990390051,73.28452483491243,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
9,Nxph4,1_celltype_separator,029 L6b CTX Glut :: L6 CT / L6b | VGLUT2_clade,UNIQUE separator for 029 L6b CTX Glut,65.45,4.91,4.61,ENSMUSG00000040258,1.0,False,104080,neurexophilin 4,protein-coding,O,20260807,ENSMUSG00000040258,protein_coding,1.0,protein_coding,65.44766708701135,029 L6b CTX Glut,1.292860800870102,2.0,65.44766708701135,64.95412844036697,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,SINGLE_TRANSCRIPT_GENE_LEVEL,HIGH_ge50pct,PASS_PRE_VENDOR_QC
10,Pou3f1,1_celltype_separator,022 L5 ET CTX Glut :: L5 IT / L5 ET/PT output neurons | cortical_L5,UNIQUE separator for 022 L5 ET CTX Glut,92.06,7.05,4.57,ENSMUSG00000090125,1.0,False,18991,"POU domain, class 3, transcription factor 1",protein-coding,O,20260910,ENSMUSG00000090125,protein_coding,1.0,protein_coding,92.05669965231345,022 L5 ET CTX Glut,1.402125670833434,1.0,92.05669965231345,9.761699684180304,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,SINGLE_TRANSCRIPT_GENE_LEVEL,HIGH_ge50pct,PASS_PRE_VENDOR_QC
