region_user,gpcr_gene,n_panel_detected,n_panel_subclasses,frac_panel_detected,gpcr_tier_panel,n_roi_detected,n_roi_subclasses,frac_roi_detected,gpcr_tier_roi,top_panel_subclass,top_panel_mean_log2,top_panel_pct,top_panel_specificity_log2
AId,Adcyap1r1,8,10,0.8,universal,20,23,0.87,universal,053 Sst Gaba,6.183199882507324,83.75396958047801,0.7406
AId,Adora2a,0,10,0.0,cell_type_specific,0,23,0.0,cell_type_specific,029 L6b CTX Glut,0.3577730059623718,6.378132118451026,0.3143
AId,Avpr1a,0,10,0.0,cell_type_specific,0,23,0.0,cell_type_specific,032 L5 NP CTX Glut,0.6295766234397888,10.120269873863302,0.5995
AId,Avpr1b,0,10,0.0,cell_type_specific,0,23,0.0,cell_type_specific,022 L5 ET CTX Glut,0.0097836665809154,0.1763668430335097,0.0087
AId,Cckbr,6,10,0.6,intermediate,13,23,0.565,intermediate,022 L5 ET CTX Glut,5.358611106872559,84.03880070546738,0.2108
AId,Chrm2,7,10,0.7,universal,16,23,0.696,intermediate,032 L5 NP CTX Glut,7.823484420776367,88.88237019653857,3.36
AId,Chrm4,0,10,0.0,cell_type_specific,0,23,0.0,cell_type_specific,007 L2/3 IT CTX Glut,0.0255169756710529,0.584643367545797,0.0019
AId,Cnr1,9,10,0.9,universal,20,23,0.87,universal,046 Vip Gaba,9.681492805480955,98.27307069616838,1.9019
AId,Crhr1,3,10,0.3,cell_type_specific,9,23,0.391,intermediate,006 L4/5 IT CTX Glut,3.937202215194702,64.40009854644,1.5948
AId,Drd1,3,10,0.3,cell_type_specific,10,23,0.435,intermediate,029 L6b CTX Glut,4.695599555969238,73.80410022779044,2.8823
AId,Drd2,0,10,0.0,cell_type_specific,2,23,0.087,cell_type_specific,053 Sst Gaba,0.6680202484130859,11.398963730569948,0.4501
AId,Gabbr1,10,10,1.0,universal,23,23,1.0,universal,022 L5 ET CTX Glut,8.961563110351562,100.0,0.2229
AId,Gabbr2,10,10,1.0,universal,23,23,1.0,universal,049 Lamp5 Gaba,9.568286895751951,99.10907127429806,0.4511
AId,Galr1,0,10,0.0,cell_type_specific,0,23,0.0,cell_type_specific,046 Vip Gaba,0.0967847555875778,1.5380464112250405,0.0399
AId,Gpr101,0,10,0.0,cell_type_specific,0,23,0.0,cell_type_specific,046 Vip Gaba,0.3128773868083954,4.614139233675122,0.0745
AId,Gpr52,0,10,0.0,cell_type_specific,0,23,0.0,cell_type_specific,007 L2/3 IT CTX Glut,0.0539480000734329,1.1822788099259451,0.0209
AId,Gpr6,0,10,0.0,cell_type_specific,0,23,0.0,cell_type_specific,049 Lamp5 Gaba,0.5111922025680542,8.855291576673865,0.4273
AId,Gpr88,2,10,0.2,cell_type_specific,7,23,0.304,intermediate,007 L2/3 IT CTX Glut,4.769479274749756,73.8599454332857,1.7707
AId,Grm1,9,10,0.9,universal,21,23,0.913,universal,053 Sst Gaba,8.468812942504883,93.8993815811466,0.7087
AId,Grm5,10,10,1.0,universal,23,23,1.0,universal,032 L5 NP CTX Glut,10.802431106567385,99.97066588442358,0.2396
AId,Hcrtr1,0,10,0.0,cell_type_specific,1,23,0.043,cell_type_specific,030 L6 CT CTX Glut,0.8422955870628357,15.123929008567933,0.1037
AId,Hcrtr2,4,10,0.4,intermediate,6,23,0.261,cell_type_specific,049 Lamp5 Gaba,4.742664337158203,63.39092872570195,2.1203
AId,Htr1a,3,10,0.3,cell_type_specific,7,23,0.304,intermediate,053 Sst Gaba,1.6345707178115845,26.157446097275617,0.1698
AId,Htr1b,3,10,0.3,cell_type_specific,7,23,0.304,intermediate,022 L5 ET CTX Glut,2.326374053955078,44.44444444444444,0.3365
AId,Htr1f,9,10,0.9,universal,21,23,0.913,universal,022 L5 ET CTX Glut,7.546225547790527,96.64902998236332,0.4469
AId,Htr2a,7,10,0.7,universal,18,23,0.783,universal,006 L4/5 IT CTX Glut,6.587835788726807,90.95015192576167,1.9885
