region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_nonneuronal,is_anchor_subclass,specificity_log2_vs_neuronal,specificity_log2_vs_neuronal_competitor_mean,specificity_log2_vs_panel,specificity_log2_vs_panel_competitor_mean,in_subclass_name
AId,001 CLA-EPd-CTX Car3 Glut,Adarb2,5779,3.7696,54.02,False,False,-9.531,13.3006,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Adcyap1,5779,0.2402,3.91,False,False,-4.2803,4.5205,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Adora2a,5779,0.0147,0.26,False,False,-0.3431,0.3578,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Amigo2,5779,0.4066,7.04,False,False,-1.9821,2.3887,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Avp,5779,0.0202,0.36,False,False,-0.9777,0.9979,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Avpr1b,5779,0.0,0.0,False,False,-0.0098,0.0098,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Baiap3,5779,0.0646,1.14,False,False,-2.6219,2.6865,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Barhl2,5779,0.004,0.07,False,False,-0.9522,0.9562,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Batf3,5779,0.2665,4.5,False,False,-0.6166,0.8831,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Bcl11b,5779,2.7914,43.07,False,False,-6.1269,8.9183,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Bnc2,5779,0.0121,0.21,False,False,-0.1493,0.1614,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Bsx,5779,0.0009,0.02,False,False,-0.0056,0.0065,,,False
AId,001 CLA-EPd-CTX Car3 Glut,C1ql2,5779,0.0054,0.1,False,False,-0.141,0.1464,,,False
AId,001 CLA-EPd-CTX Car3 Glut,C1ql4,5779,0.002,0.03,False,False,-0.0955,0.0975,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Cacng5,5779,1.9476,31.84,False,False,-2.7795,4.7271,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Calb1,5779,3.2334,50.58,False,False,-4.7366,7.97,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Calb2,5779,0.0841,1.44,False,False,-4.9408,5.0249,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Car3,5779,3.8227,58.57,False,False,2.8379,0.9848,,,True
AId,001 CLA-EPd-CTX Car3 Glut,Cartpt,5779,0.8718,13.88,False,False,-3.6001,4.4719,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Ccdc42,5779,0.0833,1.47,False,False,-0.043,0.1263,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Cck,5779,10.4006,99.97,False,False,-1.093,11.4936,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Ccn2,5779,0.3123,5.28,False,False,-7.8324,8.1447,,,False
AId,001 CLA-EPd-CTX Car3 Glut,Cd36,5779,0.0041,0.07,False,False,-0.4782,0.4823,,,False
