region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_nonneuronal,is_anchor_subclass,specificity_log2_vs_neuronal,specificity_log2_vs_neuronal_competitor_mean,specificity_log2_vs_panel,specificity_log2_vs_panel_competitor_mean,in_subclass_name,cell_type_label,role,n_anchors_passing,uniqueness,rank_key,rank_within_subclass,roi_clean,contaminating_subclass_in_roi
AId,006 L4/5 IT CTX Glut,Rorb,12177,8.6338,96.63,False,True,2.3382,6.2956,3.0602,5.5736,False,Upper-layer IT excitatory,target,1,UNIQUE_to_subclass,23.060200000000002,1,True,
AId,006 L4/5 IT CTX Glut,Coch,12177,2.564,44.17,False,True,-0.4663,3.0303,1.2409,1.3231,False,Upper-layer IT excitatory,target,1,UNIQUE_to_subclass,21.2409,2,False,"001 CLA-EPd-CTX Car3 Glut in same dissection is higher (3.03, 49%)"
AId,006 L4/5 IT CTX Glut,Cnih3,12177,7.7023,95.89,False,True,0.032,7.6703,0.9218,6.7805,False,Upper-layer IT excitatory,target,1,UNIQUE_to_subclass,20.9218,3,False,
AId,006 L4/5 IT CTX Glut,Deptor,12177,3.4882,55.41,False,True,0.2621,3.2261,0.7236,2.7646,False,Upper-layer IT excitatory,target,1,UNIQUE_to_subclass,20.7236,4,False,
AId,006 L4/5 IT CTX Glut,Slc30a3,12177,7.0429,94.32,False,True,0.5507,6.4922,0.5507,6.4922,False,Upper-layer IT excitatory,target,1,UNIQUE_to_subclass,20.5507,5,True,
AId,007 L2/3 IT CTX Glut,Otof,7697,3.6751,60.02,False,True,2.5587,1.1164,3.3791,0.296,False,Upper-layer IT excitatory,target,1,UNIQUE_to_subclass,23.3791,1,True,
AId,007 L2/3 IT CTX Glut,Wfs1,7697,6.5698,88.37,False,True,2.5876,3.9822,3.0506,3.5192,False,Upper-layer IT excitatory,target,1,UNIQUE_to_subclass,23.0506,2,True,
AId,007 L2/3 IT CTX Glut,Cux2,7697,7.0506,93.23,False,True,0.1174,6.9332,1.805,5.2456,False,Upper-layer IT excitatory,target,1,UNIQUE_to_subclass,21.805,3,False,
AId,007 L2/3 IT CTX Glut,Gpr88,7697,4.7695,73.86,False,True,0.326,4.4435,1.7707,2.9988,False,Upper-layer IT excitatory,target,1,UNIQUE_to_subclass,21.7707,4,False,
AId,007 L2/3 IT CTX Glut,Matn2,7697,4.2245,65.61,False,True,-0.5978,4.8223,1.7128,2.5117,False,Upper-layer IT excitatory,target,1,UNIQUE_to_subclass,21.7128,5,False,"002 IT EP-CLA Glut in same dissection is higher (4.82, 74%)"
