region_user,cell_type_label,allen_subclass_anchor,role,n_cells,UNIQUE_separator_genes,BEST_separators_also_clean_in_whole_ROI,roi_contamination_warning,how_to_separate_from_siblings,needs_marker_combination,marker_combination_recipe,allen_name_embedded_markers_verified,shared_marker_genes,discriminating_markers_ranked,discriminating_markers_with_stats,GPCRs_enriched_in_this_subclass,cell_type_specific_GPCRs,intermediate_GPCRs,universal_GPCRs,n_unique_separators,n_specific_GPCRs,n_universal_GPCRs
CP,D1/direct-pathway SPN,061 STR D1 Gaba,target,16660,"Ebf1, Pdyn, Wfs1, Reln, Lamp5, Oprk1, Crym","Ebf1, Pdyn, Reln, Lamp5","Wfs1: 064 STR-PAL Chst9 Gaba in same dissection is higher (5.39, 74%); Oprk1: 002 IT EP-CLA Glut in same dissection is higher (3.70, 59%); Crym: 030 L6 CT CTX Glut in same dissection is higher (6.64, 98%)","vs 062 STR D2 Gaba: Drd1, Ebf1, Pdyn",NO,,,,"Ebf1, Pdyn, Wfs1, Reln, Lamp5, Oprk1, Crym","Ebf1 (panel_spec=7.00, 95% of cells, UNIQUE_to_subclass); Pdyn (panel_spec=3.93, 73% of cells, UNIQUE_to_subclass); Wfs1 (panel_spec=1.57, 68% of cells, UNIQUE_to_subclass); Reln (panel_spec=1.26, 98% of cells, UNIQUE_to_subclass); Lamp5 (panel_spec=1.04, 83% of cells, UNIQUE_to_subclass); Oprk1 (panel_spec=0.92, 48% of cells, UNIQUE_to_subclass); Crym (panel_spec=0.72, 41% of cells, UNIQUE_to_subclass)","Oprk1 (panel_spec=0.92, 48%)",,"Oprk1, Drd1, Htr1b, Npy1r, Htr2a","Grm5, Gpr88, Grm1, Gabbr1, Cnr1, Htr2c, Gabbr2, Htr1f, Oprm1",7,0,9
CP,D1/direct-pathway SPN,063 STR D1 Sema5a Gaba,target,780,"Spon1, Adarb2, Tshz1, Cacng5, Sema5b, Otof, Nxph4, Deptor, Col27a1, Foxp2, Slc22a3, Necab1","Sema5b, Otof, Nxph4, Deptor, Slc22a3, Necab1","Spon1: 042 OB-out Frmd7 Gaba in same dissection is higher (9.96, 97%); Tshz1: 064 STR-PAL Chst9 Gaba in same dissection is higher (9.73, 100%); Cacng5: 042 OB-out Frmd7 Gaba in same dissection is higher (6.62, 77%); Col27a1: 064 STR-PAL Chst9 Gaba in same dissection is higher (3.23, 50%); Foxp2: 064 STR-PAL Chst9 Gaba in same dissection is higher (11.54, 100%)",,NO,,,,"Spon1, Adarb2, Tshz1, Cacng5, Sema5b, Otof, Nxph4, Deptor, Col27a1, Foxp2, Slc22a3, Necab1","Spon1 (panel_spec=6.31, 96% of cells, UNIQUE_to_subclass); Adarb2 (panel_spec=5.94, 100% of cells, UNIQUE_to_subclass); Tshz1 (panel_spec=5.19, 100% of cells, UNIQUE_to_subclass); Cacng5 (panel_spec=4.75, 87% of cells, UNIQUE_to_subclass); Sema5b (panel_spec=4.29, 99% of cells, UNIQUE_to_subclass); Otof (panel_spec=3.40, 94% of cells, UNIQUE_to_subclass); Nxph4 (panel_spec=3.06, 51% of cells, UNIQUE_to_subclass); Deptor (panel_spec=2.90, 91% of cells, UNIQUE_to_subclass); Col27a1 (panel_spec=2.83, 51% of cells, UNIQUE_to_subclass); Foxp2 (panel_spec=2.47, 100% of cells, UNIQUE_to_subclass); Slc22a3 (panel_spec=2.15, 64% of cells, UNIQUE_to_subclass); Necab1 (panel_spec=1.63, 99% of cells, UNIQUE_to_subclass)",,,"Drd1, Npy1r, Crhr1, Oprk1, Htr2a, Htr1b, Tacr1, Drd2","Gpr88, Grm5, Gabbr1, Cnr1, Gabbr2, Grm1, Oprm1, Htr2c, Htr1f",12,0,9
CP,D2/indirect-pathway SPN,062 STR D2 Gaba,target,18139,"Adora2a, Gpr6, Penk, Gpr52, Nts, Pou3f1","Adora2a, Gpr6, Penk, Gpr52, Nts, Pou3f1",,"vs 061 STR D1 Gaba: Drd2, Adora2a, Gpr6",NO,,,,"Adora2a, Gpr6, Penk, Gpr52, Nts, Pou3f1","Adora2a (panel_spec=7.84, 99% of cells, UNIQUE_to_subclass); Gpr6 (panel_spec=5.74, 93% of cells, UNIQUE_to_subclass); Penk (panel_spec=3.92, 99% of cells, UNIQUE_to_subclass); Gpr52 (panel_spec=2.26, 50% of cells, UNIQUE_to_subclass); Nts (panel_spec=1.51, 27% of cells, UNIQUE_to_subclass); Pou3f1 (panel_spec=0.68, 92% of cells, UNIQUE_to_subclass)","Adora2a (panel_spec=7.84, 99%), Gpr6 (panel_spec=5.74, 93%), Gpr52 (panel_spec=2.26, 50%)","Gpr6, Gpr52","Adora2a, Drd2, Htr1b, Oprk1, Oprd1, Htr2a","Grm5, Gpr88, Grm1, Gabbr1, Htr2c, Cnr1, Gabbr2, Htr1f, Oprm1",6,2,9
CP,Patch/striosome SPN,061 STR D1 Gaba,target,16660,"Ebf1, Pdyn, Wfs1, Reln, Lamp5, Oprk1, Crym","Ebf1, Pdyn, Reln, Lamp5","Wfs1: 064 STR-PAL Chst9 Gaba in same dissection is higher (5.39, 74%); Oprk1: 002 IT EP-CLA Glut in same dissection is higher (3.70, 59%); Crym: 030 L6 CT CTX Glut in same dissection is higher (6.64, 98%)","vs 062 STR D2 Gaba: Drd1, Ebf1, Pdyn",NO,,,,"Ebf1, Pdyn, Wfs1, Reln, Lamp5, Oprk1, Crym","Ebf1 (panel_spec=7.00, 95% of cells, UNIQUE_to_subclass); Pdyn (panel_spec=3.93, 73% of cells, UNIQUE_to_subclass); Wfs1 (panel_spec=1.57, 68% of cells, UNIQUE_to_subclass); Reln (panel_spec=1.26, 98% of cells, UNIQUE_to_subclass); Lamp5 (panel_spec=1.04, 83% of cells, UNIQUE_to_subclass); Oprk1 (panel_spec=0.92, 48% of cells, UNIQUE_to_subclass); Crym (panel_spec=0.72, 41% of cells, UNIQUE_to_subclass)","Oprk1 (panel_spec=0.92, 48%)",,"Oprk1, Drd1, Htr1b, Npy1r, Htr2a","Grm5, Gpr88, Grm1, Gabbr1, Cnr1, Htr2c, Gabbr2, Htr1f, Oprm1",7,0,9
CP,Patch/striosome SPN,063 STR D1 Sema5a Gaba,target,780,"Spon1, Adarb2, Tshz1, Cacng5, Sema5b, Otof, Nxph4, Deptor, Col27a1, Foxp2, Slc22a3, Necab1","Sema5b, Otof, Nxph4, Deptor, Slc22a3, Necab1","Spon1: 042 OB-out Frmd7 Gaba in same dissection is higher (9.96, 97%); Tshz1: 064 STR-PAL Chst9 Gaba in same dissection is higher (9.73, 100%); Cacng5: 042 OB-out Frmd7 Gaba in same dissection is higher (6.62, 77%); Col27a1: 064 STR-PAL Chst9 Gaba in same dissection is higher (3.23, 50%); Foxp2: 064 STR-PAL Chst9 Gaba in same dissection is higher (11.54, 100%)",,NO,,,,"Spon1, Adarb2, Tshz1, Cacng5, Sema5b, Otof, Nxph4, Deptor, Col27a1, Foxp2, Slc22a3, Necab1","Spon1 (panel_spec=6.31, 96% of cells, UNIQUE_to_subclass); Adarb2 (panel_spec=5.94, 100% of cells, UNIQUE_to_subclass); Tshz1 (panel_spec=5.19, 100% of cells, UNIQUE_to_subclass); Cacng5 (panel_spec=4.75, 87% of cells, UNIQUE_to_subclass); Sema5b (panel_spec=4.29, 99% of cells, UNIQUE_to_subclass); Otof (panel_spec=3.40, 94% of cells, UNIQUE_to_subclass); Nxph4 (panel_spec=3.06, 51% of cells, UNIQUE_to_subclass); Deptor (panel_spec=2.90, 91% of cells, UNIQUE_to_subclass); Col27a1 (panel_spec=2.83, 51% of cells, UNIQUE_to_subclass); Foxp2 (panel_spec=2.47, 100% of cells, UNIQUE_to_subclass); Slc22a3 (panel_spec=2.15, 64% of cells, UNIQUE_to_subclass); Necab1 (panel_spec=1.63, 99% of cells, UNIQUE_to_subclass)",,,"Drd1, Npy1r, Crhr1, Oprk1, Htr2a, Htr1b, Tacr1, Drd2","Gpr88, Grm5, Gabbr1, Cnr1, Gabbr2, Grm1, Oprm1, Htr2c, Htr1f",12,0,9
CP,Matrix/exopatch SPN,061 STR D1 Gaba,target,16660,"Ebf1, Pdyn, Wfs1, Reln, Lamp5, Oprk1, Crym","Ebf1, Pdyn, Reln, Lamp5","Wfs1: 064 STR-PAL Chst9 Gaba in same dissection is higher (5.39, 74%); Oprk1: 002 IT EP-CLA Glut in same dissection is higher (3.70, 59%); Crym: 030 L6 CT CTX Glut in same dissection is higher (6.64, 98%)","vs 062 STR D2 Gaba: Drd1, Ebf1, Pdyn",NO,,,,"Ebf1, Pdyn, Wfs1, Reln, Lamp5, Oprk1, Crym","Ebf1 (panel_spec=7.00, 95% of cells, UNIQUE_to_subclass); Pdyn (panel_spec=3.93, 73% of cells, UNIQUE_to_subclass); Wfs1 (panel_spec=1.57, 68% of cells, UNIQUE_to_subclass); Reln (panel_spec=1.26, 98% of cells, UNIQUE_to_subclass); Lamp5 (panel_spec=1.04, 83% of cells, UNIQUE_to_subclass); Oprk1 (panel_spec=0.92, 48% of cells, UNIQUE_to_subclass); Crym (panel_spec=0.72, 41% of cells, UNIQUE_to_subclass)","Oprk1 (panel_spec=0.92, 48%)",,"Oprk1, Drd1, Htr1b, Npy1r, Htr2a","Grm5, Gpr88, Grm1, Gabbr1, Cnr1, Htr2c, Gabbr2, Htr1f, Oprm1",7,0,9
CP,Matrix/exopatch SPN,062 STR D2 Gaba,target,18139,"Adora2a, Gpr6, Penk, Gpr52, Nts, Pou3f1","Adora2a, Gpr6, Penk, Gpr52, Nts, Pou3f1",,"vs 061 STR D1 Gaba: Drd2, Adora2a, Gpr6",NO,,,,"Adora2a, Gpr6, Penk, Gpr52, Nts, Pou3f1","Adora2a (panel_spec=7.84, 99% of cells, UNIQUE_to_subclass); Gpr6 (panel_spec=5.74, 93% of cells, UNIQUE_to_subclass); Penk (panel_spec=3.92, 99% of cells, UNIQUE_to_subclass); Gpr52 (panel_spec=2.26, 50% of cells, UNIQUE_to_subclass); Nts (panel_spec=1.51, 27% of cells, UNIQUE_to_subclass); Pou3f1 (panel_spec=0.68, 92% of cells, UNIQUE_to_subclass)","Adora2a (panel_spec=7.84, 99%), Gpr6 (panel_spec=5.74, 93%), Gpr52 (panel_spec=2.26, 50%)","Gpr6, Gpr52","Adora2a, Drd2, Htr1b, Oprk1, Oprd1, Htr2a","Grm5, Gpr88, Grm1, Gabbr1, Htr2c, Cnr1, Gabbr2, Htr1f, Oprm1",6,2,9
CP,Cholinergic interneuron,058 PAL-STR Gaba-Chol,target,30,"Slc5a7, Slc17a8, Zic1, Chat, Slc18a3, Ndnf, Ntrk1, Lhx8, Whrn, Npnt, Isl1, Amigo2","Slc5a7, Slc17a8, Zic1, Chat, Slc18a3, Ndnf, Ntrk1, Lhx8, Whrn, Npnt, Isl1, Amigo2",,,NO,,,,"Slc5a7, Slc17a8, Zic1, Chat, Slc18a3, Ndnf, Ntrk1, Lhx8, Whrn, Npnt, Isl1, Amigo2","Slc5a7 (panel_spec=11.46, 100% of cells, UNIQUE_to_subclass); Slc17a8 (panel_spec=9.11, 100% of cells, UNIQUE_to_subclass); Zic1 (panel_spec=9.03, 100% of cells, UNIQUE_to_subclass); Chat (panel_spec=8.57, 100% of cells, UNIQUE_to_subclass); Slc18a3 (panel_spec=7.83, 100% of cells, UNIQUE_to_subclass); Ndnf (panel_spec=7.43, 93% of cells, UNIQUE_to_subclass); Ntrk1 (panel_spec=6.58, 97% of cells, UNIQUE_to_subclass); Lhx8 (panel_spec=5.82, 97% of cells, UNIQUE_to_subclass); Whrn (panel_spec=5.61, 100% of cells, UNIQUE_to_subclass); Npnt (panel_spec=5.06, 87% of cells, UNIQUE_to_subclass); Isl1 (panel_spec=3.81, 100% of cells, UNIQUE_to_subclass); Amigo2 (panel_spec=3.70, 83% of cells, UNIQUE_to_subclass)","Tacr3 (panel_spec=6.80, 93%), Hcrtr2 (panel_spec=4.01, 77%), Oprm1 (panel_spec=2.88, 100%), Oprd1 (panel_spec=2.02, 97%), Crhr1 (panel_spec=1.12, 67%), Gabbr1 (panel_spec=0.59, 100%)","Tacr3, Hcrtr2","Oprd1, Crhr1, Chrm2, Npy1r, Drd2, Htr1a, Tacr1, Adcyap1r1, Adora2a","Gabbr1, Oprm1, Gabbr2, Grm5, Htr2c, Grm1, Gpr88, Cnr1, Htr1f",12,2,9
CP,PV/SST/NPY interneurons,054 STR Prox1 Lhx6 Gaba,target,367,"Prox1, Nfib, Pvalb, Maf, Etv1, Cux2, Tcf4, Moxd1, Nxph1, Gad1, Pcdh8, Cnr1","Prox1, Pvalb, Maf, Moxd1, Gad1, Pcdh8, Cnr1","Nfib: 045 OB-STR-CTX Inh IMN in same dissection is higher (11.42, 100%); Cux2: 014 LA-BLA-BMA-PA Glut in same dissection is higher (6.59, 92%); Nxph1: 042 OB-out Frmd7 Gaba in same dissection is higher (12.26, 100%)","vs 056 Sst Chodl Gaba: Pvalb, Pcdh8, Sema5b",NO,,Prox1,,"Prox1, Nfib, Pvalb, Maf, Etv1, Cux2, Tcf4, Moxd1, Nxph1, Gad1, Pcdh8, Cnr1","Prox1 (panel_spec=4.53, 95% of cells, UNIQUE_to_subclass); Nfib (panel_spec=7.43, 100% of cells, UNIQUE_to_subclass); Pvalb (panel_spec=5.96, 75% of cells, UNIQUE_to_subclass); Maf (panel_spec=5.74, 99% of cells, UNIQUE_to_subclass); Etv1 (panel_spec=5.68, 100% of cells, UNIQUE_to_subclass); Cux2 (panel_spec=3.07, 89% of cells, UNIQUE_to_subclass); Tcf4 (panel_spec=2.50, 100% of cells, UNIQUE_to_subclass); Moxd1 (panel_spec=2.48, 95% of cells, UNIQUE_to_subclass); Nxph1 (panel_spec=2.41, 100% of cells, UNIQUE_to_subclass); Gad1 (panel_spec=2.25, 100% of cells, UNIQUE_to_subclass); Pcdh8 (panel_spec=1.95, 85% of cells, UNIQUE_to_subclass); Cnr1 (panel_spec=1.92, 99% of cells, UNIQUE_to_subclass)","Htr2a (panel_spec=2.11, 79%), Cnr1 (panel_spec=1.92, 99%), Mc4r (panel_spec=1.80, 42%), Adcyap1r1 (panel_spec=0.86, 86%)",Mc4r,"Htr2a, Adcyap1r1, Chrm2","Grm5, Cnr1, Grm1, Gabbr1, Gabbr2, Htr1f, Gpr88, Htr2c",12,1,8
CP,PV/SST/NPY interneurons,056 Sst Chodl Gaba,target,230,"Sst, Chodl, Npy, Nos1, Zfp804b, Baiap3, Nnat, Ptpru, Sox1, Lhx6, Sox6, Mpped1","Sst, Chodl, Npy, Nos1, Zfp804b, Baiap3, Nnat, Sox1, Lhx6, Sox6","Ptpru: 002 IT EP-CLA Glut in same dissection is higher (7.05, 100%); Mpped1: 030 L6 CT CTX Glut in same dissection is higher (8.56, 100%)","vs 054 STR Prox1 Lhx6 Gaba: Sst, Nos1, Npy",NO,,"Sst, Chodl",,"Sst, Chodl, Npy, Nos1, Zfp804b, Baiap3, Nnat, Ptpru, Sox1, Lhx6, Sox6, Mpped1","Sst (panel_spec=11.53, 100% of cells, UNIQUE_to_subclass); Chodl (panel_spec=5.75, 81% of cells, UNIQUE_to_subclass); Npy (panel_spec=11.03, 100% of cells, UNIQUE_to_subclass); Nos1 (panel_spec=9.51, 100% of cells, UNIQUE_to_subclass); Zfp804b (panel_spec=9.35, 99% of cells, UNIQUE_to_subclass); Baiap3 (panel_spec=5.12, 80% of cells, UNIQUE_to_subclass); Nnat (panel_spec=5.09, 100% of cells, UNIQUE_to_subclass); Ptpru (panel_spec=4.23, 89% of cells, UNIQUE_to_subclass); Sox1 (panel_spec=3.75, 100% of cells, UNIQUE_to_subclass); Lhx6 (panel_spec=2.91, 100% of cells, UNIQUE_to_subclass); Sox6 (panel_spec=2.46, 100% of cells, UNIQUE_to_subclass); Mpped1 (panel_spec=1.71, 95% of cells, UNIQUE_to_subclass)","Npy2r (panel_spec=6.82, 96%), Galr1 (panel_spec=6.70, 87%), Ntsr1 (panel_spec=0.93, 21%), Tacr1 (panel_spec=0.52, 100%)","Npy2r, Galr1, Ntsr1","Tacr1, Htr1a, Chrm2, Adcyap1r1, Drd1, Drd2","Gabbr1, Gabbr2, Grm5, Htr2c, Cnr1, Grm1, Gpr88, Oprm1, Htr1f",12,3,9
