region_user,subclass_A_positive,subclass_B_negative,same_cell_type_label,separator_gene,mean_log2_A,mean_log2_B,pct_A,pct_B,log2_gap
AId,006 L4/5 IT CTX Glut,007 L2/3 IT CTX Glut,True,Cyp26b1,2.964,0.172,45.4,3.3,2.792
AId,006 L4/5 IT CTX Glut,007 L2/3 IT CTX Glut,True,Deptor,3.488,0.706,55.4,13.7,2.782
AId,006 L4/5 IT CTX Glut,007 L2/3 IT CTX Glut,True,Whrn,2.368,0.135,38.6,2.7,2.232
AId,006 L4/5 IT CTX Glut,007 L2/3 IT CTX Glut,True,Fezf2,2.025,0.081,35.2,1.6,1.944
AId,006 L4/5 IT CTX Glut,007 L2/3 IT CTX Glut,True,Slc17a6,1.845,0.521,30.6,9.6,1.324
AId,006 L4/5 IT CTX Glut,022 L5 ET CTX Glut,False,Slc30a3,7.043,0.621,94.3,12.3,6.422
AId,006 L4/5 IT CTX Glut,022 L5 ET CTX Glut,False,Cux2,4.188,0.369,61.2,7.5,3.82
AId,006 L4/5 IT CTX Glut,022 L5 ET CTX Glut,False,Gpr88,2.999,0.124,46.7,2.6,2.875
AId,006 L4/5 IT CTX Glut,022 L5 ET CTX Glut,False,Cyp26b1,2.964,0.211,45.4,4.2,2.753
AId,006 L4/5 IT CTX Glut,022 L5 ET CTX Glut,False,Whrn,2.368,0.174,38.6,3.5,2.193
AId,006 L4/5 IT CTX Glut,022 L5 ET CTX Glut,False,Slc17a6,1.845,0.427,30.6,8.0,1.417
AId,006 L4/5 IT CTX Glut,029 L6b CTX Glut,False,Rorb,8.634,0.476,96.6,8.2,8.158
AId,006 L4/5 IT CTX Glut,029 L6b CTX Glut,False,Slc30a3,7.043,0.241,94.3,4.6,6.802
AId,006 L4/5 IT CTX Glut,029 L6b CTX Glut,False,Lamp5,4.951,0.345,72.0,6.4,4.606
AId,006 L4/5 IT CTX Glut,029 L6b CTX Glut,False,Cux2,4.188,0.297,61.2,5.7,3.891
AId,006 L4/5 IT CTX Glut,029 L6b CTX Glut,False,Adcyap1,4.029,0.263,62.2,4.8,3.766
AId,006 L4/5 IT CTX Glut,029 L6b CTX Glut,False,Tshz1,4.11,0.757,65.6,13.9,3.353
AId,006 L4/5 IT CTX Glut,029 L6b CTX Glut,False,Calb1,3.442,0.529,51.2,9.6,2.914
AId,006 L4/5 IT CTX Glut,029 L6b CTX Glut,False,Vat1l,3.612,0.752,60.2,13.9,2.861
AId,006 L4/5 IT CTX Glut,029 L6b CTX Glut,False,Cyp26b1,2.964,0.152,45.4,2.7,2.812
AId,006 L4/5 IT CTX Glut,029 L6b CTX Glut,False,Coch,2.564,0.457,44.2,8.9,2.107
AId,006 L4/5 IT CTX Glut,029 L6b CTX Glut,False,Whrn,2.368,0.524,38.6,9.6,1.844
AId,006 L4/5 IT CTX Glut,029 L6b CTX Glut,False,Slc17a6,1.845,0.427,30.6,7.7,1.418
AId,006 L4/5 IT CTX Glut,030 L6 CT CTX Glut,False,Slc30a3,7.043,0.346,94.3,6.0,6.697
AId,006 L4/5 IT CTX Glut,030 L6 CT CTX Glut,False,Adcyap1,4.029,0.099,62.2,1.7,3.931
AId,006 L4/5 IT CTX Glut,030 L6 CT CTX Glut,False,Cux2,4.188,0.281,61.2,5.0,3.908
AId,006 L4/5 IT CTX Glut,030 L6 CT CTX Glut,False,Tshz1,4.11,0.703,65.6,12.8,3.406
AId,006 L4/5 IT CTX Glut,030 L6 CT CTX Glut,False,Vat1l,3.612,0.414,60.2,7.4,3.198
AId,006 L4/5 IT CTX Glut,030 L6 CT CTX Glut,False,Calb1,3.442,0.5,51.2,9.0,2.942
