region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_nonneuronal,is_anchor_subclass,specificity_log2_vs_neuronal,specificity_log2_vs_neuronal_competitor_mean,specificity_log2_vs_panel,specificity_log2_vs_panel_competitor_mean,in_subclass_name
BMAp,009 L2/3 IT PIR-ENTl Glut,Ackr3,38,0.9986,18.42,False,False,-1.4436,2.4422,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Adarb2,38,9.4608,97.37,False,False,-3.875,13.3358,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Adcyap1,38,0.6487,13.16,False,False,-5.5734,6.2221,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Adora2a,38,0.0,0.0,False,False,-7.5469,7.5469,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Aqp4,38,0.1128,2.63,False,False,-0.5095,0.6223,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Arc,38,2.7357,44.74,False,False,-1.6071,4.3428,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Atf3,38,0.1183,2.63,False,False,-0.2797,0.398,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Avp,38,0.0,0.0,False,False,-12.1071,12.1071,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Baiap3,38,0.5737,10.53,False,False,-7.3301,7.9038,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Barhl2,38,0.0,0.0,False,False,-3.9528,3.9528,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Batf3,38,0.1183,2.63,False,False,-0.6564,0.7747,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Bcl11b,38,8.2237,100.0,False,False,-1.0958,9.3195,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Bdnf,38,0.4603,7.89,False,False,-8.4904,8.9507,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Bhlhe22,38,0.4636,7.89,False,False,-6.4531,6.9167,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Bnc2,38,0.0,0.0,False,False,-3.6685,3.6685,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Btg2,38,2.388,39.47,False,False,-2.804,5.192,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,C1ql1,38,0.1131,2.63,False,False,-7.4814,7.5945,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,C1ql2,38,0.0,0.0,False,False,-5.33,5.33,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Calb1,38,0.3017,5.26,False,False,-9.8797,10.1814,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Calb2,38,0.2451,5.26,False,False,-7.0275,7.2726,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Calcr,38,0.0,0.0,False,False,-2.917,2.917,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Camk2a,38,9.3846,100.0,False,False,-0.7161,10.1007,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Camk2b,38,8.3,100.0,False,False,-0.8312,9.1312,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Car3,38,0.1374,2.63,False,False,0.0474,0.09,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cartpt,38,0.1452,2.63,False,False,-6.2563,6.4015,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cbln1,38,0.5364,10.53,False,False,-6.9797,7.5161,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cbln2,38,0.0,0.0,False,False,-9.7416,9.7416,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ccdc42,38,0.1354,2.63,False,False,-2.5929,2.7283,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cck,38,5.3606,81.58,False,False,-4.2938,9.6544,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ccn2,38,0.0,0.0,False,False,-0.4153,0.4153,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cd36,38,0.0,0.0,False,False,-3.4311,3.4311,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cd44,38,0.0,0.0,False,False,-3.8481,3.8481,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cdh13,38,0.6563,13.16,False,False,-9.7856,10.4419,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cdh23,38,0.1476,2.63,False,False,-2.3688,2.5164,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cdk5,38,2.7721,50.0,False,False,-2.113,4.8851,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Chat,38,0.0,0.0,False,False,-7.3631,7.3631,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Chodl,38,0.0,0.0,False,False,-3.4738,3.4738,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Chrna2,38,0.0,0.0,False,False,-1.2336,1.2336,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Chrna6,38,0.0,0.0,False,False,-0.1877,0.1877,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Chst9,38,0.249,5.26,False,False,-7.9731,8.2221,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cldn5,38,0.0,0.0,False,False,-0.1165,0.1165,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cnih3,38,0.8451,15.79,False,False,-7.0733,7.9184,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Coch,38,0.8199,15.79,False,False,-2.1867,3.0066,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cplx1,38,5.5742,78.95,False,False,-3.6901,9.2643,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cplx3,38,0.0,0.0,False,False,-6.9782,6.9782,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Crem,38,3.3772,57.89,False,False,-0.3169,3.6941,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Crh,38,0.0,0.0,False,False,-4.1781,4.1781,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Crym,38,1.1913,21.05,False,False,-5.8235,7.0148,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cux1,38,7.1192,94.74,False,False,-0.467,7.5862,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cux2,38,3.2216,52.63,False,False,-2.8462,6.0678,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cx3cr1,38,0.6549,13.16,False,False,-0.6241,1.279,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Cyp26b1,38,1.0893,21.05,False,False,-7.0512,8.1405,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Dbh,38,0.0,0.0,False,False,-0.251,0.251,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Dcn,38,0.0,0.0,False,False,-2.7384,2.7384,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ddc,38,0.0,0.0,False,False,-4.293,4.293,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Deptor,38,9.0967,100.0,False,False,2.5378,6.5589,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Dlg4,38,7.3418,100.0,False,False,-0.5613,7.9031,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Dlx1,38,0.1566,2.63,False,False,-7.0468,7.2034,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Dlx2,38,0.2811,5.26,False,False,-4.0035,4.2846,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Dlx5,38,0.2655,5.26,False,False,-2.546,2.8115,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Dlx6,38,0.1694,2.63,False,False,-5.4495,5.6189,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Drd1,38,0.8483,15.79,False,False,-6.8201,7.6684,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Drd2,38,0.0,0.0,False,False,-7.4882,7.4882,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Dusp1,38,2.1661,39.47,False,False,-0.7981,2.9642,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ebf1,38,0.1569,2.63,False,False,-6.7612,6.9181,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Egr1,38,7.7782,100.0,False,False,-0.0588,7.837,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Egr2,38,0.6109,10.53,False,False,-2.9589,3.5698,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Egr3,38,3.444,55.26,False,False,-4.844,8.288,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Egr4,38,1.0373,18.42,False,False,-3.807,4.8443,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Emx1,38,2.3444,42.11,False,False,-1.1505,3.4949,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Eomes,38,0.0,0.0,False,False,-2.4225,2.4225,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Esr1,38,0.1632,2.63,False,False,-6.8361,6.9993,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Esr2,38,0.0,0.0,False,False,-6.1403,6.1403,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Etv1,38,7.0089,94.74,False,False,-2.3041,9.313,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Fezf1,38,0.0,0.0,False,False,-4.4867,4.4867,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Fezf2,38,0.0,0.0,False,False,-4.1412,4.1412,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Flt1,38,0.1412,2.63,False,False,-0.0807,0.2219,,,False
