region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_nonneuronal,is_anchor_subclass,specificity_log2_vs_neuronal,specificity_log2_vs_neuronal_competitor_mean,specificity_log2_vs_panel,specificity_log2_vs_panel_competitor_mean,in_subclass_name,cell_type_label,role,n_anchors_passing,uniqueness,rank_key,rank_within_subclass,roi_clean,contaminating_subclass_in_roi
BMAp,012 MEA Slc17a7 Glut,Slc17a7,3984,8.2058,93.52,False,True,-1.213,9.4188,6.5455,1.6603,True,Posterior BMA glutamatergic / pallial amygdala VGLUT1,target,1,UNIQUE_to_subclass,126.5455,1,False,"009 L2/3 IT PIR-ENTl Glut in same dissection is higher (9.42, 100%)"
BMAp,012 MEA Slc17a7 Glut,Nfib,3984,9.1572,92.92,False,True,-1.3119,10.4691,5.4204,3.7368,False,Posterior BMA glutamatergic / pallial amygdala VGLUT1,target,1,UNIQUE_to_subclass,25.4204,2,False,"037 DG Glut in same dissection is higher (10.47, 100%)"
BMAp,012 MEA Slc17a7 Glut,Neurod2,3984,5.9179,88.3,False,True,-1.5274,7.4453,5.0732,0.8447,False,Posterior BMA glutamatergic / pallial amygdala VGLUT1,target,1,UNIQUE_to_subclass,25.0732,3,False,"026 NLOT Rho Glut in same dissection is higher (7.45, 99%)"
BMAp,012 MEA Slc17a7 Glut,Bhlhe22,3984,6.5052,91.49,False,True,-0.4115,6.9167,4.9085,1.5967,False,Posterior BMA glutamatergic / pallial amygdala VGLUT1,target,1,UNIQUE_to_subclass,24.9085,4,False,"026 NLOT Rho Glut in same dissection is higher (6.92, 97%)"
BMAp,012 MEA Slc17a7 Glut,Nfix,3984,8.0987,97.06,False,True,-1.3016,9.4003,4.8816,3.2171,False,Posterior BMA glutamatergic / pallial amygdala VGLUT1,target,1,UNIQUE_to_subclass,24.8816,5,False,"049 Lamp5 Gaba in same dissection is higher (9.40, 100%)"
BMAp,012 MEA Slc17a7 Glut,Slc30a3,3984,5.3072,77.36,False,True,-1.8544,7.1616,4.8169,0.4903,False,Posterior BMA glutamatergic / pallial amygdala VGLUT1,target,1,UNIQUE_to_subclass,24.8169,6,False,"013 COAp Grxcr2 Glut in same dissection is higher (7.16, 100%)"
BMAp,012 MEA Slc17a7 Glut,Chst9,3984,6.7944,81.98,False,True,-1.4277,8.2221,4.1811,2.6133,False,Posterior BMA glutamatergic / pallial amygdala VGLUT1,target,1,UNIQUE_to_subclass,24.1811,7,False,"064 STR-PAL Chst9 Gaba in same dissection is higher (8.22, 92%)"
BMAp,012 MEA Slc17a7 Glut,Zeb2,3984,5.4894,73.59,False,True,-4.7489,10.2383,3.5829,1.9065,False,Posterior BMA glutamatergic / pallial amygdala VGLUT1,target,1,UNIQUE_to_subclass,23.5829,8,False,"050 Lamp5 Lhx6 Gaba in same dissection is higher (10.24, 100%)"
BMAp,012 MEA Slc17a7 Glut,Rorb,3984,4.2186,55.62,False,True,-3.4748,7.6934,3.3116,0.907,False,Posterior BMA glutamatergic / pallial amygdala VGLUT1,target,1,UNIQUE_to_subclass,23.3116,9,False,"013 COAp Grxcr2 Glut in same dissection is higher (7.69, 88%)"
BMAp,012 MEA Slc17a7 Glut,Lhx2,3984,5.1125,74.82,False,True,-0.7286,5.8411,3.1803,1.9322,False,Posterior BMA glutamatergic / pallial amygdala VGLUT1,target,1,UNIQUE_to_subclass,23.1803,10,False,"013 COAp Grxcr2 Glut in same dissection is higher (5.84, 87%)"
BMAp,012 MEA Slc17a7 Glut,Crym,3984,5.6575,81.78,False,True,-1.3573,7.0148,3.1778,2.4797,False,Posterior BMA glutamatergic / pallial amygdala VGLUT1,target,1,UNIQUE_to_subclass,23.1778,11,False,"037 DG Glut in same dissection is higher (7.01, 92%)"
BMAp,012 MEA Slc17a7 Glut,Cck,3984,5.781,79.04,False,True,-3.8734,9.6544,2.6475,3.1335,False,Posterior BMA glutamatergic / pallial amygdala VGLUT1,target,1,UNIQUE_to_subclass,22.6475,12,False,"047 Sncg Gaba in same dissection is higher (9.65, 99%)"
