region_user,cell_type_label,allen_subclass_anchor,role,n_cells,UNIQUE_separator_genes,BEST_separators_also_clean_in_whole_ROI,roi_contamination_warning,how_to_separate_from_siblings,needs_marker_combination,marker_combination_recipe,allen_name_embedded_markers_verified,shared_marker_genes,discriminating_markers_ranked,discriminating_markers_with_stats,GPCRs_enriched_in_this_subclass,cell_type_specific_GPCRs,intermediate_GPCRs,universal_GPCRs,n_unique_separators,n_specific_GPCRs,n_universal_GPCRs
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,012 MEA Slc17a7 Glut,target,3984,"Slc17a7, Nfib, Neurod2, Bhlhe22, Nfix, Slc30a3, Chst9, Zeb2, Rorb, Lhx2, Crym, Cck",,"Slc17a7: 009 L2/3 IT PIR-ENTl Glut in same dissection is higher (9.42, 100%); Nfib: 037 DG Glut in same dissection is higher (10.47, 100%); Neurod2: 026 NLOT Rho Glut in same dissection is higher (7.45, 99%); Bhlhe22: 026 NLOT Rho Glut in same dissection is higher (6.92, 97%); Nfix: 049 Lamp5 Gaba in same dissection is higher (9.40, 100%); Slc30a3: 013 COAp Grxcr2 Glut in same dissection is higher (7.16, 100%); Chst9: 064 STR-PAL Chst9 Gaba in same dissection is higher (8.22, 92%); Zeb2: 050 Lamp5 Lhx6 Gaba in same dissection is higher (10.24, 100%); Rorb: 013 COAp Grxcr2 Glut in same dissection is higher (7.69, 88%); Lhx2: 013 COAp Grxcr2 Glut in same dissection is higher (5.84, 87%); Crym: 037 DG Glut in same dissection is higher (7.01, 92%); Cck: 047 Sncg Gaba in same dissection is higher (9.65, 99%)","vs 113 MEA-COA-BMA Ccdc42 Glut: Nfib, Nfix, Slc17a7",NO,,Slc17a7,,"Slc17a7, Nfib, Neurod2, Bhlhe22, Nfix, Slc30a3, Chst9, Zeb2, Rorb, Lhx2, Crym, Cck","Slc17a7 (panel_spec=6.55, 94% of cells, UNIQUE_to_subclass); Nfib (panel_spec=5.42, 93% of cells, UNIQUE_to_subclass); Neurod2 (panel_spec=5.07, 88% of cells, UNIQUE_to_subclass); Bhlhe22 (panel_spec=4.91, 91% of cells, UNIQUE_to_subclass); Nfix (panel_spec=4.88, 97% of cells, UNIQUE_to_subclass); Slc30a3 (panel_spec=4.82, 77% of cells, UNIQUE_to_subclass); Chst9 (panel_spec=4.18, 82% of cells, UNIQUE_to_subclass); Zeb2 (panel_spec=3.58, 74% of cells, UNIQUE_to_subclass); Rorb (panel_spec=3.31, 56% of cells, UNIQUE_to_subclass); Lhx2 (panel_spec=3.18, 75% of cells, UNIQUE_to_subclass); Crym (panel_spec=3.18, 82% of cells, UNIQUE_to_subclass); Cck (panel_spec=2.65, 79% of cells, UNIQUE_to_subclass)","Npy2r (panel_spec=2.69, 76%), Oxtr (panel_spec=2.00, 58%), Tacr1 (panel_spec=1.37, 62%)","Oxtr, Ntsr1",Tacr1,"Grm5, Gabbr2, Gabbr1, Grm1, Npy2r, Htr2c, Cnr1, Gpr88, Oprm1, Npy1r, Cckbr, Gpr101, Adcyap1r1, Crhr1, Sstr2, Htr1f, Htr1a",12,2,17
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,113 MEA-COA-BMA Ccdc42 Glut,target,9654,"Ccdc42, Penk, Krt9, Bdnf, Nptx2, Oprd1, Mbp, Nrgn, Drd1, Zfp804b",Krt9,"Penk: 062 STR D2 Gaba in same dissection is higher (9.23, 96%); Bdnf: 013 COAp Grxcr2 Glut in same dissection is higher (8.95, 95%); Nptx2: 013 COAp Grxcr2 Glut in same dissection is higher (7.65, 95%); Oprd1: 051 Pvalb chandelier Gaba in same dissection is higher (5.54, 84%); Mbp: 037 DG Glut in same dissection is higher (6.69, 92%); Drd1: 061 STR D1 Gaba in same dissection is higher (7.67, 97%); Zfp804b: 051 Pvalb chandelier Gaba in same dissection is higher (11.59, 100%)","vs 012 MEA Slc17a7 Glut: Adcyap1, Prlr, Penk",NO,,Ccdc42,,"Ccdc42, Penk, Krt9, Bdnf, Nptx2, Oprd1, Mbp, Nrgn, Drd1, Zfp804b","Ccdc42 (panel_spec=1.87, 48% of cells, UNIQUE_to_subclass); Penk (panel_spec=2.31, 76% of cells, UNIQUE_to_subclass); Krt9 (panel_spec=1.57, 53% of cells, UNIQUE_to_subclass); Bdnf (panel_spec=1.17, 70% of cells, UNIQUE_to_subclass); Nptx2 (panel_spec=1.10, 32% of cells, UNIQUE_to_subclass); Oprd1 (panel_spec=0.85, 36% of cells, UNIQUE_to_subclass); Mbp (panel_spec=0.83, 90% of cells, UNIQUE_to_subclass); Nrgn (panel_spec=0.74, 100% of cells, UNIQUE_to_subclass); Drd1 (panel_spec=0.68, 52% of cells, UNIQUE_to_subclass); Zfp804b (panel_spec=0.56, 89% of cells, UNIQUE_to_subclass)","Oprd1 (panel_spec=0.85, 36%), Drd1 (panel_spec=0.68, 52%)",Galr1,"Oprd1, Drd1, Htr1b, Oprk1","Grm5, Gabbr2, Gabbr1, Grm1, Htr2c, Oprm1, Npy1r, Adcyap1r1, Gpr101, Cckbr, Sstr2, Crhr1, Htr1f, Npy2r",10,1,14
BMAp,BMA/MEA VGLUT2-like excitatory,120 MEA Otp Foxp2 Glut,target,1504,"Foxp2, Otp, Trh, Htr2c, Fezf1, Mc4r, Nos1, Esr2, Oprl1, Tshz2","Fezf1, Nos1","Foxp2: 063 STR D1 Sema5a Gaba in same dissection is higher (10.98, 99%); Otp: 131 LHA-AHN-PVH Otp Trh Glut in same dissection is higher (8.20, 98%); Htr2c: 078 SI-MA-ACB Ebf1 Bnc2 Gaba in same dissection is higher (9.58, 97%); Mc4r: 026 NLOT Rho Glut in same dissection is higher (3.36, 63%); Esr2: 077 CEA-BST Gal Avp Gaba in same dissection is higher (6.14, 87%); Oprl1: 131 LHA-AHN-PVH Otp Trh Glut in same dissection is higher (5.07, 85%); Tshz2: 084 BST-SI-AAA Six3 Slc22a3 Gaba in same dissection is higher (9.87, 100%)","vs 119 SI-MA-LPO-LHA Skor1 Glut: Foxp2, Otp, Trh; vs 121 MEA-BST Otp Zic2 Glut: Trh, Cck, Nxph4",NO,,"Foxp2, Otp",,"Foxp2, Otp, Trh, Htr2c, Fezf1, Mc4r, Nos1, Esr2, Oprl1, Tshz2","Foxp2 (panel_spec=3.50, 99% of cells, UNIQUE_to_subclass); Otp (panel_spec=0.69, 98% of cells, UNIQUE_to_subclass); Trh (panel_spec=2.64, 64% of cells, UNIQUE_to_subclass); Htr2c (panel_spec=1.68, 98% of cells, UNIQUE_to_subclass); Fezf1 (panel_spec=1.31, 72% of cells, UNIQUE_to_subclass); Mc4r (panel_spec=1.06, 38% of cells, UNIQUE_to_subclass); Nos1 (panel_spec=0.76, 100% of cells, UNIQUE_to_subclass); Esr2 (panel_spec=0.75, 36% of cells, UNIQUE_to_subclass); Oprl1 (panel_spec=0.57, 78% of cells, UNIQUE_to_subclass); Tshz2 (panel_spec=0.56, 99% of cells, UNIQUE_to_subclass)","Htr2a (panel_spec=2.06, 70%), Htr2c (panel_spec=1.68, 98%), Sstr2 (panel_spec=1.14, 62%), Mc4r (panel_spec=1.06, 38%)",Mc4r,"Htr2a, Oprd1, Tacr1, Drd1","Grm5, Htr2c, Gabbr1, Gabbr2, Oprm1, Grm1, Gpr88, Npy1r, Adcyap1r1, Chrm2, Sstr2, Crhr1, Cckbr, Npy2r, Htr1f, Htr1a",10,1,16
BMAp,BMA/MEA VGLUT2-like excitatory,121 MEA-BST Otp Zic2 Glut,target,1255,"Sim1, Cbln1, Zic1, Cd36, Pde1c, Esr1, Sulf1, Gria3",,"Sim1: 026 NLOT Rho Glut in same dissection is higher (9.13, 100%); Cbln1: 131 LHA-AHN-PVH Otp Trh Glut in same dissection is higher (7.52, 96%); Zic1: 058 PAL-STR Gaba-Chol in same dissection is higher (8.13, 99%); Pde1c: 061 STR D1 Gaba in same dissection is higher (9.00, 91%); Esr1: 077 CEA-BST Gal Avp Gaba in same dissection is higher (7.00, 93%); Sulf1: 087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba in same dissection is higher (4.41, 62%); Gria3: 013 COAp Grxcr2 Glut in same dissection is higher (10.09, 100%)","vs 119 SI-MA-LPO-LHA Skor1 Glut: Otp, Sim1, Adcyap1; vs 120 MEA Otp Foxp2 Glut: Sim1, Zic1, Cbln1",NO,,,,"Sim1, Cbln1, Zic1, Cd36, Pde1c, Esr1, Sulf1, Gria3","Sim1 (panel_spec=5.62, 88% of cells, UNIQUE_to_subclass); Cbln1 (panel_spec=4.53, 66% of cells, UNIQUE_to_subclass); Zic1 (panel_spec=3.16, 70% of cells, UNIQUE_to_subclass); Cd36 (panel_spec=1.80, 53% of cells, UNIQUE_to_subclass); Pde1c (panel_spec=1.78, 59% of cells, UNIQUE_to_subclass); Esr1 (panel_spec=0.60, 79% of cells, UNIQUE_to_subclass); Sulf1 (panel_spec=0.58, 47% of cells, UNIQUE_to_subclass); Gria3 (panel_spec=0.52, 100% of cells, UNIQUE_to_subclass)",,"Hcrtr2, Mc4r","Htr1b, Tacr1","Grm5, Gabbr1, Gabbr2, Grm1, Htr2c, Adcyap1r1, Gpr101, Cnr1, Npy1r, Oprm1, Chrm2, Htr1f, Npy2r, Sstr2, Crhr1, Cckbr",8,2,16
BMAp,BMA/MEA VGLUT2-like excitatory,119 SI-MA-LPO-LHA Skor1 Glut,target,2180,"Skor1, Tcf7l2, Sox5, Tbr1, Ptpru, Cbln2, Deptor, Nxph4, Npnt, Fst, Tle4, Drd2","Skor1, Tcf7l2","Sox5: 035 OB Eomes Ms4a15 Glut in same dissection is higher (9.36, 100%); Tbr1: 035 OB Eomes Ms4a15 Glut in same dissection is higher (7.89, 98%); Cbln2: 077 CEA-BST Gal Avp Gaba in same dissection is higher (9.74, 100%); Deptor: 009 L2/3 IT PIR-ENTl Glut in same dissection is higher (9.10, 100%); Nxph4: 117 LHA Barhl2 Glut in same dissection is higher (6.85, 94%); Npnt: 009 L2/3 IT PIR-ENTl Glut in same dissection is higher (5.18, 79%); Fst: 079 CEA-BST Six3 Cyp26b1 Gaba in same dissection is higher (1.89, 31%); Tle4: 077 CEA-BST Gal Avp Gaba in same dissection is higher (8.90, 100%); Drd2: 062 STR D2 Gaba in same dissection is higher (7.49, 94%)","vs 120 MEA Otp Foxp2 Glut: Sox5, Tbr1, Tcf7l2; vs 121 MEA-BST Otp Zic2 Glut: Tbr1, Tcf7l2, Nxph4",NO,,Skor1,,"Skor1, Tcf7l2, Sox5, Tbr1, Ptpru, Cbln2, Deptor, Nxph4, Npnt, Fst, Tle4, Drd2","Skor1 (panel_spec=3.14, 54% of cells, UNIQUE_to_subclass); Tcf7l2 (panel_spec=4.45, 45% of cells, UNIQUE_to_subclass); Sox5 (panel_spec=3.91, 74% of cells, UNIQUE_to_subclass); Tbr1 (panel_spec=2.71, 77% of cells, UNIQUE_to_subclass); Ptpru (panel_spec=2.03, 78% of cells, UNIQUE_to_subclass); Cbln2 (panel_spec=1.92, 50% of cells, UNIQUE_to_subclass); Deptor (panel_spec=1.49, 53% of cells, UNIQUE_to_subclass); Nxph4 (panel_spec=1.46, 65% of cells, UNIQUE_to_subclass); Npnt (panel_spec=1.34, 34% of cells, UNIQUE_to_subclass); Fst (panel_spec=1.19, 25% of cells, UNIQUE_to_subclass); Tle4 (panel_spec=1.10, 90% of cells, UNIQUE_to_subclass); Drd2 (panel_spec=1.07, 29% of cells, UNIQUE_to_subclass)","Drd2 (panel_spec=1.07, 29%), Grm1 (panel_spec=0.98, 97%), Chrm2 (panel_spec=0.94, 58%), Htr1f (panel_spec=0.65, 55%)","Drd2, Hcrtr2, Ntsr1","Oprk1, Tacr1, Htr2a","Grm5, Grm1, Gabbr1, Gabbr2, Htr2c, Chrm2, Cnr1, Adcyap1r1, Oprm1, Htr1f, Gpr88, Npy2r, Htr1a",12,3,13
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,073 MEA-BST Sox6 Gaba,neighbor_control,8705,"Sox6, Prox1, Dlx1, Sp8, Satb1, Dlx2",,"Sox6: 056 Sst Chodl Gaba in same dissection is higher (10.43, 100%); Prox1: 037 DG Glut in same dissection is higher (8.55, 99%); Dlx1: 046 Vip Gaba in same dissection is higher (7.20, 91%); Sp8: 093 RT-ZI Gnb3 Gaba in same dissection is higher (4.31, 79%); Satb1: 009 L2/3 IT PIR-ENTl Glut in same dissection is higher (8.36, 100%); Dlx2: 047 Sncg Gaba in same dissection is higher (4.28, 74%)","vs 074 MEA-BST Lhx6 Sp9 Gaba: Prox1, Nfib, Sp8; vs 082 CEA-BST Ebf1 Pdyn Gaba: Dlx1, Sox6, Prox1",NO,,Sox6,,"Sox6, Prox1, Dlx1, Sp8, Satb1, Dlx2","Sox6 (panel_spec=1.22, 58% of cells, UNIQUE_to_subclass); Prox1 (panel_spec=2.76, 57% of cells, UNIQUE_to_subclass); Dlx1 (panel_spec=2.24, 76% of cells, UNIQUE_to_subclass); Sp8 (panel_spec=1.85, 32% of cells, UNIQUE_to_subclass); Satb1 (panel_spec=1.23, 57% of cells, UNIQUE_to_subclass); Dlx2 (panel_spec=0.91, 44% of cells, UNIQUE_to_subclass)",,Galr1,"Oprk1, Tacr3, Htr1b, Drd1, Htr2a","Grm5, Gabbr1, Gabbr2, Grm1, Htr2c, Adcyap1r1, Oprm1, Gpr88, Cnr1, Npy2r, Htr1f, Crhr1, Chrm2, Sstr2, Cckbr, Gpr101, Htr1a, Npy1r",6,1,18
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,074 MEA-BST Lhx6 Sp9 Gaba,neighbor_control,6461,"Lhx6, Sp9, Nr2e1, Whrn, Slc6a1, Cartpt, Adarb2, Scn5a",,"Lhx6: 056 Sst Chodl Gaba in same dissection is higher (8.52, 99%); Sp9: 054 STR Prox1 Lhx6 Gaba in same dissection is higher (6.27, 90%); Nr2e1: 075 MEA-BST Lhx6 Nr2e1 Gaba in same dissection is higher (5.66, 84%); Whrn: 118 ADP-MPO Trp73 Glut in same dissection is higher (6.55, 94%); Slc6a1: 050 Lamp5 Lhx6 Gaba in same dissection is higher (11.45, 100%); Cartpt: 076 MEA-BST Lhx6 Nfib Gaba in same dissection is higher (6.40, 70%); Adarb2: 047 Sncg Gaba in same dissection is higher (13.34, 100%); Scn5a: 083 CEA-BST Rai14 Pdyn Crh Gaba in same dissection is higher (7.11, 95%)","vs 073 MEA-BST Sox6 Gaba: Lhx6, Sp9; vs 082 CEA-BST Ebf1 Pdyn Gaba: Lhx6, Sp9, Sox6",NO,,"Lhx6, Sp9",,"Lhx6, Sp9, Nr2e1, Whrn, Slc6a1, Cartpt, Adarb2, Scn5a","Lhx6 (panel_spec=5.90, 89% of cells, UNIQUE_to_subclass); Sp9 (panel_spec=4.42, 79% of cells, UNIQUE_to_subclass); Nr2e1 (panel_spec=2.43, 59% of cells, UNIQUE_to_subclass); Whrn (panel_spec=0.79, 67% of cells, UNIQUE_to_subclass); Slc6a1 (panel_spec=0.73, 99% of cells, UNIQUE_to_subclass); Cartpt (panel_spec=0.67, 36% of cells, UNIQUE_to_subclass); Adarb2 (panel_spec=0.60, 94% of cells, UNIQUE_to_subclass); Scn5a (panel_spec=0.60, 90% of cells, UNIQUE_to_subclass)",,,"Tacr3, Oprk1, Oprd1, Htr2a","Grm5, Gabbr1, Gabbr2, Grm1, Oprm1, Htr2c, Adcyap1r1, Crhr1, Gpr101, Chrm2, Gpr88, Htr1f, Cnr1, Npy1r, Htr1a",8,0,15
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,082 CEA-BST Ebf1 Pdyn Gaba,neighbor_control,6966,"Ebf1, Pdyn, Isl1, Dlx6, Meis2, Sst, Zfhx3, Rgs2, Rgs9, Slc18a2, Mpped1, Pou3f2",,"Ebf1: 061 STR D1 Gaba in same dissection is higher (6.92, 83%); Pdyn: 061 STR D1 Gaba in same dissection is higher (9.15, 97%); Isl1: 093 RT-ZI Gnb3 Gaba in same dissection is higher (7.44, 100%); Dlx6: 061 STR D1 Gaba in same dissection is higher (5.62, 84%); Meis2: 063 STR D1 Sema5a Gaba in same dissection is higher (11.39, 100%); Sst: 056 Sst Chodl Gaba in same dissection is higher (11.16, 97%); Zfhx3: 077 CEA-BST Gal Avp Gaba in same dissection is higher (10.82, 100%); Rgs2: 088 BST Tac2 Gaba in same dissection is higher (7.09, 94%); Rgs9: 063 STR D1 Sema5a Gaba in same dissection is higher (7.35, 92%); Slc18a2: 058 PAL-STR Gaba-Chol in same dissection is higher (1.97, 34%); Mpped1: 049 Lamp5 Gaba in same dissection is higher (8.46, 98%); Pou3f2: 133 PVH-SO-PVa Otp Glut in same dissection is higher (8.81, 98%)","vs 073 MEA-BST Sox6 Gaba: Ebf1, Isl1, Nts; vs 074 MEA-BST Lhx6 Sp9 Gaba: Ebf1, Pdyn, Isl1",NO,,"Ebf1, Pdyn",,"Ebf1, Pdyn, Isl1, Dlx6, Meis2, Sst, Zfhx3, Rgs2, Rgs9, Slc18a2, Mpped1, Pou3f2","Ebf1 (panel_spec=4.77, 73% of cells, UNIQUE_to_subclass); Pdyn (panel_spec=2.12, 63% of cells, UNIQUE_to_subclass); Isl1 (panel_spec=3.60, 55% of cells, UNIQUE_to_subclass); Dlx6 (panel_spec=2.54, 83% of cells, UNIQUE_to_subclass); Meis2 (panel_spec=2.42, 92% of cells, UNIQUE_to_subclass); Sst (panel_spec=2.11, 52% of cells, UNIQUE_to_subclass); Zfhx3 (panel_spec=1.92, 100% of cells, UNIQUE_to_subclass); Rgs2 (panel_spec=1.69, 92% of cells, UNIQUE_to_subclass); Rgs9 (panel_spec=1.33, 80% of cells, UNIQUE_to_subclass); Slc18a2 (panel_spec=1.22, 28% of cells, UNIQUE_to_subclass); Mpped1 (panel_spec=1.15, 93% of cells, UNIQUE_to_subclass); Pou3f2 (panel_spec=1.05, 25% of cells, UNIQUE_to_subclass)","Cnr1 (panel_spec=1.32, 83%), Gpr101 (panel_spec=0.92, 79%), Tacr3 (panel_spec=0.56, 30%)",Oxtr,"Tacr3, Htr1b, Drd1, Oprk1, Tacr1","Grm5, Gabbr1, Gabbr2, Htr2c, Grm1, Gpr101, Cnr1, Oprm1, Gpr88, Adcyap1r1, Htr1f, Npy1r, Sstr2, Crhr1, Chrm2, Htr1a, Cckbr",12,1,17
ORBm,L2/3 IT excitatory,007 L2/3 IT CTX Glut,target,8869,"Otof, Cux2, Matn2, Bhlhe22, Gpr88","Cux2, Matn2","Otof: 063 STR D1 Sema5a Gaba in same dissection is higher (4.83, 62%); Bhlhe22: 010 IT AON-TT-DP Glut in same dissection is higher (5.19, 76%); Gpr88: 063 STR D1 Sema5a Gaba in same dissection is higher (10.34, 100%)",,NO,,,,"Otof, Cux2, Matn2, Bhlhe22, Gpr88","Otof (panel_spec=2.46, 47% of cells, UNIQUE_to_subclass); Cux2 (panel_spec=2.00, 95% of cells, UNIQUE_to_subclass); Matn2 (panel_spec=1.73, 68% of cells, UNIQUE_to_subclass); Bhlhe22 (panel_spec=1.07, 73% of cells, UNIQUE_to_subclass); Gpr88 (panel_spec=0.83, 65% of cells, UNIQUE_to_subclass)","Gpr88 (panel_spec=0.83, 65%)",Gpr88,"Cckbr, Htr1b, Npy1r, Crhr1, Oprd1","Grm5, Gabbr2, Gabbr1, Grm1, Cnr1, Adcyap1r1, Htr2a, Oprm1, Chrm2",5,1,9
ORBm,L4/5 IT excitatory,006 L4/5 IT CTX Glut,target,14152,"Rorb, Coch, Cnih3, Deptor, Egr1, Slc30a3, Nr4a1","Rorb, Egr1, Slc30a3, Nr4a1","Coch: 001 CLA-EPd-CTX Car3 Glut in same dissection is higher (3.97, 63%); Cnih3: 003 L5/6 IT TPE-ENT Glut in same dissection is higher (7.44, 96%); Deptor: 064 STR-PAL Chst9 Gaba in same dissection is higher (4.82, 60%)",,NO,,,,"Rorb, Coch, Cnih3, Deptor, Egr1, Slc30a3, Nr4a1","Rorb (panel_spec=2.23, 96% of cells, UNIQUE_to_subclass); Coch (panel_spec=1.86, 57% of cells, UNIQUE_to_subclass); Cnih3 (panel_spec=0.79, 94% of cells, UNIQUE_to_subclass); Deptor (panel_spec=0.76, 55% of cells, UNIQUE_to_subclass); Egr1 (panel_spec=0.74, 98% of cells, UNIQUE_to_subclass); Slc30a3 (panel_spec=0.68, 85% of cells, UNIQUE_to_subclass); Nr4a1 (panel_spec=0.59, 86% of cells, UNIQUE_to_subclass)","Crhr1 (panel_spec=0.69, 66%)",Gpr88,"Crhr1, Htr1a, Cckbr, Htr1b, Npy1r, Sstr2, Htr2c","Grm5, Gabbr2, Gabbr1, Cnr1, Htr2a, Grm1, Htr1f, Oprm1, Adcyap1r1, Chrm2",7,1,10
