region_user,subclass_A_positive,subclass_B_negative,same_cell_type_label,separator_gene,mean_log2_A,mean_log2_B,pct_A,pct_B,log2_gap
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Slc17a7,8.206,0.174,93.5,3.3,8.032
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Chst9,6.794,0.457,82.0,7.6,6.337
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Bhlhe22,6.505,0.338,91.5,5.8,6.167
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Neurod2,5.918,0.041,88.3,0.8,5.877
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Crym,5.657,0.427,81.8,7.8,5.231
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Zeb2,5.489,0.322,73.6,5.8,5.167
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Slc30a3,5.307,0.236,77.4,4.3,5.072
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Lhx2,5.112,0.059,74.8,1.1,5.053
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Rorb,4.219,0.742,55.6,12.2,3.476
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Tacr1,3.94,0.667,61.6,11.4,3.273
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Zic2,3.169,0.054,57.3,1.0,3.115
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Bdnf,3.618,0.504,58.3,7.9,3.114
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Nfib,9.157,0.534,92.9,9.4,8.623
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Slc17a7,8.206,0.161,93.5,3.1,8.044
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Nfix,8.099,0.371,97.1,6.8,7.728
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Chst9,6.794,0.185,82.0,3.3,6.609
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Bhlhe22,6.505,0.09,91.5,1.7,6.415
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Neurod2,5.918,0.036,88.3,0.7,5.882
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Crym,5.657,0.196,81.8,3.7,5.461
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Zeb2,5.489,0.245,73.6,4.6,5.245
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Slc30a3,5.307,0.242,77.4,4.3,5.065
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Lhx2,5.112,0.065,74.8,1.3,5.047
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Rorb,4.219,0.838,55.6,13.6,3.381
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Zic2,3.169,0.014,57.3,0.3,3.155
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Nfib,9.157,0.453,92.9,8.7,8.704
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Slc17a7,8.206,0.13,93.5,2.6,8.076
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Nfix,8.099,0.251,97.1,5.0,7.848
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Bhlhe22,6.505,0.044,91.5,0.9,6.462
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Chst9,6.794,0.337,82.0,5.9,6.458
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Neurod2,5.918,0.03,88.3,0.6,5.888
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Zeb2,5.489,0.262,73.6,5.2,5.228
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Slc30a3,5.307,0.238,77.4,4.3,5.069
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Cck,5.781,0.72,79.0,13.8,5.061
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Lhx2,5.112,0.064,74.8,1.3,5.048
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Esr1,4.896,0.625,72.1,11.5,4.271
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Rorb,4.219,0.693,55.6,12.0,3.526
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Nfib,9.157,0.505,92.9,9.0,8.652
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Nfix,8.099,0.299,97.1,5.7,7.8
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Slc17a7,8.206,0.604,93.5,10.4,7.601
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Chst9,6.794,0.361,82.0,6.2,6.433
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Bhlhe22,6.505,0.337,91.5,6.3,6.168
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Neurod2,5.918,0.38,88.3,6.8,5.538
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Slc30a3,5.307,0.076,77.4,1.4,5.231
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Zeb2,5.489,0.324,73.6,5.9,5.165
