region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_nonneuronal,is_anchor_subclass,specificity_log2_vs_neuronal,specificity_log2_vs_neuronal_competitor_mean,specificity_log2_vs_panel,specificity_log2_vs_panel_competitor_mean,in_subclass_name
BMAp,009 L2/3 IT PIR-ENTl Glut,Abca8a,38,0.0,0.0,False,False,-4.2604,4.2604,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Adarb2,38,9.4608,97.37,False,False,-3.875,13.3358,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Adgrg6,38,0.4109,7.89,False,False,-1.2886,1.6995,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Adora2a,38,0.0,0.0,False,False,-7.5469,7.5469,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Avp,38,0.0,0.0,False,False,-12.1071,12.1071,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Baiap3,38,0.5737,10.53,False,False,-7.3301,7.9038,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Barhl2,38,0.0,0.0,False,False,-3.9528,3.9528,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Batf3,38,0.1183,2.63,False,False,-0.6564,0.7747,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Bcan,38,0.7617,15.79,False,False,-2.5765,3.3382,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Bcl11b,38,8.2237,100.0,False,False,-1.0958,9.3195,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Blnk,38,0.0,0.0,False,False,-1.332,1.332,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Bnc2,38,0.0,0.0,False,False,-3.6685,3.6685,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,C1ql1,38,0.1131,2.63,False,False,-7.4814,7.5945,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,C1ql2,38,0.0,0.0,False,False,-5.33,5.33,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Calb1,38,0.3017,5.26,False,False,-9.8797,10.1814,,,False
