region_user,subclass_A_positive,subclass_B_negative,same_cell_type_label,separator_gene,mean_log2_A,mean_log2_B,pct_A,pct_B,log2_gap
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Slc17a7,8.206,0.174,93.5,3.3,8.032
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Chst9,6.794,0.457,82.0,7.6,6.337
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Crym,5.657,0.427,81.8,7.8,5.231
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Slc30a3,5.307,0.236,77.4,4.3,5.072
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Rorb,4.219,0.742,55.6,12.2,3.476
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Slc29a4,3.819,0.534,64.9,10.2,3.285
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Zic2,3.169,0.054,57.3,1.0,3.115
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Lpl,3.565,0.73,56.9,13.2,2.835
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Slc17a6,2.568,0.26,39.7,4.8,2.308
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Tbr1,2.15,0.076,40.5,1.5,2.074
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Fezf2,1.976,0.005,36.7,0.1,1.971
BMAp,012 MEA Slc17a7 Glut,073 MEA-BST Sox6 Gaba,False,Abca8a,1.835,0.157,31.9,2.8,1.677
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Nfib,9.157,0.534,92.9,9.4,8.623
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Slc17a7,8.206,0.161,93.5,3.1,8.044
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Chst9,6.794,0.185,82.0,3.3,6.609
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Crym,5.657,0.196,81.8,3.7,5.461
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Slc30a3,5.307,0.242,77.4,4.3,5.065
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Rorb,4.219,0.838,55.6,13.6,3.381
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Slc29a4,3.819,0.554,64.9,10.7,3.265
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Zic2,3.169,0.014,57.3,0.3,3.155
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Slc17a6,2.568,0.28,39.7,5.4,2.288
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Tbr1,2.15,0.094,40.5,1.8,2.056
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Fezf2,1.976,0.005,36.7,0.1,1.97
BMAp,012 MEA Slc17a7 Glut,074 MEA-BST Lhx6 Sp9 Gaba,False,Dnah5,2.764,0.8,48.4,14.8,1.964
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Nfib,9.157,0.453,92.9,8.7,8.704
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Slc17a7,8.206,0.13,93.5,2.6,8.076
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Chst9,6.794,0.337,82.0,5.9,6.458
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Slc30a3,5.307,0.238,77.4,4.3,5.069
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Cck,5.781,0.72,79.0,13.8,5.061
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Rorb,4.219,0.693,55.6,12.0,3.526
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Zic2,3.169,0.008,57.3,0.2,3.16
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Lpl,3.565,0.842,56.9,14.5,2.723
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Slc17a6,2.568,0.289,39.7,5.6,2.279
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Moxd1,2.244,0.113,36.6,2.2,2.131
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Tbr1,2.15,0.092,40.5,1.8,2.058
BMAp,012 MEA Slc17a7 Glut,082 CEA-BST Ebf1 Pdyn Gaba,False,Fezf2,1.976,0.003,36.7,0.1,1.973
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Nfib,9.157,0.505,92.9,9.0,8.652
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Slc17a7,8.206,0.604,93.5,10.4,7.601
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Chst9,6.794,0.361,82.0,6.2,6.433
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Slc30a3,5.307,0.076,77.4,1.4,5.231
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Reln,4.409,0.434,60.8,7.8,3.974
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Etv1,3.932,0.444,61.6,8.2,3.489
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Slc29a4,3.819,0.405,64.9,7.9,3.414
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Rorb,4.219,0.907,55.6,13.7,3.312
BMAp,012 MEA Slc17a7 Glut,113 MEA-COA-BMA Ccdc42 Glut,True,Zic2,3.169,0.034,57.3,0.6,3.135
